canonical_name,father_name,cnic,passport_no,nationality,city,travelling_from,destination,travel_date,visa_type,reason_to_travel
Sana Raja,S/O Hassan Zaidi,42101-7813560-5,AB3105544,Pakistani,Lahore,Pakistan,France,2019-05-08,Business,Employment
Faisal ussain,S/O Naeem Ali,54000-8256528-4,AB9097841,Pakistani,Hub,Pakistan,UK,2017-06-20,Tourist,Education
Amna Nawaz,S/O Ahmed Naqvi,61101-2258998-5,AB5728148,Pakistani,Gwadar,Pakistan,China,2015-02-23,Visit,Education
Hamid Bukhari,S/O Arif Aslam,44000-5500507-6,AB5619646,Pakistani,Islamabad,Pakistan,France,2023-05-14,Student,Employment
Rukhsar Ansari,S/O Naveed Qureshi,35202-3593279-1,AB1705238,Pakistani,Gujranwala,Pakistan,UAE,2023-10-24,Business,Tourism
Mohd Cheema,S/O Naveed Qureshi,42101-8809936-8,AB9392075,Pakistani,Khuzdar,Pakistan,Malaysia,2015-12-11,Business,Education
Mehwish Malik,S/O Qureshi Malik,35202-3330870-6,AB6366081,Pakistani,Islamabad,Pakistan,Turkey,2020-08-15,Visit,Tourism
Syed Bukhari,S/O Rabia Hameed,13302-1973882-4,AB2844502,Pakistani,Rawalakot,Pakistan,China,2023-02-13,Business,Medical Treatment
Chaudhry Bhatti,S/O Mehwish Hussain,44000-6865529-6,AB5548872,Pakistani,Islamabad,Pakistan,Canada,2023-10-27,Visit,Education
Bushra Chaudhry,S/O Muhammad Baig,13302-8525469-8,AB7572902,Pakistani,Muzaffarabad,Pakistan,Malaysia,2015-09-12,Work,Family Visit
Amna Tarar,S/O Sajid Ahmed,42101-4603654-8,AB2955917,Pakistani,Quetta,Pakistan,France,2022-03-14,Visit,Education
Muhammad Latif,S/O Shazia Khan,13302-8562847-9,AB4728784,Pakistani,Mardan,Pakistan,Germany,2015-04-10,Work,Employment
Muhammad Ansari,S/O Kamran Rafiq,42101-6358337-7,AB7181758,Pakistani,Sargodha,Pakistan,Germany,2018-10-19,Business,Business Meeting
Aamir Gondal,S/O Ayesha Jafri,35202-3411226-4,AB8689669,Pakistani,Islamabad,Pakistan,Germany,2022-09-01,Student,Employment
Ayesha Gondal,S/O Kashif Naqvi,54000-9955411-5,AB6345541,Pakistani,Khuzdar,Pakistan,China,2015-04-23,Work,Education
Nadia Bukhari,S/O Fatima Rizvi,13302-3610866-3,AB4664417,Pakistani,Mirpur,Pakistan,Canada,2021-10-09,Work,Tourism
Aamir Iqbal,S/O Raja Rana,61101-8278746-5,AB9379714,Pakistani,Islamabad,Pakistan,UK,2017-12-08,Student,Education
Raja Syed,S/O Tahir Qureshi,35202-6926278-2,AB8785444,Pakistani,Lahore,Pakistan,UAE,2021-09-24,Business,Employment
Fatima Khan,,44000-7007954-6,AB6300469,Pakistani,Islamabad,Pakistan,Canada,2019-03-20,Business,Tourism
Adnan Akhtar,S/O Asif Hashmi,13302-6977683-6,AB3083766,Pakistani,Sukkur,Pakistan,France,2022-07-05,Visit,Education
Hina Rana,S/O Baig Mirza,21301-5462233-6,AB7054883,Pakistani,Larkana,Pakistan,Saudi Arabia,2016-12-10,Tourist,Family Visit
Noor Raja,S/O Rabia Rafiq,42101-6945631-2,AB1424541,Pakistani,Turbat,Pakistan,USA,2023-07-31,Visit,Medical Treatment
Malik Raza,S/O Salman Tarar,61101-3400475-1,AB7077605,Pakistani,Gilgit,Pakistan,China,2018-05-07,Student,Employment
Sajid Latif,S/O Sheikh Rizvi,42101-6535795-9,AB2679365,Pakistani,Hyderabad,Pakistan,UK,2022-09-01,Business,Education
Sobia Baig,S/O Ahmed Tarar,21301-7408115-4,AB1297052,Pakistani,Gwadar,Pakistan,Canada,2023-12-19,Tourist,Employment
Naeem Jafri,S/O Ayesha Rana,21301-2701582-9,AB8846554,Pakistani,Nawabshah,Pakistan,Germany,2022-01-25,Visit,Business Meeting
Zubair Raza,S/O Iqra Tarar,13302-9464296-2,AB9578729,Pakistani,Gilgit,Pakistan,USA,2015-10-13,Visit,Tourism
Maryam Ahmed,S/O Mehwish Karim,42101-9920937-7,AB9426268,Pakistani,Skardu,Pakistan,UAE,2019-06-22,Business,Tourism
Ali Baig,S/O Nadia Karim,21301-1116024-6,AB7916354,Pakistani,Mirpur,Pakistan,USA,2016-03-19,Tourist,Family Visit
Malik Chattha,S/O Sobia Sandhu,44000-5247408-5,AB4316318,Pakistani,Gwadar,Pakistan,UAE,2023-10-24,Visit,Family Visit
Muammad Karim,S/O Rabia Ali,35202-6845309-7,AB1666368,Pakistani,Mirpur,Pakistan,Canada,2017-10-06,Visit,Employment
,S/O مریم چودھری,54000-1965082-5,AB7446824,Pakistani,Nawabshah,Pakistan,UK,2022-03-28,Visit,Medical Treatment
محمد احمد,S/O Rabia Raja,61101-7596382-2,AB9163585,Pakistani,Quetta,Pakistan,China,2017-10-06,Visit,Tourism
Mohd Gilani,S/O Maryam Chattha,42101-5139665-5,AB7889516,Pakistani,Rawalpindi,Pakistan,France,2020-02-11,Student,Employment
Malik Raza,S/O Salman Tarar,61101-3400475-1,AB4757588,Pakistani,Gilgit,Pakistan,Canada,2023-02-18,Work,Employment
Salman Hameed,S/O Hussain Gondal,44000-2851370-6,AB8843316,Pakistani,Sialkot,Pakistan,UAE,2021-11-20,Tourist,Medical Treatment
Zainab Gondal,,54000-6101803-7,AB8953058,Pakistani,Bahawalpur,Pakistan,China,2016-12-27,Business,Tourism
Rabia Naqvi,S/O Naveed Ali,13302-4610286-9,AB9399617,Pakistani,Mirpurkhas,Pakistan,Saudi Arabia,2017-02-10,Tourist,Business Meeting
Naeem Chaudhry,S/O Naeem Hashmi,61101-1055548-5,AB2330489,Pakistani,Bahawalpur,Pakistan,Malaysia,2015-01-22,Tourist,Medical Treatment
Hamid Chattha,S/O Kashif Ali,42101-7512337-1,AB9862467,Pakistani,Bannu,Pakistan,Malaysia,2017-03-14,Tourist,Education
Imran Ahmed,S/O Noor Cheema,54000-8244357-1,AB6780303,Pakistani,Quetta,Pakistan,Malaysia,2023-10-29,Work,Family Visit
Nadia Butt,S/O عائشہ احمد,61101-8091002-2,AB7279470,Pakistani,Chilas,Pakistan,China,2015-02-15,Visit,Tourism
Omar Zaidi,S/O Tahir Malik,21301-3815529-6,AB4924341,Pakistani,Peshawar,Pakistan,UK,2022-03-26,Tourist,Business Meeting
Shoaib Cheema,S/O Bilal Gilani,13302-1709057-8,AB3381995,Pakistani,Muzaffarabad,Pakistan,UAE,2023-01-03,Business,Family Visit
Usman Gondal,S/O Rizwan Gilani,35202-8120323-8,AB7452993,Pakistani,Karachi,Pakistan,Saudi Arabia,2023-04-25,Business,Employment
Rukhsar Chema,S/O Chaudhry Hashmi,61101-7672159-8,AB8753404,Pakistani,Rawalakot,Pakistan,Malaysia,2015-04-15,Work,Employment
Rabai Tarar,S/O Bilal Gujjar,54000-1156397-6,AB9790160,Pakistani,Skardu,Pakistan,UAE,2021-01-16,Visit,Employment
صنا ملک,S/O Naeem Qureshi,44000-9662020-7,AB2643112,Pakistani,Islamabad,Pakistan,UK,2015-12-29,Business,Employment
Syed Ansari,S/O Amna Chaudhry,44000-2179598-7,AB9776934,Pakistani,Muzaffarabad,Pakistan,USA,2022-10-22,Business,Business Meeting
Hina Nawaz,S/O Muhammad Bukhari,54000-6175674-7,AB8962592,Pakistani,Karachi,Pakistan,China,2016-07-12,Business,Family Visit
Ibrahim Gondal,S/O Shoaib Bukhari,42101-2375290-5,,Pakistani,Mardan,Pakistan,China,2020-11-18,Business,Education
Bilal Latif,S/O Bilal Naqvi,61101-7087698-2,AB8358037,Pakistani,Turbat,Pakistan,France,2020-06-04,Business,Medical Treatment
Hina Ansari,S/O Tariq Mirza,21301-1211709-1,AB6209038,Pakistani,Gilgit,Pakistan,Canada,2018-02-20,Business,Education
Usman Karim,,42101-1389991-2,AB4001410,Pakistani,Multan,Pakistan,UAE,2022-06-14,Tourist,Tourism
Hassan Hamede,S/O Kamran Latif,61101-3019769-7,AB1977355,Pakistani,Quetta,Pakistan,Canada,2020-07-27,Student,Tourism
Hussain Chaudhry,S/O Hamid Akhtar,21301-2468578-5,AB3332534,Pakistani,Karachi,Pakistan,UAE,2017-05-24,Student,Education
Muhammad Raza,S/O S/O Hashmi Rana,13302-7845563-9,AB5537814,Pakistani,Muzaffarabad,Pakistan,China,2021-03-23,Tourist,Medical Treatment
Usman Ansari,S/O Khalid Ansari,35202-8666531-4,AB8790100,Pakistani,Islamabad,Pakistan,China,2023-01-04,Visit,Education
Arif Bhatti,S/O Rabia Hussain,13302-1902313-3,AB4682316,Pakistani,Skardu,Pakistan,USA,2023-01-22,Tourist,Family Visit
Sidra Hameed,S/O Raja Gondal,54000-8371182-3,AB1324945,Pakistani,Mingora,Pakistan,China,2018-12-13,Student,Business Meeting
Imran Mirza,S/O Hassan Bukhari,44000-1537243-6,AB4885898,Pakistani,Mirpur,Pakistan,China,2023-01-30,Work,Medical Treatment
Syed Hameed,S/O فاطمہ خان,21301-4682471-9,AB2763591,Pakistani,Quetta,Pakistan,Turkey,2020-09-14,Student,Education
Shazia Raza,S/O Hamid Rana,35202-2516043-6,AB4826140,Pakistani,Islamabad,Pakistan,China,2023-09-25,Business,Education
Sheikh Abbasi,S/O Hassan Chattha,54000-2082255-7,AB3542654,Pakistani,Mingora,Pakistan,Saudi Arabia,2020-12-25,Tourist,Business Meeting
Faisal Zaidi,S/O Bushra Chaudhry,21301-1175422-5,AB2119553,Pakistani,Abbottabad,Pakistan,Germany,2022-05-26,Business,Education
محمد حسن,S/O Rukhsar Ansari,44000-2402290-4,AB6395461,Pakistani,Islamabad,Pakistan,Turkey,2022-01-25,Visit,Education
Adnan Gondal,S/O Rabia Ahmed,42101-1333397-5,AB6398148,Pakistani,Sargodha,Pakistan,France,2016-04-01,Business,Family Visit
Mohd Sheikh,S/O Mohammad Gilani,42101-7585847-4,AB6574148,Pakistani,Bannu,Pakistan,Turkey,2018-06-07,Visit,Business Meeting
Mohammad Khan,S/O Zainab Naqvi,42101-4082659-1,AB6545674,Pakistani,Karachi,Pakistan,France,2023-06-29,Business,Education
Ayesha Bhatti,S/O Bushra Ali,42101-2280131-4,AB7293885,Pakistani,Bannu,Pakistan,Germany,2019-04-30,Student,Family Visit
Sheikh Nawaz,S/O Omar Chaudhry,44000-5773861-3,AB2773000,Pakistani,Gilgit,Pakistan,USA,2021-08-07,Business,Business Meeting
Naeem Hussain,S/O Rukhsar Zaidi,42101-2934213-2,AB1382327,Pakistani,Sialkot,Pakistan,China,2016-08-10,Student,Employment
Waseem Jafri,S/O Mehwish Iqbal,13302-8743298-1,AB3698838,Pakistani,Mirpur,Pakistan,UAE,2020-01-15,Business,Family Visit
صنا ملک,S/O Naeem Khan,13302-3435644-6,AB3214404,Pakistani,Quetta,Pakistan,UAE,2020-05-15,Tourist,Family Visit
Bilal Ahmed,S/O Baig Ansari,21301-4512095-2,AB1692624,Pakistani,Quetta,Pakistan,Saudi Arabia,2023-03-08,Work,Tourism
Mohammad Tarar,S/O Raja Rizvi,44000-5075991-5,AB4526204,Pakistani,Sialkot,Pakistan,Saudi Arabia,2022-03-12,Tourist,Education
Mohd Chaudhry,S/O Sajid Gondal,44000-9140818-7,AB9600016,Pakistani,Kohat,Pakistan,Germany,2018-09-13,Tourist,Medical Treatment
Modh Raza,S/O Hashmi Hashmi,42101-9039526-9,AB1178246,Pakistani,Islamabad,Pakistan,Turkey,2021-11-28,Visit,Family Visit
Uzma Ahmed,S/O Ahmed Chattha,35202-6622871-7,AB8868755,Pakistani,Mirpurkhas,Pakistan,Canada,2023-08-08,Student,Business Meeting
Rizwa nSandhu,S/O Tariq Karim,42101-6260696-6,,Pakistani,Kohat,Pakistan,Turkey,2021-08-23,Student,Family Visit
Kashif Raza,S/O Asma Chaudhry,61101-3979023-7,AB2654731,Pakistani,Islamabad,Pakistan,China,2016-04-14,Tourist,Employment
Mohd Iqbal,S/O Kamran Latif,13302-4652860-8,AB6886356,Pakistani,Faisalabad,Pakistan,Canada,2016-10-26,Student,Family Visit
Bilal Chaudhry,S/O Hashmi Rana,42101-3699752-5,AB1282156,Pakistani,Bahawalpur,Pakistan,UAE,2015-01-25,Tourist,Tourism
Kashif Bukhari,S/O Fatima Bukhari,44000-2223706-1,AB9204746,Pakistani,Skardu,Pakistan,USA,2023-07-17,Business,Business Meeting
Hussain Gujjar,S/O Sheikh Tarar,44000-3974790-9,AB2422411,Pakistani,Quetta,Pakistan,Saudi Arabia,2017-07-11,Visit,Medical Treatment
Qureshi Hameed,S/O Hussain Hameed,21301-7194014-6,AB6468079,Pakistani,Lahore,Pakistan,Canada,2022-12-04,Business,Education
,S/O Rabia Ahmed,13302-5091835-7,AB2033715,Pakistani,Islamabad,Pakistan,Turkey,2019-01-30,Student,Education
Sidra Syed,,44000-1055329-8,AB7999728,Pakistani,Multan,Pakistan,Malaysia,2015-09-23,Tourist,Employment
Ahmed Rana,S/O Malik Hameed,35202-2498648-6,AB8128071,Pakistani,Mirpur,Pakistan,USA,2021-02-12,Student,Tourism
Hina Bukhari,S/O Sheikh Syed,54000-4414013-8,AB3050444,Pakistani,Faisalabad,Pakistan,UK,2019-07-02,Visit,Business Meeting
Maryam Sheikh,S/O Naeem Jafri,42101-1579649-2,AB6020307,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2018-02-18,Business,Family Visit
Salman Malik,S/O Chaudhry Baig,42101-2879666-3,,Pakistani,Rawalakot,Pakistan,Malaysia,2016-06-20,Student,Education
,S/O Sobia Raja,35202-7190319-4,AB4655815,Pakistani,Multan,Pakistan,Canada,2023-06-13,Work,Family Visit
Ibrahim Ansari,S/O Hina Gondal,54000-7397798-5,AB9450716,Pakistani,Islamabad,Pakistan,USA,2021-11-08,Business,Family Visit
Amna Gondal,S/O Syed Bukhari,61101-8145454-5,AB4481407,Pakistani,Islamabad,Pakistan,Canada,2022-01-03,Student,Business Meeting
Shazia Iqbal,S/O Rizwan Butt,44000-5066816-7,AB7841302,Pakistani,Sialkot,Pakistan,Malaysia,2020-08-24,Business,Family Visit
Mohd Hussain,S/O Fatima Tarar,13302-4116604-7,AB9969310,Pakistani,Khuzdar,Pakistan,Malaysia,2023-03-02,Business,Employment
Sana Hameed,S/O Sobia Gondal,21301-3221223-1,AB1444165,Pakistani,Rawalakot,Pakistan,UK,2023-03-28,Work,Tourism
عائشہ احمد,S/O Mehwish Hussain,13302-5352275-1,AB9061126,Pakistani,Muzaffarabad,Pakistan,Germany,2015-05-12,Visit,Business Meeting
Salman Nawaz,S/O Sheikh Malik,,AB6231969,Pakistani,Rawalakot,Pakistan,UAE,2015-04-28,Tourist,Education
Hina Sheikh,S/O Uzma Syed,35202-9634692-5,AB4034679,Pakistani,Lahore,Pakistan,USA,2015-02-20,Student,Employment
Uzma Rafiq,S/O Sajid Sandhu,35202-8880985-3,AB6867168,Pakistani,Kohat,Pakistan,Malaysia,2020-08-21,Work,Education
Usman Virk,S/O Saira Raza,54000-9260937-6,AB1640144,Pakistani,Sukkur,Pakistan,Malaysia,2016-11-05,Visit,Medical Treatment
Malik Jafri,S/O Rukhsar Gujjar,21301-7098183-4,AB6266458,Pakistani,Quetta,Pakistan,UAE,2019-11-24,Business,Family Visit
Sobia Tarar,S/O Hassan Abbasi,42101-6392288-4,AB6953507,Pakistani,Islamabad,Pakistan,Saudi Arabia,2019-11-03,Business,Employment
Sidra Cheema,S/O Aamir Ansari,61101-8455510-3,AB1632375,Pakistani,Mardan,Pakistan,USA,2023-04-03,Work,Employment
Baig Abbasi,S/O Waseem Butt,13302-3036884-5,AB5353859,Pakistani,Gilgit,Pakistan,Malaysia,2020-12-13,Student,Business Meeting
Rukhsar Akhtar,S/O Noor Karim,42101-8835834-5,AB1379152,Pakistani,Chilas,Pakistan,UK,2022-12-04,Student,Employment
Ibrahim Raja,S/O Raja Bhatti,,AB5399844,Pakistani,Peshawar,Pakistan,Malaysia,2015-05-30,Business,Education
Hussain Abbasi,S/O Naveed Jafri,35202-2462235-5,AB1914642,Pakistani,Bannu,Pakistan,France,2018-04-05,Business,Family Visit
Amna Ansari,S/O Chaudhry Gilani,61101-1728065-7,AB1471199,Pakistani,Gwadar,Pakistan,Turkey,2018-07-27,Tourist,Tourism
Khalid Bhatti,S/O Tariq Aslam,61101-4097922-8,AB5720305,Pakistani,Mirpurkhas,Pakistan,Turkey,2015-11-22,Tourist,Tourism
Mohd Ansari,S/O Kamran Mirza,21301-6483970-9,AB9289853,Pakistani,Abbottabad,Pakistan,France,2016-10-16,Tourist,Employment
Maryam Rizvi,S/O Tariq Chattha,42101-3780888-3,,Pakistani,Gilgit,Pakistan,Germany,2021-06-10,Visit,Tourism
Malik Cheema,S/O Sheikh Latif,13302-9834133-2,AB9634499,Pakistani,Multan,Pakistan,Canada,2017-05-21,Tourist,Employment
Arif Naqvi,S/O Naveed Chattha,61101-4068039-2,AB8649228,Pakistani,Sukkur,Pakistan,UK,2021-09-30,Work,Medical Treatment
Hussain Gilani,S/O Chaudhry Ali,42101-4052535-9,AB5197132,Pakistani,Islamabad,Pakistan,France,2018-07-24,Business,Employment
فاطمہ خان,S/O Bilal Ali,35202-3478995-8,AB5526305,Pakistani,Gilgit,Pakistan,Saudi Arabia,2021-12-30,Tourist,Business Meeting
احمد خان,S/O Ali Rana,13302-3933311-4,,Pakistani,Islamabad,Pakistan,France,2016-02-08,Business,Employment
Syed  Hashmi,S/O Khalid Tarar,42101-7166632-9,AB5671521,Pakistani,Chilas,Pakistan,Saudi Arabia,2016-06-12,Business,Medical Treatment
Hashmi Hameed,S/O S/O Mirza Syed,54000-6775801-2,AB6816162,Pakistani,Islamabad,Pakistan,Canada,2021-12-22,Work,Family Visit
Hassan Gilani,S/O Rabia Chattha,35202-1545282-4,AB3219708,Pakistani,Multan,Pakistan,Germany,2020-08-23,Visit,Family Visit
Muhammad Rana,S/O Iqra Gujjar,61101-4476231-2,AB1797035,Pakistani,Islamabad,Pakistan,France,2023-09-25,Work,Medical Treatment
Ali Mirza,S/O Qureshi Gondal,54000-2632397-4,AB7253731,Pakistani,Mingora,Pakistan,Germany,2019-07-24,Business,Employment
,S/O Adnan Iqbal,54000-2196294-4,AB8075424,Pakistani,Rawalakot,Pakistan,Malaysia,2018-09-30,Work,Tourism
Iqra Butt,S/O Hashmi Aslam,54000-5769200-4,AB4420038,Pakistani,Sukkur,Pakistan,France,2022-04-08,Visit,Medical Treatment
Tahir Jafri,S/O Adnan Malik,21301-5884185-1,,Pakistani,Kohat,Pakistan,Malaysia,2015-07-27,Work,Medical Treatment
Maryam Ahmed,S/O Shazia Hashmi,13302-8707788-9,AB5793134,Pakistani,Abbottabad,Pakistan,Turkey,2019-09-17,Student,Medical Treatment
Hassan Syed,S/O Adnan Akhtar,13302-5520370-7,AB1122368,Pakistani,Islamabad,Pakistan,Saudi Arabia,2016-06-28,Visit,Medical Treatment
Adnan Zaidi,S/O Chaudhry Ahmed,21301-5996895-6,AB5137141,Pakistani,Sialkot,Pakistan,China,2015-01-01,Visit,Medical Treatment
Arif Sheikh,S/O Naveed Hameed,21301-7842439-7,AB4200499,Pakistani,Gilgit,Pakistan,USA,2022-10-13,Visit,Medical Treatment
Mohammad Sandhu,S/O Ahmed Ali,21301-3346095-1,AB6349231,Pakistani,Muzaffarabad,Pakistan,UAE,2018-08-30,Business,Business Meeting
Aamir Raja,S/O Syed Aslam,13302-3332169-7,AB6530738,Pakistani,Islamabad,Pakistan,Saudi Arabia,2023-04-26,Tourist,Employment
Mohd Syed,S/O Kashif Qureshi,61101-1603622-6,AB6605761,Pakistani,Mingora,Pakistan,Canada,2017-05-16,Visit,Business Meeting
Mohd Husasin,S/O Qureshi Sheikh,35202-3260300-6,AB4574212,Pakistani,Islamabad,Pakistan,UAE,2020-10-07,Work,Family Visit
صنا ملک,S/O Salman Raja,54000-1235219-9,AB5983057,Pakistani,Islamabad,Pakistan,UAE,2015-02-11,Work,Family Visit
Mohammad Chaudhry,S/O Salman Khan,54000-6205651-9,AB8504005,Pakistani,Quetta,Pakistan,UAE,2021-09-03,Student,Education
عمر شیخ,S/O Rukhsar Bhatti,61101-8119368-1,AB9777499,Pakistani,Hyderabad,Pakistan,Turkey,2016-11-22,Visit,Education
فاطمہ خان,S/O Bilal Ali,35202-3478995-8,AB6038940,Pakistani,Gilgit,Pakistan,Turkey,2023-11-02,Work,Medical Treatment
Hamid Cheema,S/O Asif Tarar,42101-3175531-3,AB1244270,Pakistani,Muzaffarabad,Pakistan,France,2015-11-07,Work,Employment
Ahmed Hashmi,S/O Imran Raza,21301-2151309-7,AB8534965,Pakistani,Nawabshah,Pakistan,Saudi Arabia,2015-07-05,Visit,Tourism
Ayesha Baig,S/O Kamran Jafri,13302-9141073-3,AB9172281,Pakistani,Sialkot,Pakistan,Malaysia,2023-01-19,Work,Family Visit
Ayesha Zaidi,S/O Chaudhry Chaudhry,44000-4894835-6,AB3840896,Pakistani,Bannu,Pakistan,France,2023-09-23,Visit,Employment
Aamir Nawaz,S/O Ali Raja,21301-5234273-6,AB6363208,Pakistani,Gwadar,Pakistan,UAE,2023-03-04,Student,Employment
Mehwish Bhatti,S/O Bilal Naqvi,44000-2113457-6,AB7689688,Pakistani,Turbat,Pakistan,Germany,2022-12-07,Visit,Medical Treatment
Mohd Gujjar,S/O Muhammad Malik,54000-5033945-4,,Pakistani,Lahore,Pakistan,Turkey,2016-06-20,Tourist,Education
Bushra Ahmed,S/O Asif Hussain,44000-1468888-7,AB8494731,Pakistani,Muzaffarabad,Pakistan,Germany,2018-04-28,Work,Education
Malik Rana,S/O ابراہیم ملک,13302-2548963-7,AB5789055,Pakistani,Bannu,Pakistan,Malaysia,2017-08-10,Student,Employment
Muhammad Baig,S/O Raja Hussain,61101-5761916-7,AB7526618,Pakistani,Bannu,Pakistan,Malaysia,2022-11-14,Tourist,Tourism
Iqra Naqvi,S/O Tariq Butt,13302-8632670-5,AB5315404,Pakistani,Bannu,Pakistan,Saudi Arabia,2021-12-04,Business,Medical Treatment
Sobia Gujjar,S/O Hassan Zaidi,44000-2189717-2,AB4007742,Pakistani,Islamabad,Pakistan,UK,2016-10-12,Visit,Family Visit
Malik Ansari,S/O Arif Khan,13302-9321956-9,AB3758563,Pakistani,Hyderabad,Pakistan,Malaysia,2021-09-23,Tourist,Family Visit
Asma Mirza,S/O مریم چودھری,61101-4843914-9,AB7399226,Pakistani,Karachi,Pakistan,Turkey,2022-11-20,Visit,Education
Malik Ali,S/O Saira Bukhari,,AB1341300,Pakistani,Muzaffarabad,Pakistan,Malaysia,2017-01-16,Visit,Tourism
Naeem Ali,S/O Asma Raja,21301-6889724-8,AB7227948,Pakistani,Turbat,Pakistan,USA,2019-08-11,Student,Medical Treatment
Mohd Rizvi,S/O Imran Baig,61101-1948754-9,AB5167862,Pakistani,Larkana,Pakistan,Malaysia,2022-01-28,Tourist,Tourism
Usman Sheikh,S/O Zubair Chattha,54000-8843817-7,AB1445697,Pakistani,Sargodha,Pakistan,Malaysia,2020-02-07,Business,Family Visit
مریم چودھری,S/O Bilal Akhtar,42101-8747979-9,AB3846927,Pakistani,Islamabad,Pakistan,Malaysia,2017-04-08,Business,Employment
Shazia Butt,S/O Raja Akhtar,54000-5584551-8,AB5634595,Pakistani,Larkana,Pakistan,Malaysia,2023-09-22,Visit,Tourism
Nadia Sandhu,,13302-4766269-1,AB3693878,Pakistani,Mirpurkhas,Pakistan,Canada,2022-12-27,Tourist,Business Meeting
Syed Karim,,,AB8739826,Pakistani,Turbat,Pakistan,Germany,2022-02-26,Business,Business Meeting
Baig Mirza,S/O Waseem Aslam,44000-4603881-7,AB9718347,Pakistani,Sukkur,Pakistan,Malaysia,2015-05-13,Business,Family Visit
Qureshi Hashmi,S/O Sajid Hameed,35202-7032073-8,AB2114306,Pakistani,Islamabad,Pakistan,France,2019-11-18,Tourist,Education
Adnan Karim,S/O Asma Zaidi,44000-5740446-7,AB3612169,Pakistani,Khuzdar,Pakistan,Saudi Arabia,2018-12-30,Student,Business Meeting
Asif Abbasi,S/O Chaudhry Aslam,42101-3281135-5,AB8870674,Pakistani,Islamabad,Pakistan,China,2020-08-07,Student,Employment
Mohd Malik,S/O Raja Bukhari,21301-8650185-4,AB9884379,Pakistani,Mingora,Pakistan,Canada,2023-09-08,Business,Employment
Rabia Baig,S/O Noor Butt,42101-8325844-3,AB6690086,Pakistani,Skardu,Pakistan,China,2021-07-23,Tourist,Tourism
Bushra Ahmed,,35202-2596150-3,AB1306544,Pakistani,Kohat,Pakistan,USA,2019-05-14,Work,Employment
Hina Hashmi,S/O Sobia Syed,61101-5681608-8,AB3748986,Pakistani,Chilas,Pakistan,USA,2017-10-22,Visit,Medical Treatment
Mehwish Hussain,S/O Ayesha Gilani,13302-1590969-1,AB7371219,Pakistani,Larkana,Pakistan,UK,2015-10-19,Business,Education
Qureshi Hashmi,S/O Omar Malik,35202-5814225-8,AB5174264,Pakistani,Sukkur,Pakistan,France,2016-01-15,Business,Family Visit
Sajid Abbasi,S/O Asma Hashmi,44000-3276171-8,AB7599762,Pakistani,Khuzdar,Pakistan,UK,2020-03-04,Visit,Business Meeting
Mehwish Ahmed,S/O Hamid Ahmed,21301-1421749-6,AB7905152,Pakistani,Larkana,Pakistan,UAE,2018-12-24,Student,Business Meeting
Syed Jari,S/O Tahir Gilani,54000-6924756-4,AB4161660,Pakistani,Chilas,Pakistan,China,2017-03-14,Tourist,Employment
,S/O Ayesha Chaudhry,44000-7680009-1,AB2714486,Pakistani,Islamabad,Pakistan,Canada,2015-11-14,Business,Employment
Shoaib Ansari,S/O Amna Mirza,42101-3610929-4,AB8438262,Pakistani,Rawalakot,Pakistan,UK,2015-05-29,Student,Tourism
Mohd Aslam,S/O Malik Chattha,44000-9216521-2,AB9658110,Pakistani,Islamabad,Pakistan,France,2023-08-31,Visit,Medical Treatment
Aamir Akhtar,S/O Rabia Abbasi,44000-3029994-5,AB6792631,Pakistani,Faisalabad,Pakistan,China,2021-02-22,Visit,Business Meeting
Malik Cheema,S/O Maryam Gujjar,44000-1309975-3,AB8707489,Pakistani,Karachi,Pakistan,Saudi Arabia,2016-08-27,Business,Tourism
ابراہیم ملک,S/O Rabia Naqvi,42101-8075720-5,AB2678786,Pakistani,Karachi,Pakistan,UK,2022-07-10,Business,Business Meeting
Adnan Akhtar,S/O Fatima Tarar,21301-5119761-5,AB8272454,Pakistani,Gujranwala,Pakistan,Malaysia,2018-04-07,Work,Employment
Saira Zaidi,S/O Omar Zaidi,54000-3188240-1,AB2393319,Pakistani,Khuzdar,Pakistan,UAE,2016-09-20,Business,Employment
Sidra Naqvi,S/O Tariq Syed,21301-6668862-9,AB1465661,Pakistani,Chilas,Pakistan,France,2019-12-05,Visit,Employment
Ayesha Naqvi,S/O Zainab Hameed,35202-1874606-6,AB3598554,Pakistani,Multan,Pakistan,Malaysia,2017-08-18,Business,Employment
Mehwish Ahmed,,21301-1421749-6,AB6250967,Pakistani,Larkana,Pakistan,UK,2015-04-04,Student,Employment
Hussain Sheikh,S/O Waseem Chaudhry,13302-9690736-8,AB5124152,Pakistani,Larkana,Pakistan,France,2015-03-14,Student,Medical Treatment
Hassan Aslam,S/O Ayesha Rana,42101-6584573-9,AB2890407,Pakistani,Gilgit,Pakistan,Canada,2016-03-27,Work,Family Visit
Shazia Butt,S/O Hussain Qureshi,61101-1896729-9,AB1433695,Pakistani,Gilgit,Pakistan,Germany,2019-11-23,Work,Family Visit
Bushrra Nawaz,S/O Raja Gilani,54000-5510178-3,AB5498508,Pakistani,Islamabad,Pakistan,Turkey,2018-04-14,Student,Medical Treatment
Shoaib Gondal,S/O Amna Sheikh,21301-9934326-9,AB8078170,Pakistani,Islamabad,Pakistan,UAE,2017-11-30,Work,Medical Treatment
