canonical_name,father_name,cnic,owner_number,province,city,society_name,property_type,plot_house_no,area,purchase_year,ownership_status,market_value,phone
Aamir Jafri,S/O Ali Zaidi,61101-3288328-9,03338244209,KPK,Peshawar,Gulberg,Apartment,309,50 Marla,2001,Owned,9317330.0,0333-8244209
,S/O Hamid Aslam,42101-3811450-6,03132196955,KPK,Abbottabad,Saddar,House,307,21 Marla,2007,Owned,15455780.0,0313-2196955
Hina Mirza,S/O Hassan Gondal,,03037469044,Balochistan,Turbat,PAF Colony,House,964,79 Sq.Ft,1995,Rented,254643340.0,0303-7469044
Imran Ansari,S/O Hussain Khan,21301-2668699-5,03337715147,Punjab,Gujranwala,Defence,House,568,70 Kanal,2006,Mortgaged,56494150.0,0333-7715147
Nadia Khan,S/O Waseem Malik,13302-8346285-7,03228671957,KPK,Bannu,Gulberg,House,231,25 Sq.Ft,2017,Owned,191626100.0,0322-8671957
Imran Tarar,S/O Sobia Cheema,54000-1887311-2,03121345084,Sindh,Nawabshah,F-10,House,795,64 Marla,1996,Rented,412138110.0,0345-8305460
Faisal Butt,S/O Asif Nawaz,61101-4999470-3,03459240873,Gilgit-Baltistan,Chilas,Gulberg,Residential Plot,965,12 Sq.Ft,2002,Rented,33126790.0,0301-9312429
Ali Aslam,S/O Arif Virk,44000-5394356-5,03337294416,Punjab,Sargodha,Clifton,Residential Plot,154,90 Kanal,2011,Mortgaged,319711150.0,0333-7294416
Usman Rana,S/O Sobia Sheikh,54000-7324530-4,03009833999,KPK,Mardan,Cavalry Ground,Apartment,780,70 Kanal,2015,Rented,31194940.0,0300-9833999
Muhammad Khan,S/O Shoaib Zaidi,35202-8375620-8,03124903014,KPK,Mardan,Askari,Apartment,411,45 Kanal,2004,Sold,0.0,0312-4903014
محمد احمد,S/O Kashif Sheikh,44000-4161506-3,03119203143,ICT,Islamabad,I-8,House,902,32 Kanal,2023,Sold,60159930.0,0311-9203143
Sana Gujjar,S/O Qureshi Baig,35202-3747511-2,03024558662,ICT,Islamabad,Scheme 33,House,151,26 Kanal,2006,Owned,25708350.0,0302-4558662
Adnan Khan,S/O Shazia Tarar,21301-6129133-2,03468513406,Gilgit-Baltistan,Skardu,Askari,House,398,19 Sq.Ft,2016,Owned,98821930.0,0346-8513406
محمد علی,S/O Nadia Chattha,21301-9118604-3,03026833165,ICT,Islamabad,North Nazimabad,Agricultural Land,147,94 Marla,2009,Owned,519456350.0,0302-6833165
Imran Chattha,S/O Bilal Ansari,61101-3754127-4,03036085186,Azad Kashmir,Rawalakot,I-8,Apartment,262,4 Sq.Ft,2009,Mortgaged,8988260.0,0303-6085186
Zubair Syed,S/O Faisal Raja,61101-3123410-3,03133141011,Punjab,Multan,I-8,House,218,38 Kanal,2020,Rented,128383690.0,0313-3141011
Asma Karim,S/O Mohammad Syed,54000-8547260-8,03016348075,Balochistan,Turbat,Gulberg,House,295,29 Kanal,2023,Sold,95182930.0,0301-6348075
Bilal Rafiq,S/O Hina Rana,21301-7599212-8,03333078704,ICT,Islamabad,Model Town,House,880,45 Marla,2020,Rented,147867500.0,0333-3078704
Shazia Baig,,44000-8249042-8,03332602797,Sindh,Karachi,Askari,House,136,11 Marla,2010,Sold,17571640.0,0333-2602797
,S/O Malik Ahmed,21301-7675111-3,03122718068,Punjab,Multan,Defence,Apartment,870,19 Sq.Ft,2023,Rented,13149380.0,0332-9818173
Amna Hashmi,S/O Uzma Bukhari,21301-8602235-9,03015288872,Punjab,Rawalpindi,Scheme 33,House,474,77 Marla,1998,Owned,16837230.0,0301-5288872
,S/O Bilal Chaudhry,13302-5434015-6,03019558134,Azad Kashmir,Muzaffarabad,I-8,Residential Plot,215,27 Kanal,2004,Mortgaged,60823700.0,0301-9558134
Aamir Sandhu,S/O Zainab Gondal,61101-7843136-1,,Punjab,Multan,North Nazimabad,Residential Plot,666,3 Sq.Ft,2007,Sold,156322830.0,0346-9791787
Imran Akhtar,S/O Omar Syed,13302-4859134-4,03129522296,Azad Kashmir,Mirpur,DHA,House,206,63 Kanal,1996,Rented,104018030.0,0312-9522296
Usman Gondal,S/O Fatima Akhtar,44000-6560834-4,03326457449,Sindh,Mirpurkhas,Askari,Commercial Plot,820,79 Marla,2022,Rented,635320500.0,0332-6457449
Fatima Tarar,S/O Mehwish Malik,61101-8513116-5,03032753004,ICT,Islamabad,Gulshan-e-Iqbal,Apartment,506,11 Sq.Ft,2004,Owned,63724780.0,0303-2753004
Omarr Qureshi,S/O Tariq Raza,54000-4491484-5,03328959326,Sindh,Nawabshah,Cavalry Ground,Apartment,784,62 Kanal,1996,Sold,111977560.0,0332-8959326
Asma Khan,S/O Hina Cheema,61101-4393282-3,03327052003,Gilgit-Baltistan,Skardu,Clifton,Residential Plot,89,65 Sq.Ft,2015,Mortgaged,23897010.0,0332-7052003
محمد حسن,S/O Khalid Rana,42101-7004831-5,03011654541,Gilgit-Baltistan,Chilas,Askari,House,768,70 Kanal,2014,Owned,99553320.0,0301-1654541
Tahir Raja,S/O Ayesha Ahmed,54000-4023092-6,03015864248,Sindh,Sukkur,Cavalry Ground,Residential Plot,415,51 Kanal,2002,Rented,303041000.0,0301-5864248
Ali Bukhari,S/O Ali Aslam,61101-3617098-2,03313477610,Sindh,Larkana,Cantt,House,860,77 Marla,2014,Sold,31520070.0,0331-3477610
Hashmi Khan,S/O Saira Gondal,54000-1701806-9,03467722708,Balochistan,Hub,Defence,House,484,39 Sq.Ft,2020,Sold,253905190.0,0346-7722708
Nadia Sandhu,S/O Naveed Aslam,,03315558079,Gilgit-Baltistan,Gilgit,Askari,Apartment,425,66 Kanal,1998,Mortgaged,250435710.0,0303-3362027
Hina Hameed,S/O Nadia Tarar,35202-4994032-6,03122954456,Sindh,Larkana,Scheme 33,Residential Plot,635,89 Kanal,2003,Owned,50507920.0,0312-8671895
Noor Gujjar,S/O Chaudhry Bukhari,21301-4691762-2,03121483827,Azad Kashmir,Mirpur,Cantt,Apartment,711,72 Marla,2011,Sold,25971610.0,0312-1483827
Usman Malik,S/O Fatima Akhtar,35202-6975721-3,03029113207,Azad Kashmir,Muzaffarabad,Cantt,Apartment,233,79 Sq.Ft,2020,Rented,22359540.0,0302-9113207
Noor Iqbal,S/O مریم چودھری,54000-7478733-5,03116074298,Gilgit-Baltistan,Chilas,Gulberg,Residential Plot,369,44 Kanal,2003,Sold,53115560.0,0311-6074298
Hassan Butt,S/O Rukhsar Jafri,61101-1474039-7,03459124192,Gilgit-Baltistan,Gilgit,Johar Town,Apartment,357,61 Marla,2007,Mortgaged,81389740.0,0345-9124192
Zainab Akhtar,S/O Muhammad Nawaz,35202-4672047-7,03028847168,Balochistan,Hub,F-10,Residential Plot,279,96 Marla,2013,Rented,293619890.0,0302-8847168
Adnan Sheikh,,44000-8671057-4,03005720376,Balochistan,Gwadar,DHA,House,869,7 Sq.Ft,1999,Sold,179990500.0,0300-5720376
Rukhsar Raza,S/O Amna Naqvi,44000-1581153-4,03216911261,Balochistan,Gwadar,Askari,Apartment,245,82 Kanal,2015,Mortgaged,113033440.0,0321-6911261
Shoaib Cheema,S/O Syed Syed,13302-6791685-8,03014080724,KPK,Mardan,F-10,House,707,35 Sq.Ft,2000,Sold,17134890.0,0301-4080724
Hussain Karim,S/O احمد خان,13302-8913154-7,03024031059,KPK,Mingora,North Nazimabad,Residential Plot,192,73 Kanal,2008,Owned,6371810.0,0302-4031059
Bushra Cheema,S/O Sobia Ali,61101-3349235-8,03466785826,KPK,Abbottabad,E-11,Commercial Building,67,27 Kanal,2016,Rented,679370540.0,0346-6785826
Hussain Ahmed,S/O Syed Aslam,35202-8020843-7,03225544419,Punjab,Gujranwala,North Nazimabad,House,423,81 Kanal,2003,Sold,60868150.0,0322-5544419
Rukhsar Rana,S/O S/O Shazia Rana,21301-1842524-9,03226323376,Sindh,Karachi,North Nazimabad,Residential Plot,921,96 Sq.Ft,2003,Rented,1455320.0,0322-6323376
Waseem Chaudhry,S/O Amna Bhatti,21301-6228045-9,03126709034,ICT,Islamabad,Model Town,House,672,29 Sq.Ft,1998,Mortgaged,105279440.0,
Imran Aslam,S/O Qureshi Virk,21301-6561686-1,03331590295,Sindh,Nawabshah,Bahria Town,Apartment,726,100 Marla,2000,Mortgaged,104045100.0,0321-2485726
Bushra Baig,S/O Nadia Iqbal,44000-8989855-3,03338944751,KPK,Peshawar,Model Town,Apartment,821,98 Marla,2022,Rented,125627950.0,0333-8944751
Shazia Jafri,S/O Khalid Cheema,,03213589358,Gilgit-Baltistan,Gilgit,Saddar,Residential Plot,570,85 Marla,2005,Rented,18846060.0,0321-3589358
Rabia Karim,S/O Rukhsar Bukhari,61101-2888331-6,03213096973,Punjab,Lahore,Gulshan-e-Iqbal,House,538,96 Marla,2006,Sold,47991480.0,0321-3096973
Hassan Gilani,S/O Rukhsar Cheema,61101-9937879-9,03325499844,KPK,Mardan,Clifton,Apartment,44,56 Kanal,2004,Sold,35902010.0,0332-5499844
Aamir Hssain,S/O Noor Bukhari,35202-7045114-6,03452167300,Balochistan,Khuzdar,DHA,Residential Plot,286,17 Marla,2004,Sold,153820780.0,0345-2167300
صنا ملک,S/O Asma Chattha,35202-8242152-8,03016717009,Gilgit-Baltistan,Gilgit,Cavalry Ground,Apartment,205,20 Marla,2016,Mortgaged,71721290.0,0301-6717009
Adnan Butt,S/O Aamir Malik,54000-1527651-2,03311084130,Gilgit-Baltistan,Skardu,Bahria Town,Apartment,932,86 Sq.Ft,1995,Sold,64156880.0,0331-1084130
Hassan Sandhu,S/O Asif Chaudhry,61101-9640608-3,03335368226,Azad Kashmir,Mirpur,PAF Colony,House,287,71 Sq.Ft,2004,Owned,81505730.0,0333-5368226
Nadia Abbasi,S/O Bilal Hashmi,42101-1805209-6,03218466761,Gilgit-Baltistan,Skardu,Clifton,Apartment,256,94 Kanal,1999,Owned,60924450.0,0321-8466761
زینب علی,S/O Asma Chaudhry,42101-5856449-1,03312800206,Gilgit-Baltistan,Chilas,Gulberg,Residential Plot,892,61 Sq.Ft,2003,Mortgaged,5927020.0,0331-2800206
Hina Qureshi,S/O Arif Chaudhry,35202-6824903-7,03314632352,Gilgit-Baltistan,Chilas,Gulshan-e-Iqbal,Residential Plot,828,28 Sq.Ft,2012,Rented,11393510.0,0331-4632352
Tahir Bhatti,S/O Zubair Gilani,61101-2100308-5,03228026853,KPK,Kohat,Bahria Town,House,539,9 Sq.Ft,2003,Rented,71924570.0,0322-8026853
Adnan Nawaz,S/O Maryam Hameed,44000-8127697-7,03117700499,ICT,Islamabad,North Nazimabad,Apartment,628,36 Sq.Ft,2010,,384900470.0,0311-7700499
Maryam Gondal,S/O Sheikh Rafiq,42101-7940318-8,03313650636,Balochistan,Khuzdar,Saddar,Apartment,749,61 Kanal,2013,Mortgaged,61339650.0,0301-5813325
Uzma Syed,S/O Waseem Rafiq,54000-2703045-4,03117824064,ICT,Islamabad,North Nazimabad,House,57,32 Marla,2022,Sold,137210940.0,0311-7824064
Naveed Qureshi,S/O Aamir Naqvi,61101-9324589-1,03217637290,Azad Kashmir,Mirpur,DHA,Residential Plot,145,79 Sq.Ft,2010,Sold,25827220.0,0321-7637290
Qureshi Raza,S/O Kashif Sheikh,54000-2369258-2,03027384534,Azad Kashmir,Mirpur,Johar Town,Residential Plot,33,34 Sq.Ft,2023,Mortgaged,18999280.0,0302-7384534
,S/O Shazia Syed,54000-3288888-8,03333091977,Punjab,Sialkot,Saddar,House,524,22 Sq.Ft,2023,Sold,20674330.0,0333-3091977
,S/O Mohammad Naqvi,35202-8707870-9,03225918715,Gilgit-Baltistan,Gilgit,Cavalry Ground,Residential Plot,969,30 Sq.Ft,2016,Mortgaged,618025360.0,0322-5918715
Iqra Naqvi,S/O Rabia Bhatti,35202-6873938-9,03314794319,ICT,Islamabad,Gulshan-e-Iqbal,House,416,82 Marla,2005,Rented,8629310.0,0331-4794319
Syed Baig,S/O Nadia Bukhari,54000-2715469-7,03338374199,Punjab,Sargodha,Township,House,443,57 Marla,1995,Owned,19394770.0,0333-8374199
محمد علی,S/O Sana Iqbal,54000-2894786-3,03027334196,ICT,Islamabad,Gulberg,Apartment,63,33 Kanal,2015,Owned,115050070.0,0332-5356252
نادیہ رضا,S/O Tahir Syed,13302-3345338-2,03033193037,Balochistan,Turbat,North Nazimabad,Residential Plot,623,93 Marla,2011,Owned,59453950.0,0303-3193037
Asma Sandhu,S/O Zubair Syed,42101-3722056-3,03453777286,Azad Kashmir,Muzaffarabad,North Nazimabad,Apartment,81,96 Kanal,1997,Sold,131972100.0,0345-3777286
Ahmed Hussain,S/O Baig Hashmi,54000-9935807-5,,Sindh,Karachi,Model Town,Agricultural Land,141,9 Sq.Ft,2000,,208997040.0,0302-1745848
Bushra Naqvi,S/O Khalid Gondal,35202-4292289-8,03111505381,Punjab,Lahore,Gulberg,Apartment,616,56 Kanal,2000,Sold,150593200.0,0311-1505381
Sidra Mirza,S/O Waseem Cheema,35202-2749316-5,03314105842,Gilgit-Baltistan,Chilas,Gulberg,Apartment,316,5 Sq.Ft,1998,Rented,70687680.0,0331-4105842
Naeem Bhatti,S/O Sidra Ali,13302-6400239-5,03132706649,Balochistan,Khuzdar,Scheme 33,Apartment,991,93 Marla,2015,Sold,28389890.0,0313-2706649
Hussain Sheikh,S/O Baig Rana,44000-6618466-6,03228662287,Balochistan,Quetta,Johar Town,Residential Plot,972,45 Kanal,2015,Sold,82867720.0,0322-8662287
Shazia Raza,S/O Kamran Gondal,35202-7275509-4,03014349758,Punjab,Gujranwala,I-8,House,331,3 Sq.Ft,2015,Rented,125906460.0,0301-4349758
Bushra Akhtar,S/O Hussain Virk,44000-4963902-5,03332836456,ICT,Islamabad,Township,House,420,20 Kanal,1997,Owned,62032300.0,0333-2836456
Arif Butt,S/O Raja Rafiq,44000-9877514-2,03003631333,Balochistan,Gwadar,DHA,Apartment,123,32 Marla,2012,Sold,14407230.0,0300-3631333
Arif Amhed,S/O Omar Tarar,13302-5777764-2,03137423351,Punjab,Sialkot,Scheme 33,House,995,74 Sq.Ft,2013,Mortgaged,260130090.0,0313-7423351
Rukhsar Virk,S/O Ahmed Hussain,42101-9381416-6,,KPK,Mardan,Askari,Apartment,808,57 Sq.Ft,2020,Owned,56329090.0,0313-2577415
,S/O Sajid Abbasi,21301-2856383-4,03035722003,ICT,Islamabad,PAF Colony,Residential Plot,337,39 Marla,2023,Sold,151278490.0,0303-5722003
Baig Qureshi,S/O Bilal Qureshi,42101-3073320-1,03315544401,KPK,Bannu,DHA,Apartment,559,65 Kanal,2003,Owned,272587230.0,0331-5544401
Tariq Gilani,S/O Rabia Abbasi,35202-9462341-6,03039490354,Punjab,Rawalpindi,G-9,Apartment,53,47 Marla,2017,Rented,16144240.0,0303-9490354
Salman Chattha,S/O Maryam Rana,54000-2037751-4,03315605334,KPK,Bannu,Cavalry Ground,Apartment,386,88 Kanal,1996,Sold,48836350.0,0313-5783642
صنا ملک,S/O Iqra Sandhu,61101-8771699-4,,KPK,Peshawar,DHA,Residential Plot,598,17 Marla,2000,Owned,141353010.0,0345-3373918
Hashmi Khan,S/O Mirza Karim,13302-9789306-6,,Punjab,Gujranwala,Cavalry Ground,House,791,58 Kanal,2010,Sold,10200850.0,0332-3021324
Saira Hameed,S/O Rabia Ahmed,61101-6092234-5,03027277116,Sindh,Karachi,Township,Apartment,932,88 Sq.Ft,2016,Rented,12715980.0,0302-7277116
Sobia Mirza,S/O S/O Zainab Cheema,13302-4445809-6,03332665880,Sindh,Mirpurkhas,Defence,Residential Plot,373,71 Kanal,1997,Rented,8217430.0,0333-2665880
Zainab Butt,S/O Nadia Rafiq,61101-6465458-3,03133066108,Balochistan,Gwadar,Gulberg,Residential Plot,209,74 Kanal,2019,Owned,47232750.0,0313-3066108
Iqra Cheema,S/O Zubair Chattha,42101-3134406-8,03022459729,Sindh,Nawabshah,PAF Colony,Apartment,332,82 Marla,2003,Owned,53521240.0,0302-2459729
Hussain Khan,S/O Amna Virk,54000-7146079-7,03034386825,KPK,Kohat,Township,Apartment,967,61 Kanal,2016,Rented,329211190.0,0303-4386825
Sobia Naqvi,S/O Tahir Butt,44000-2311972-4,03333397195,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Residential Plot,887,45 Marla,2002,Owned,181375200.0,0333-3397195
Aamir Chattha,S/O Sidra Raja,42101-9890227-1,03466848616,Sindh,Karachi,Bahria Town,Apartment,9,94 Sq.Ft,2014,Sold,344111990.0,0346-6848616
Bilal Chattha,S/O Asif Butt,,03319213416,Balochistan,Gwadar,PAF Colony,Apartment,786,21 Marla,2020,Sold,28703690.0,0331-9213416
Syed Ansari,S/O Amna Chaudhry,44000-2179598-7,03219774950,Azad Kashmir,Muzaffarabad,Askari,Apartment,340,89 Kanal,2008,Sold,81788820.0,0321-9774950
Faisal Sheikh,S/O Kashif Chattha,42101-4797091-5,03127205610,Balochistan,Gwadar,I-8,Residential Plot,611,94 Kanal,2020,Rented,4258570.0,0312-7205610
Rukhsar Raja,S/O Shoaib Khan,42101-2671507-3,,Sindh,Nawabshah,F-10,Apartment,225,100 Marla,2010,Rented,20969940.0,0345-6154176
Zubair Raza,S/O Kashif Khan,54000-5119286-7,03333053624,ICT,Islamabad,North Nazimabad,House,113,16 Kanal,2016,Owned,0.0,0333-3053624
Khalid Akhtr,S/O احمد خان,44000-3542507-3,03014533419,ICT,Islamabad,I-8,House,675,4 Marla,2007,Mortgaged,69469370.0,0301-4533419
Bilal Akhtar,S/O S/O Asma Malik,44000-5374141-9,03466267395,ICT,Islamabad,Township,House,489,93 Marla,2014,Owned,27948840.0,0346-6267395
Ayesha Karim,S/O Iqra Akhtar,61101-6335944-8,03007657632,Punjab,Sialkot,Cavalry Ground,House,853,45 Sq.Ft,2008,Rented,174467570.0,0300-7657632
Sidra Zaidi,S/O Syed Virk,42101-8883703-3,03002335122,Azad Kashmir,Rawalakot,Gulshan-e-Iqbal,Apartment,518,53 Kanal,2010,Mortgaged,110779220.0,0300-2335122
Rabia Abbasi,S/O Asif Abbasi,54000-9953630-6,03023027788,Sindh,Larkana,Cantt,House,988,23 Marla,2017,Sold,87379520.0,
Aamir Baig,S/O Rukhsar Hameed,21301-6108132-9,03317876072,KPK,Peshawar,Bahria Town,Residential Plot,29,37 Kanal,2010,Sold,26760300.0,0331-7876072
Rabia Abbasi,S/O عمر شیخ,61101-9151794-1,03135272208,Gilgit-Baltistan,Skardu,Cantt,House,37,90 Marla,1998,Rented,29963600.0,0313-3830111
Shoaib Karim,S/O Chaudhry Latif,54000-8002077-6,03039151054,Azad Kashmir,Mirpur,Gulshan-e-Iqbal,Residential Plot,380,23 Kanal,1996,Rented,19952560.0,0303-9151054
Raja Raja,S/O Usman Karim,21301-4127989-9,03461107609,Sindh,Mirpurkhas,Gulberg,House,117,15 Marla,2003,Sold,47563620.0,0346-1107609
Hamid Cheema,S/O Qureshi Hameed,35202-2013269-4,03111869156,ICT,Islamabad,Gulberg,Apartment,976,54 Sq.Ft,2020,Owned,44597510.0,0311-1869156
Shoaib Hameed,S/O Bilal Nawaz,42101-5639260-9,03129568652,Balochistan,Hub,I-8,House,814,12 Kanal,2023,Sold,61574230.0,0312-9568652
Maryma Tarar,,54000-5485649-1,,Gilgit-Baltistan,Skardu,Clifton,House,134,22 Marla,2000,Rented,33107610.0,0321-7240708
Mirza Hussain,S/O Usman Qureshi,21301-1926012-2,03018711468,ICT,Islamabad,Township,House,807,10 Sq.Ft,1996,Owned,98532260.0,0301-8711468
Rabia Ali,S/O Hashmi Rizvi,44000-3140161-8,03034596805,Punjab,Faisalabad,I-8,Commercial Plot,767,9 Sq.Ft,2019,Owned,428995000.0,0303-4596805
,S/O Hamid Qureshi,61101-7828762-4,03114082743,KPK,Kohat,Cantt,Apartment,756,40 Sq.Ft,2020,Sold,36112810.0,0311-4082743
Hashmi Qureshi,S/O S/O Shoaib Bukhari,42101-1593302-9,03136367620,Azad Kashmir,Rawalakot,Saddar,House,223,80 Marla,2018,Owned,68557260.0,0313-6367620
Mirza Rana,S/O Uzma Chattha,35202-4701218-7,03465715372,Sindh,Nawabshah,Askari,House,839,88 Sq.Ft,2013,Mortgaged,70756680.0,0346-5715372
Arif Raza,S/O Kashif Iqbal,35202-7592973-1,03339407754,KPK,Mingora,Gulberg,House,865,23 Kanal,2014,Owned,47279740.0,0333-9407754
Asma Karim,S/O Qureshi Raja,54000-5863789-7,03227393458,Azad Kashmir,Mirpur,DHA,Residential Plot,100,37 Sq.Ft,2009,,10029310.0,0322-7393458
Amna Akhtar,S/O Chaudhry Ahmed,35202-8247864-4,03214667999,Azad Kashmir,Mirpur,DHA,Apartment,503,33 Marla,2002,Sold,182422640.0,0321-4667999
Kashif Mallik,S/O Mirza Abbasi,61101-7557976-7,03227483284,Punjab,Sialkot,Gulshan-e-Iqbal,Agricultural Land,400,67 Sq.Ft,2017,Sold,535066060.0,0322-7483284
Ibrahim Karim,S/O Waseem Raza,35202-7858320-6,03455600435,Gilgit-Baltistan,Gilgit,Johar Town,House,976,33 Marla,2008,Mortgaged,20513310.0,0345-5600435
Sobia Chattha,S/O Rizwan Aslam,61101-8350368-8,03455014745,Punjab,Sialkot,Model Town,Apartment,321,59 Sq.Ft,2017,Sold,84810530.0,0345-5014745
Arif Cheema,S/O مریم چودھری,21301-6965635-3,03119774122,Balochistan,Quetta,G-9,House,245,77 Marla,2018,Owned,52274550.0,0311-9774122
Mehwish Chaudhry,S/O Asma Virk,61101-3443510-3,03213618291,Balochistan,Khuzdar,Gulshan-e-Iqbal,Apartment,931,75 Kanal,2019,Sold,112945200.0,0321-3618291
Noor Hussain,S/O Bushra Jafri,54000-5016918-5,03026941510,Azad Kashmir,Muzaffarabad,Clifton,Commercial Building,665,48 Kanal,2015,Sold,339347300.0,0302-6941510
Nadia Nawaz,S/O Naeem Hussain,54000-7150244-2,03039466470,Punjab,Rawalpindi,North Nazimabad,House,451,73 Kanal,2019,Rented,41812910.0,0303-9466470
Aamir Aslam,S/O Salman Karim,13302-2272104-8,03227500931,Balochistan,Hub,Scheme 33,Apartment,197,92 Marla,2008,Owned,72248260.0,0322-7500931
Shazia Baig,S/O Naveed Hameed,21301-6659176-4,03216057746,Azad Kashmir,Rawalakot,North Nazimabad,Residential Plot,219,29 Kanal,2023,,174690700.0,0321-6057746
Mehwish Gujjar,S/O Aamir Syed,44000-5133533-4,03469569129,Sindh,Hyderabad,North Nazimabad,Apartment,544,51 Sq.Ft,2010,Owned,26867570.0,0346-9569129
Qureshi Karim,S/O Saira Latif,54000-1903147-4,03015560303,Sindh,Hyderabad,Johar Town,Residential Plot,465,66 Sq.Ft,2020,Mortgaged,129713290.0,0333-9281598
Aamir Zaidi,S/O S/O Khalid Sheikh,13302-9361693-6,03117583744,Balochistan,Quetta,Bahria Town,House,324,87 Kanal,2022,Owned,1762040.0,0311-7583744
Hashmi Latif,S/O Maryam Chattha,21301-3288346-3,03312366531,ICT,Islamabad,E-11,Apartment,588,62 Sq.Ft,1998,Owned,48431080.0,0313-2511430
Rizwan Gondal,S/O Hamid Virk,21301-8198810-2,,KPK,Peshawar,Saddar,Residential Plot,298,7 Kanal,1999,Owned,15109620.0,0333-9379755
Mohammad Tarar,S/O Arif Ahmed,42101-4094310-5,03124672688,Sindh,Nawabshah,Cavalry Ground,Apartment,832,58 Kanal,2016,Mortgaged,31475740.0,0333-9207919
Shoaib Hameed,S/O محمد علی,13302-2863712-1,03017967211,Punjab,Sargodha,North Nazimabad,Residential Plot,520,47 Marla,2014,Sold,173043610.0,0301-7967211
Muhammad Cheema,S/O Ahmed Syed,44000-2245997-1,03134899295,Azad Kashmir,Mirpur,Cavalry Ground,Apartment,630,11 Sq.Ft,2016,Sold,24106880.0,0313-4899295
Sana Virk,S/O Usman Syed,35202-8534089-8,03468017921,KPK,Kohat,E-11,House,74,37 Kanal,1999,Mortgaged,107018060.0,0346-8017921
Fatima Chattha,S/O Amna Sandhu,44000-9107275-2,03005262610,ICT,Islamabad,Township,House,71,25 Kanal,2014,Owned,17380390.0,0302-7493393
Syed Hmeed,S/O Hina Sandhu,54000-2859597-7,03316142532,Gilgit-Baltistan,Skardu,Township,Apartment,65,38 Marla,2010,Sold,94265720.0,0331-6142532
Hashmi Nawaz,S/O S/O Kamran Hussain,21301-6945304-3,03312808110,Balochistan,Hub,Gulberg,Residential Plot,260,37 Kanal,2003,Rented,6695580.0,0331-2808110
Chaudhry Gondal,,44000-4343740-3,03327816788,Balochistan,Hub,Gulshan-e-Iqbal,Residential Plot,672,40 Sq.Ft,1996,Mortgaged,168035240.0,0332-7816788
Hamid Ansari,S/O Naveed Akhtar,35202-9151183-6,03464038894,Punjab,Gujranwala,Gulberg,House,540,15 Sq.Ft,2021,Mortgaged,76427710.0,0346-4038894
Zubair Gilani,S/O Fatima Hussain,21301-9839521-2,03032290704,KPK,Abbottabad,Scheme 33,House,692,11 Kanal,2008,Owned,85330630.0,0303-2290704
Syed Hashmi,S/O Khalid Tarar,42101-7166632-9,03223764040,Gilgit-Baltistan,Chilas,F-10,Residential Plot,77,79 Marla,2016,Rented,136397010.0,0322-3764040
Mohammad Sandhu,S/O Zubair Cheema,42101-4002078-9,03454360746,KPK,Bannu,Johar Town,Apartment,341,16 Marla,2009,Sold,111900150.0,0345-4360746
Sheikh Hussain,S/O Baig Iqbal,35202-7776989-1,03469413811,Punjab,Bahawalpur,Askari,Apartment,575,81 Sq.Ft,2003,Sold,108191030.0,0346-9413811
Arif Mirza,S/O Sheikh Akhtar,54000-8843990-1,03312341370,Azad Kashmir,Rawalakot,G-9,Residential Plot,836,96 Kanal,2013,Rented,115984060.0,0331-2341370
Malik Nawaz,S/O Rizwan Chattha,13302-4375409-5,03215301840,Punjab,Sargodha,Defence,Apartment,748,35 Marla,1995,Sold,37153950.0,0321-5301840
Sajid Hussain,S/O Hamid Bukhari,44000-9404879-9,03333252405,Balochistan,Hub,Saddar,Apartment,101,96 Marla,2006,Rented,80073010.0,0333-3252405
Adnan Bukhari,S/O Shazia Sandhu,44000-7208789-5,03123301977,Azad Kashmir,Mirpur,North Nazimabad,House,509,53 Kanal,2010,Owned,159820920.0,0312-3301977
Imran Chattha,S/O Rizwan Iqbal,61101-5208339-1,03017074471,Balochistan,Turbat,DHA,Apartment,16,97 Marla,2022,Owned,15774290.0,0301-7074471
Malik Gujjar,S/O Saira Bukhari,44000-5437455-1,03136905117,Balochistan,Khuzdar,Johar Town,House,198,29 Kanal,2010,Sold,40199190.0,0313-6905117
Arif Ahmed,S/O Omar Tarar,13302-5777764-2,03137423351,Punjab,Sialkot,I-8,Apartment,892,76 Kanal,2011,Owned,0.0,0313-7423351
,S/O Nadia Zaidi,61101-8092498-9,03119514426,Punjab,Multan,Gulberg,Apartment,507,79 Marla,2016,Sold,41139930.0,0311-9514426
Raja Hussain,S/O ابراہیم ملک,44000-1228991-4,03131134702,Sindh,Mirpurkhas,Gulshan-e-Iqbal,Residential Plot,221,32 Kanal,1996,Owned,614694080.0,0313-1134702
,S/O احمد خان,61101-3274128-4,03004597093,Sindh,Sukkur,I-8,House,752,87 Kanal,1999,Owned,56010480.0,0300-4597093
Ahmed Hussain,S/O Noor Latif,44000-2090215-5,03328289875,KPK,Bannu,Defence,House,730,56 Kanal,2010,Rented,8694680.0,0332-8289875
Sidra Qureshi,S/O S/O Fatima Baig,54000-8493596-6,03459848116,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Apartment,853,25 Kanal,1997,Rented,0.0,
Hassan Hameed,S/O Hamid Khan,44000-5535332-3,03224882806,Balochistan,Gwadar,PAF Colony,Residential Plot,585,15 Marla,2005,Sold,14959080.0,0322-4882806
