company_name,canonical_name,father_name,entity_type,cnic,incorporation_date,status,registered_office_address,province,city
Star Associates,Sheikh Gilani,S/O Hamid Aslam,LLP,61101-7055937-6,2000-02-19,Active,"House 158, Block C, Defence, Islamabad",ICT,Islamabad
Meezan Enterprises,Kashif Gilani,S/O Ayesha Iqbal,Partnership,35202-5586300-3,2015-02-05,Active,"House 8, Block B, Saddar, Hub",Balochistan,Hub
Al Brothers,Rizwan Sheikh,S/O Ayesha Latif,Partnership,42101-2904768-7,2008-05-05,Active,"House 305, Block C, Clifton, Mirpur",Azad Kashmir,Mirpur
Star Associates,Usman Nawaz,S/O Naeem Chattha,Partnership,61101-8784988-3,2009-11-24,Dissolved,"House 420, Block E, Clifton, Gwadar",Balochistan,Gwadar
Royal Associates,Saira Cheema,S/O Uzma Qureshi,LLP,61101-8416290-3,2010-11-16,Active,"House 124, Block G, Clifton, Islamabad",ICT,Islamabad
Global Brothers,Omar Gilani,S/O Rizwan Tarar,Sole Proprietorship,13302-4321436-3,2017-05-08,Dissolved,"House 159, Block D, Clifton, Islamabad",ICT,Islamabad
Prime Solutions,Hassan Iqbal,S/O Rukhsar Hameed,Public Limited,42101-9422139-2,2013-09-09,Active,"House 57, Block F, G-9, Larkana",Sindh,Larkana
Al Services,Rukhsar Gondal,S/O Naeem Baig,LLP,42101-4806349-8,2008-03-19,Active,"House 85, Block C, Gulshan-e-Iqbal, Nawabshah",Sindh,Nawabshah
Global Services,Uzma Tarar,S/O Omar Hussain,Private Limited,42101-4071787-6,2007-02-02,Active,"House 126, Block A, Scheme 33, Chilas",Gilgit-Baltistan,Chilas
Global Associates,Bilal Virk,S/O Arif Qureshi,Sole Proprietorship,21301-8740454-8,2006-02-19,Active,"House 361, Block A, G-9, Islamabad",ICT,Islamabad
Meezan Corp,Mehwish Baig,S/O Imran Gondal,Partnership,35202-8760085-9,2010-10-12,Suspended,"House 188, Block H, Gulshan-e-Iqbal, Hyderabad",Sindh,Hyderabad
Al Brothers,Kamran Bhatti,S/O Malik Mirza,Private Limited,21301-6637955-7,1999-05-11,Active,"House 364, Block B, Defence, Quetta",Balochistan,Quetta
Global Enterprises,Mehwish Gondal,S/O Sobia Raja,Sole Proprietorship,35202-7190319-4,2005-11-29,Active,"House 313, Block F, Scheme 33, Multan",Punjab,Multan
Apex Enterprises,Hina Akhtar,S/O Nadia Gilani,Public Limited,21301-7189931-5,2003-04-01,Active,"House 124, Block H, PAF Colony, Turbat",Balochistan,Turbat
Atlas Enterprises,عائشہ احمد,S/O Qureshi Ali,LLP,13302-5662844-4,1997-09-06,Active,"House 399, Block G, Township, Bahawalpur",Punjab,Bahawalpur
Atlas Group,Usman Chaudhry,S/O Kamran Hashmi,Sole Proprietorship,44000-6488547-7,1996-05-24,Active,"House 231, Block E, North Nazimabad, Nawabshah",Sindh,Nawabshah
Atlas Group,,S/O Ibrahim Mirza,Public Limited,13302-7129228-2,1990-11-20,Active,"House 166, Block B, Defence, Sukkur",Sindh,Sukkur
Pak Industries,Raja Faisal,S/O Faisal Abbasi,Sole Proprietorship,21301-7268960-1,2002-06-26,Suspended,"House 276, Block F, Askari, Chilas",Gilgit-Baltistan,Chilas
National Services,Bukhari Qureshi,S/O Hina Butt,Sole Proprietorship,35202-9915142-7,2002-06-27,Active,"House 46, Block B, I-8, Kohat",KPK,Kohat
National Corp,Baig Chaudhry,S/O S/O Rukhsar Zaidi,Partnership,35202-6777952-3,2018-05-15,Active,,KPK,Bannu
Pak Brothers,Asma Butt,S/O Ibrahim Chattha,Partnership,54000-4029653-1,1995-11-11,Active,"House 246, Block B, Township, Skardu",Gilgit-Baltistan,Skardu
Star Services,Zainab Sandhu,S/O Sajid Iqbal,Sole Proprietorship,42101-1527353-4,2021-03-29,Active,"House 25, Block G, Defence, Rawalpindi",Punjab,Rawalpindi
United Corp,Syed Bukhari,S/O S/O Khalid Gujjar,LLP,42101-6491114-7,1998-10-08,Active,"House 352, Block B, E-11, Islamabad",ICT,Islamabad
Royal Services,,S/O Nadia Gujjar,Partnership,42101-7453759-6,2013-06-02,Active,"House 233, Block E, Cavalry Ground, Gwadar",Balochistan,Gwadar
Star Traders,Mehwish Chaudhry,S/O Bushra Butt,Private Limited,54000-5582950-8,2005-08-23,Active,"House 211, Block G, Cavalry Ground, Skardu",Gilgit-Baltistan,Skardu
Star Services,Kashif Mirza,S/O زینب علی,Public Limited,54000-6903546-1,2016-08-12,Active,"House 80, Block C, Clifton, Skardu",Gilgit-Baltistan,Skardu
National Industries,Sidra Raja,S/O Tariq Ahmed,Private Limited,42101-3392356-4,2014-06-01,Suspended,"House 462, Block B, E-11, Turbat",Balochistan,Turbat
National Brothers,Baig Jafri,S/O Raja Jafri,LLP,35202-5591159-3,2000-10-02,Active,"House 218, Block D, Cantt, Sukkur",Sindh,Sukkur
Atlas Solutions,Asma Khan,S/O Hina Cheema,Private Limited,61101-4393282-3,2020-02-26,Dissolved,"House 4, Block C, Bahria Town, Skardu",Gilgit-Baltistan,Skardu
National Enterprises,Raza Kamran,S/O Ahmed Gondal,Private Limited,61101-8429672-6,2016-12-09,Active,"House 391, Block E, Defence, Sukkur",Sindh,Sukkur
Al Traders,Baig Abbasi,S/O Waseem Butt,LLP,13302-3036884-5,2004-10-15,Dissolved,"House 112, Block D, Saddar, Gilgit",Gilgit-Baltistan,Gilgit
Global Solutions,Hamid Hameed,S/O Nadia Sandhu,LLP,21301-3649991-7,1995-12-19,Active,"House 282, Block F, Scheme 33, Skardu",Gilgit-Baltistan,Skardu
Pak Enterprises,Nadia Latif,S/O Hashmi Hameed,Private Limited,44000-4016499-8,2005-06-22,Suspended,,Balochistan,Hub
Al Associates,Syed Sandhu,S/O Sana Hashmi,LLP,21301-4792184-1,1994-01-28,Active,"House 382, Block H, Gulberg, Gwadar",Balochistan,Gwadar
Meezan Corp,Ayesha Hameed,S/O Usman Malik,Partnership,42101-1191370-7,1993-10-06,Active,"House 400, Block E, Gulberg, Karachi",Sindh,Karachi
Atlas Traders,Kashif Gondal,S/O Iqra Rafiq,Partnership,42101-3059380-1,1994-07-23,Active,"House 362, Block F, Gulshan-e-Iqbal, Mardan",KPK,Mardan
,Maryam Akhtar,S/O Faisal Bukhari,Private Limited,54000-2387594-7,2017-02-22,Active,"House 144, Block E, Saddar, Mirpur",Azad Kashmir,Mirpur
National Solutions,Ali Usman,S/O Sheikh Gujjar,Public Limited,13302-7645541-4,2019-01-19,Dissolved,"House 146, Block A, Township, Multan",Punjab,Multan
National Corp,Maryam Cheema,S/O Tahir Gilani,Partnership,13302-4853765-2,2020-03-06,Active,"House 421, Block F, Clifton, Lahore",Punjab,Lahore
National Industries,Ali Tarar,S/O Kamran Bukhari,Partnership,21301-6006299-3,1991-08-05,Active,"House 253, Block G, G-9, Sialkot",Punjab,Sialkot
Pak Corp,Naqvi Asma,S/O Fatima Rana,Sole Proprietorship,35202-2990120-7,2005-04-24,Suspended,"House 290, Block F, E-11, Hub",Balochistan,Hub
National Brothers,Adnan Snadhu,S/O Imran Rana,LLP,21301-8729025-7,2001-06-16,Active,"House 169, Block G, Gulshan-e-Iqbal, Gilgit",Gilgit-Baltistan,Gilgit
Apex Services,Hassan Chattha,S/O Sobia Zaidi,LLP,61101-3293737-8,2012-12-05,Dissolved,"House 417, Block F, Bahria Town, Hub",Balochistan,Hub
Al Corp,Hussain Hashmi,S/O Raja Raza,Private Limited,35202-8202898-6,2008-01-31,Suspended,"House 442, Block H, Defence, Islamabad",ICT,Islamabad
,محمد علی,S/O Tariq Jafri,Partnership,35202-8656125-8,2020-06-28,Active,"House 187, Block E, Johar Town, Islamabad",ICT,Islamabad
National Industries,Uzma Nawaz,S/O Ibrahim Latif,Sole Proprietorship,13302-2503425-8,2013-02-03,Dissolved,"House 188, Block D, Defence, Hyderabad",Sindh,Hyderabad
Prime Brothers,Qureshi Gilani,S/O Muhammad Cheema,Public Limited,21301-3770489-2,2015-12-02,Active,"House 188, Block H, Cantt, Hub",Balochistan,Hub
Al Enterprises,Malik Gilani,S/O نادیہ رضا,Sole Proprietorship,21301-2508997-6,2000-06-09,Active,"House 363, Block C, Bahria Town, Khuzdar",Balochistan,Khuzdar
Apex Group,Sana Gilani,S/O Hassan Khan,LLP,21301-4087744-4,2009-05-15,Active,"House 84, Block E, Cantt, Gujranwala",Punjab,Gujranwala
Meezan Brothers,Naveed Rafiq,S/O Shoaib Latif,Public Limited,42101-4616607-5,2006-11-20,Active,"House 108, Block G, DHA, Mirpurkhas",Sindh,Mirpurkhas
National Industries,Latif Tariq,S/O Faisal Iqbal,Private Limited,54000-5757898-5,2022-08-01,Dissolved,"House 36, Block D, I-8, Chilas",Gilgit-Baltistan,Chilas
Prime Services,Noor Malik,S/O محمد احمد,Partnership,13302-1312301-5,2007-10-02,Suspended,"House 100, Block C, DHA, Bahawalpur",Punjab,Bahawalpur
Apex Associates,Waseem Iqbal,S/O Shoaib Virk,Partnership,21301-1866050-4,2007-10-23,Active,"House 313, Block B, Johar Town, Gilgit",Gilgit-Baltistan,Gilgit
Star Traders,Asma Sheikh,S/O Ali Raja,LLP,21301-8115666-4,2019-11-27,Dissolved,"House 252, Block G, Township, Gilgit",Gilgit-Baltistan,Gilgit
National Group,,S/O Hashmi Abbasi,Private Limited,13302-4168436-6,1990-01-07,Active,"House 171, Block D, Askari, Sargodha",Punjab,Sargodha
United Enterprises,Omar Chaudhry,S/O Faisal Tarar,Partnership,44000-4637715-2,1995-07-14,Active,"House 279, Block G, Clifton, Chilas",Gilgit-Baltistan,Chilas
United Brothers,Faisal Hussain,S/O Naeem Ali,Partnership,54000-8256528-4,2002-07-23,Active,"House 345, Block C, DHA, Hub",Balochistan,Hub
Royal Solutions,Raja Rizvi,S/O محمد احمد,Private Limited,61101-9156609-2,2006-04-16,Active,,Sindh,Sukkur
Royal Associates,Sbia Akhtar,S/O Kamran Rana,LLP,13302-5586283-4,1999-01-29,Active,"House 120, Block E, I-8, Peshawar",KPK,Peshawar
Al Industries,Ibrahim Virk,S/O Imran Ahmed,Private Limited,61101-5409651-2,2014-08-21,Active,"House 365, Block G, North Nazimabad, Islamabad",ICT,Islamabad
Al Brothers,Maryam Qureshi,S/O Usman Gilani,Private Limited,44000-4897938-3,2011-08-12,Active,"House 56, Block E, Askari, Sukkur",Sindh,Sukkur
National Traders,Sidra Raja,,Sole Proprietorship,42101-3392356-4,2010-12-03,Suspended,"House 130, Block B, Saddar, Turbat",Balochistan,Turbat
Global Associates,Fatima Virk,S/O Faisal Jafri,Sole Proprietorship,13302-4408703-1,2019-01-21,Dissolved,"House 138, Block D, Defence, Hyderabad",Sindh,Hyderabad
Meezan Industries,Naeem Hussain,S/O Fatima Baig,Public Limited,42101-5607228-2,2011-08-28,Active,"House 323, Block B, Johar Town, Gilgit",Gilgit-Baltistan,Gilgit
National Industries,Bilal Virk,S/O Asif Sheikh,LLP,35202-9191498-4,1991-05-26,Active,"House 238, Block A, Gulberg, Mingora",KPK,Mingora
Pak Group,Uzma Gilani,S/O Hassan Baig,Public Limited,44000-9855241-3,2011-07-09,Active,"House 76, Block A, DHA, Muzaffarabad",Azad Kashmir,Muzaffarabad
,Hashmi Iqbal,S/O Mirza Chaudhry,Partnership,54000-3635195-2,2015-07-08,Active,"House 442, Block C, Bahria Town, Islamabad",ICT,Islamabad
Star Industries,Mohammad Karim,,LLP,44000-5151336-7,2009-05-04,Suspended,"House 368, Block H, Defence, Mingora",KPK,Mingora
Star Group,Hina Rizvi,S/O Tariq Iqbal,Partnership,42101-6625183-3,1994-08-03,Active,"House 107, Block C, Scheme 33, Nawabshah",Sindh,Nawabshah
Prime Industries,Qureshi Rukhsar,S/O Maryam Sandhu,Partnership,54000-4929282-1,1999-05-22,Suspended,"House 184, Block E, Johar Town, Mirpurkhas",Sindh,Mirpurkhas
Pak Industries,Chaudhry Hashmi,S/O Shoaib Hameed,Private Limited,61101-3522215-8,2015-06-22,Dissolved,"House 306, Block D, Scheme 33, Mirpur",Azad Kashmir,Mirpur
Star Associates,Sidra Virk,S/O Malik Bukhari,Private Limited,54000-7292775-3,2010-04-29,Active,"House 109, Block E, G-9, Multan",Punjab,Multan
United Enterprises,Naeem Hameed,S/O Asif Hussain,Private Limited,13302-6206664-7,2021-06-30,Dissolved,"House 439, Block A, F-10, Islamabad",ICT,Islamabad
United Group,Asma Tarar,S/O Sana Nawaz,Private Limited,61101-8370767-5,2014-11-15,Dissolved,"House 86, Block F, I-8, Khuzdar",Balochistan,Khuzdar
Star Brothers,Shazia Zaidi,S/O Hussain Khan,Sole Proprietorship,35202-3036294-1,2009-10-11,Active,"House 284, Block F, Township, Gilgit",Gilgit-Baltistan,Gilgit
Apex Solutions,Rukhsar Cheema,S/O Shazia Hashmi,Partnership,42101-6952727-5,2004-10-19,Active,"House 252, Block E, DHA, Abbottabad",KPK,Abbottabad
Star Traders,Noor Latif,S/O Zainab Hashmi,Public Limited,42101-2242387-8,1999-09-12,Active,"House 448, Block C, Saddar, Faisalabad",Punjab,Faisalabad
Global Corp,Noor Gilani,S/O Ayesha Hussain,Private Limited,44000-2249032-8,2010-12-17,Suspended,"House 30, Block B, Bahria Town, Abbottabad",KPK,Abbottabad
Atlas Associates,Ahme Khan,S/O Imran Abbasi,Partnership,13302-3183280-7,2014-03-17,Active,"House 449, Block E, PAF Colony, Mingora",KPK,Mingora
Royal Services,Khalid Qureshi,S/O S/O Shazia Qureshi,LLP,21301-6178697-6,2005-09-02,Active,"House 281, Block B, Cantt, Mardan",KPK,Mardan
Atlas Solutions,Hussain Akhtar,S/O Usman Bukhari,LLP,21301-2383817-2,1995-12-25,Active,"House 10, Block H, Defence, Skardu",Gilgit-Baltistan,Skardu
Global Corp,Asma Bukhari,S/O Salman Gondal,Private Limited,61101-5529124-9,2016-06-01,Active,"House 215, Block A, PAF Colony, Larkana",Sindh,Larkana
Global Services,علی حسین,S/O Sheikh Rafiq,Partnership,13302-4115499-3,2018-10-27,Active,"House 260, Block E, North Nazimabad, Mardan",KPK,Mardan
United Corp,Faisal Gujjar,S/O Raja Gondal,Public Limited,35202-5494912-1,1991-06-11,Suspended,"House 354, Block E, PAF Colony, Turbat",Balochistan,Turbat
Star Group,Khalid Malik,S/O Imran Rizvi,Private Limited,42101-2352616-4,2019-11-20,Active,"House 169, Block D, Scheme 33, Islamabad",ICT,Islamabad
Global Services,Mhwish Nawaz,S/O Kashif Karim,Partnership,21301-5965982-1,2016-03-23,Dissolved,"House 387, Block D, North Nazimabad, Sukkur",Sindh,Sukkur
Meezan Solutions,Shoaib Rizvi,S/O Tahir Karim,Partnership,61101-2831874-2,2016-12-22,Active,"House 136, Block H, E-11, Turbat",Balochistan,Turbat
National Services,Fatima Karim,S/O S/O علی حسین,Partnership,35202-8876742-6,2000-12-15,Suspended,"House 27, Block F, Model Town, Sukkur",Sindh,Sukkur
Global Traders,Saira Raja,S/O Nadia Mirza,Sole Proprietorship,44000-4615893-3,2004-11-13,Active,"House 426, Block B, E-11, Islamabad",ICT,Islamabad
United Corp,Asma Mirza,S/O مریم چودھری,LLP,61101-4843914-9,2005-08-15,Active,"House 53, Block E, Scheme 33, Karachi",Sindh,Karachi
Royal Traders,Kamran Gondal,S/O Bushra Qureshi,Sole Proprietorship,13302-7539718-7,1991-04-04,Active,"House 453, Block F, I-8, Islamabad",ICT,Islamabad
Prime Corp,Hashmi Qureshi,S/O Adnan Karim,Partnership,21301-3756096-1,2009-07-20,Active,"House 368, Block G, Model Town, Islamabad",ICT,Islamabad
Global Solutions,Syed Bhatti,S/O Amna Karim,Sole Proprietorship,44000-1354962-1,1995-08-20,Active,"House 192, Block A, Cavalry Ground, Hub",Balochistan,Hub
Royal Group,Asma Malik,S/O Fatima Butt,Private Limited,61101-1670852-6,2007-02-10,Active,"House 353, Block H, Askari, Sukkur",Sindh,Sukkur
,Maryam Raza,S/O Asma Zaidi,Private Limited,13302-5151780-2,1995-10-14,Active,"House 179, Block H, I-8, Islamabad",ICT,Islamabad
Royal Solutions,Sidra Jafri,S/O Sheikh Sheikh,Sole Proprietorship,21301-3092208-9,2010-11-27,Active,"House 27, Block G, Johar Town, Peshawar",KPK,Peshawar
Global Brothers,Maryam Jafri,S/O Rabia Qureshi,LLP,35202-3316253-7,2000-12-02,Active,"House 277, Block B, Gulshan-e-Iqbal, Mingora",KPK,Mingora
Al Solutions,Omar Virk,S/O Hashmi Rizvi,Public Limited,61101-4342325-2,2017-09-27,Active,"House 68, Block C, Askari, Quetta",Balochistan,Quetta
Al Solutions,Mirza Jafri,S/O Aamir Malik,Private Limited,35202-5280661-1,2021-01-09,Dissolved,"House 6, Block D, Gulberg, Islamabad",ICT,Islamabad
Meezan Associates,Mohammad Tarar,S/O Baig Jafri,Private Limited,13302-6046430-3,2007-12-16,Active,"House 214, Block F, PAF Colony, Mardan",KPK,Mardan
National Traders,Naeem Chattha,S/O Naveed Karim,Public Limited,44000-8365488-2,2009-10-13,Active,"House 237, Block H, I-8, Bahawalpur",Punjab,Bahawalpur
Royal Corp,Sana Nawaz,S/O Uzma Ali,Sole Proprietorship,54000-6811532-8,2011-09-24,Active,"House 378, Block F, Gulberg, Skardu",Gilgit-Baltistan,Skardu
Al Group,Ibrahim Syed,S/O Sobia Ansari,Partnership,35202-5647258-3,2009-03-12,Active,"House 246, Block B, I-8, Turbat",Balochistan,Turbat
United Associates,Ahmed Gujjar,S/O Saira Rana,Private Limited,35202-9426327-2,1999-12-18,Dissolved,"House 459, Block A, Saddar, Mirpur",Azad Kashmir,Mirpur
Pak Group,,S/O Shoaib Latif,Private Limited,44000-2931463-5,1991-05-27,Suspended,"House 35, Block E, Gulshan-e-Iqbal, Rawalakot",Azad Kashmir,Rawalakot
United Corp,Kashif Chattha,S/O Ahmed Iqbal,Partnership,44000-9061567-7,2017-11-13,Active,"House 377, Block A, Township, Mirpur",Azad Kashmir,Mirpur
Al Solutions,Malik Chattha,S/O Adnan Syed,LLP,44000-2639233-7,2016-02-09,Active,"House 130, Block H, Johar Town, Islamabad",ICT,Islamabad
Prime Corp,Waseem Rizvi,S/O Hussain Zaidi,Private Limited,42101-7479257-7,2018-12-09,Active,"House 477, Block B, Clifton, Quetta",Balochistan,Quetta
National Enterprises,Hashmi Hashmi,S/O Omar Butt,Sole Proprietorship,13302-2561037-5,2021-06-02,Active,"House 168, Block A, Gulberg, Islamabad",ICT,Islamabad
Prime Enterprises,Ahmed Mirza,S/O Usman Mirza,LLP,44000-9430103-5,1996-12-02,Active,"House 129, Block A, Johar Town, Quetta",Balochistan,Quetta
Royal Corp,Noor Hussain,S/O Bushra Jafri,Sole Proprietorship,54000-5016918-5,1996-11-26,Active,"House 184, Block F, I-8, Muzaffarabad",Azad Kashmir,Muzaffarabad
United Industries,Raja Naeem,S/O نادیہ رضا,Sole Proprietorship,21301-7546329-2,1994-07-30,Dissolved,"House 303, Block A, Bahria Town, Islamabad",ICT,Islamabad
Star Enterprises,,S/O Ahmed Sandhu,LLP,13302-8755747-2,1995-07-16,Active,"House 211, Block G, Scheme 33, Mirpurkhas",Sindh,Mirpurkhas
Royal Services,Bushra Hameed,S/O Mohammad Virk,Private Limited,13302-2381560-3,2019-03-31,Active,"House 40, Block F, Scheme 33, Kohat",KPK,Kohat
Royal Brothers,فاطمہ خان,S/O Shoaib Gilani,Public Limited,44000-1687148-8,2018-08-23,Suspended,"House 355, Block F, F-10, Bannu",KPK,Bannu
Atlas Brothers,,S/O Iqra Chaudhry,Partnership,54000-9938707-8,1990-10-22,Active,"House 128, Block H, E-11, Larkana",Sindh,Larkana
Meezan Group,Aamir Karim,S/O Naveed Ansari,Sole Proprietorship,44000-8274910-2,2005-03-11,Active,"House 145, Block D, Defence, Mirpur",Azad Kashmir,Mirpur
Star Enterprises,Rukhsar Aslam,,Private Limited,35202-4499287-7,2017-10-08,Active,"House 460, Block H, I-8, Larkana",Sindh,Larkana
Prime Industries,Sobia Chaudhry,S/O Adnan Rafiq,Public Limited,54000-6650572-2,2014-03-01,Active,"House 456, Block C, Model Town, Hyderabad",Sindh,Hyderabad
Global Enterprises,Omar Latif,S/O Kashif Rana,LLP,44000-9880529-3,1994-12-08,Suspended,"House 176, Block F, Gulshan-e-Iqbal, Islamabad",ICT,Islamabad
Apex Group,Hashmi Ansari,,LLP,54000-1965082-5,2004-12-11,Active,"House 385, Block G, DHA, Nawabshah",Sindh,Nawabshah
Prime Solutions,Asif Gondal,,Private Limited,21301-3145028-4,2005-08-07,Active,"House 2, Block G, Saddar, Bahawalpur",Punjab,Bahawalpur
Meezan Associates,Arif Karim,S/O Maryam Syed,Partnership,61101-2419846-9,1998-10-30,Active,"House 442, Block A, Township, Gwadar",Balochistan,Gwadar
Al Group,Omar Asslam,S/O Sidra Naqvi,LLP,35202-4128751-4,1991-02-01,Suspended,"House 182, Block C, G-9, Islamabad",ICT,Islamabad
United Services,Shazia Tarar,S/O Faisal Gujjar,Private Limited,44000-6546545-6,1996-12-02,Active,"House 50, Block H, DHA, Rawalakot",Azad Kashmir,Rawalakot
Atlas Associates,Usman Jafri,S/O Naeem Gilani,Private Limited,13302-2217848-6,2007-11-13,Suspended,"House 450, Block F, Bahria Town, Islamabad",ICT,Islamabad
United Solutions,Shoaib Gondal,S/O Rukhsar Rana,Private Limited,35202-5793722-4,2013-10-20,Active,"House 199, Block D, G-9, Gwadar",Balochistan,Gwadar
Royal Solutions,احمد خان,,Private Limited,13302-9363019-4,1991-06-17,Active,"House 498, Block G, Gulberg, Muzaffarabad",Azad Kashmir,Muzaffarabad
Star Enterprises,Baig Chattha,S/O Qureshi Baig,Private Limited,21301-8166197-4,2020-09-30,Active,"House 20, Block H, E-11, Gwadar",Balochistan,Gwadar
Atlas Brothers,Usman Akhtar,S/O Naveed Cheema,Public Limited,44000-1647124-2,2020-06-27,Dissolved,"House 249, Block B, Gulberg, Muzaffarabad",Azad Kashmir,Muzaffarabad
Al Brothers,Hina Gilani,S/O S/O Tariq Butt,Partnership,13302-2783932-7,2004-07-06,Active,"House 165, Block C, Township, Islamabad",ICT,Islamabad
Meezan Enterprises,Saira Cheema,S/O Rizwan Syed,LLP,35202-3910306-3,1997-02-16,Active,"House 51, Block C, Saddar, Islamabad",ICT,Islamabad
Pak Group,Shazia Butt,S/O Noor Virk,Sole Proprietorship,13302-5703624-4,2005-01-28,Active,"House 419, Block C, Defence, Muzaffarabad",Azad Kashmir,Muzaffarabad
Atlas Solutions,BushraN awaz,S/O Khalid Mirza,Private Limited,21301-8312627-3,2015-06-20,Active,,Balochistan,Gwadar
National Enterprises,Raja Usman,S/O Naeem Qureshi,Private Limited,61101-4382805-7,2019-08-30,Active,"House 443, Block A, Cavalry Ground, Gilgit",Gilgit-Baltistan,Gilgit
Pak Services,Hamid Chattha,S/O Mirza Chaudhry,Sole Proprietorship,54000-5894791-3,1997-08-08,Active,"House 372, Block E, Gulshan-e-Iqbal, Turbat",Balochistan,Turbat
Pak Services,Saira Jafri,S/O Naeem Hameed,Sole Proprietorship,54000-8259724-5,1996-05-16,Suspended,"House 433, Block H, DHA, Islamabad",ICT,Islamabad
Al Services,Raja Rafiq,S/O Rukhsar Rana,Private Limited,61101-8816912-7,1997-01-24,Active,"House 377, Block C, PAF Colony, Karachi",Sindh,Karachi
Royal Group,Ibrahim Akhtar,S/O Nadia Rana,Private Limited,21301-1578518-7,2000-02-24,Active,"House 386, Block C, Gulberg, Muzaffarabad",Azad Kashmir,Muzaffarabad
National Industries,Fatima Hameed,S/O Hashmi Hameed,Private Limited,35202-1263533-3,2010-01-15,Active,"House 150, Block E, Cantt, Mirpur",Azad Kashmir,Mirpur
Atlas Associates,Hashmi Rafiq,S/O Hassan Hameed,Private Limited,21301-8913298-5,2019-09-04,Dissolved,"House 7, Block A, Township, Sargodha",Punjab,Sargodha
Royal Services,Rukhsar Nawaz,S/O Hamid Latif,Sole Proprietorship,42101-2891460-5,1991-11-07,Active,"House 119, Block B, Johar Town, Hub",Balochistan,Hub
,Waseem Gujjar,S/O Raja Rafiq,Sole Proprietorship,35202-1749647-7,2007-01-07,Active,"House 246, Block D, Cavalry Ground, Gwadar",Balochistan,Gwadar
Meezan Solutions,Hashmi Khan,S/O Hussain Khan,Partnership,61101-9639154-1,1993-01-25,Active,"House 187, Block C, E-11, Bannu",KPK,Bannu
Meezan Services,Bushra Naqvi,S/O Imran Bhatti,LLP,35202-4840714-1,2006-11-14,Active,"House 167, Block F, Township, Khuzdar",Balochistan,Khuzdar
Royal Traders,Zubair Raza,S/O Kashif Khan,Partnership,54000-5119286-7,1990-02-18,Active,"House 394, Block D, Gulshan-e-Iqbal, Islamabad",ICT,Islamabad
Al Services,Mehwish Bhatti,S/O Usman Ali,Sole Proprietorship,54000-3963809-6,2006-03-18,Active,"House 470, Block C, Scheme 33, Islamabad",ICT,Islamabad
Global Services,Naeem Akhtar,S/O Waseem Hashmi,LLP,61101-3883303-9,1991-05-02,Active,"House 222, Block B, Clifton, Hub",Balochistan,Hub
Meezan Group,Sobia Raza,S/O Uzma Nawaz,Public Limited,13302-5532207-1,2003-03-20,Dissolved,"House 402, Block F, E-11, Islamabad",ICT,Islamabad
National Enterprises,Shoaib Hameed,S/O محمد علی,Sole Proprietorship,13302-2863712-1,2004-07-23,Active,"House 390, Block B, G-9, Sargodha",Punjab,Sargodha
Prime Industries,Naeem Rizvi,S/O Baig Gujjar,Public Limited,54000-7007810-3,2020-09-23,Active,"House 319, Block C, I-8, Sialkot",Punjab,Sialkot
Atlas Industries,Waseem Ali,S/O Nadia Syed,Sole Proprietorship,42101-7598523-2,1998-03-21,Active,"House 359, Block A, North Nazimabad, Turbat",Balochistan,Turbat
Star Brothers,Nadia Nawaz,S/O Naeem Hussain,Private Limited,,2008-05-18,Active,"House 285, Block G, I-8, Rawalpindi",Punjab,Rawalpindi
Global Brothers,Mehwish Mirza,S/O علی حسین,LLP,61101-7849994-8,2021-01-24,Suspended,"House 273, Block H, Model Town, Mirpur",Azad Kashmir,Mirpur
Star Group,Syed Faisal,S/O Kashif Qureshi,Partnership,61101-1603622-6,2012-06-18,Active,"House 15, Block G, Gulberg, Mingora",KPK,Mingora
National Group,,S/O Amna Sandhu,Partnership,44000-9107275-2,2017-04-26,Active,"House 161, Block D, Saddar, Islamabad",ICT,Islamabad
Royal Associates,Kamran Tarar,S/O Syed Khan,Partnership,42101-3797651-4,1998-09-18,Active,"House 347, Block D, Gulberg, Turbat",Balochistan,Turbat
Al Corp,Zuair Latif,S/O Ali Ahmed,Sole Proprietorship,13302-4172705-5,2018-06-21,Suspended,"House 14, Block C, E-11, Mardan",KPK,Mardan
Pak Solutions,Bilal Sandhu,S/O علی حسین,Private Limited,13302-7176177-9,2003-02-02,Active,"House 166, Block B, DHA, Islamabad",ICT,Islamabad
Apex Enterprises,Maryam Bhatti,S/O Qureshi Bhatti,Sole Proprietorship,61101-2672667-2,2019-09-26,Active,"House 274, Block C, Clifton, Islamabad",ICT,Islamabad
National Corp,Bushra Chaudhry,S/O Bushra Sandhu,Partnership,13302-6554087-5,1991-03-30,Active,"House 159, Block A, North Nazimabad, Rawalpindi",Punjab,Rawalpindi
Atlas Group,Sidra Ali,S/O Usman Baig,LLP,61101-2322254-6,1991-12-15,Active,"House 292, Block D, Askari, Faisalabad",Punjab,Faisalabad
Meezan Solutions,Fatima Bhatti,S/O Amna Rizvi,Private Limited,35202-7468051-4,2007-05-10,Active,"House 474, Block B, Johar Town, Gilgit",Gilgit-Baltistan,Gilgit
Pak Group,محمد حسن,S/O Tahir Syed,LLP,61101-7647878-9,1994-06-11,Active,"House 203, Block H, G-9, Khuzdar",Balochistan,Khuzdar
