Owner_Name,Father_Name,CNIC,Owner_Number,Province,City,Society_Name,Property_Type,Plot_House_No,Area,Purchase_Year,Ownership_Status,Estimated_Market_Value,Contact_No
Sidra Mirza,S/O Waseem Cheema,35202-2749316-5,03314105842,Gilgit-Baltistan,Chilas,Gulberg,Apartment,316,5 Sq.Ft,1998,Rented,7068768,03314105842
Naeem Bhatti,S/O Sidra Ali,1330264002395,03132706649,Balochistan,Khuzdar,Scheme 33,Apartment,991,93 Marla,2015,Sold,2838989,03132706649
Hussain Sheikh,S/O Baig Rana,4400066184666,03228662287,Balochistan,Quetta,Johar Town,Residential Plot,972,45 Kanal,2015,Sold,8286772,03228662287
Shazia Raza,S/O Kamran Gondal,3520272755094,03014349758,Punjab,Gujranwala,I-8,House,331,3 Sq.Ft,2015,Rented,12590646,03014349758
Bushra Akhtar,S/O Hussain Virk,4400049639025,03332836456,ICT,Islamabad,Township,House,420,20 Kanal,1997,Owned,6203230,03332836456
Arif Butt,S/O Raja Rafiq,4400098775142,03003631333,Balochistan,Gwadar,DHA,Apartment,123,32 Marla,2012,Sold,1440723,03003631333
Arif Amhed,S/O Omar Tarar,1330257777642,03137423351,Punjab,Sialkot,Scheme 33,House,995,74 Sq.Ft,2013,Mortgaged,26013009,03137423351
Rukhsar Virk,S/O Ahmed Hussain,4210193814166,,KPK,Mardan,Askari,Apartment,808,57 Sq.Ft,2020,Owned,5632909,03132577415
,S/O Sajid Abbasi,2130128563834,03035722003,ICT,Islamabad,PAF Colony,Residential Plot,337,39 Marla,2023,Sold,15127849,03035722003
Baig Qureshi,S/O Bilal Qureshi,4210130733201,03315544401,KPK,Bannu,DHA,Apartment,559,65 Kanal,2003,Owned,27258723,03315544401
Tariq Gilani,S/O Rabia Abbasi,3520294623416,03039490354,Punjab,Rawalpindi,G-9,Apartment,53,47 Marla,2017,Rented,1614424,03039490354
Salman Chattha,S/O Maryam Rana,5400020377514,03315605334,KPK,Bannu,Cavalry Ground,Apartment,386,88 Kanal,1996,Sold,4883635,03135783642
صنا ملک,S/O Iqra Sandhu,6110187716994,,KPK,Peshawar,DHA,Residential Plot,598,17 Marla,2000,Owned,14135301,03453373918
Hashmi Khan,S/O Mirza Karim,1330297893066,,Punjab,Gujranwala,Cavalry Ground,House,791,58 Kanal,2010,Sold,1020085,03323021324
Saira Hameed,S/O Rabia Ahmed,6110160922345,03027277116,Sindh,Karachi,Township,Apartment,932,88 Sq.Ft,2016,Rented,1271598,03027277116
Sobia Mirza,S/O S/O Zainab Cheema,1330244458096,03332665880,Sindh,Mirpurkhas,Defence,Residential Plot,373,71 Kanal,1997,Rented,821743,03332665880
Zainab Butt,S/O Nadia Rafiq,6110164654583,03133066108,Balochistan,Gwadar,Gulberg,Residential Plot,209,74 Kanal,2019,Owned,4723275,03133066108
Iqra Cheema,S/O Zubair Chattha,4210131344068,03022459729,Sindh,Nawabshah,PAF Colony,Apartment,332,82 Marla,2003,Owned,5352124,03022459729
Hussain Khan,S/O Amna Virk,54000-7146079-7,03034386825,KPK,Kohat,Township,Apartment,967,61 Kanal,2016,Rented,32921119,03034386825
Sobia Naqvi,S/O Tahir Butt,4400023119724,03333397195,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Residential Plot,887,45 Marla,2002,Owned,18137520,03333397195
Aamir Chattha,S/O Sidra Raja,4210198902271,03466848616,Sindh,Karachi,Bahria Town,Apartment,9,94 Sq.Ft,2014,Sold,34411199,03466848616
Bilal Chattha,S/O Asif Butt,,03319213416,Balochistan,Gwadar,PAF Colony,Apartment,786,21 Marla,2020,Sold,2870369,03319213416
Syed Ansari,S/O Amna Chaudhry,4400021795987,03219774950,Azad Kashmir,Muzaffarabad,Askari,Apartment,340,89 Kanal,2008,Sold,8178882,03219774950
Faisal Sheikh,S/O Kashif Chattha,4210147970915,03127205610,Balochistan,Gwadar,I-8,Residential Plot,611,94 Kanal,2020,Rented,425857,03127205610
Rukhsar Raja,S/O Shoaib Khan,4210126715073,,Sindh,Nawabshah,F-10,Apartment,225,100 Marla,2010,Rented,2096994,03456154176
Zubair Raza,S/O Kashif Khan,5400051192867,03333053624,ICT,Islamabad,North Nazimabad,House,113,16 Kanal,2016,Owned,,03333053624
Khalid Akhtr,S/O احمد خان,4400035425073,03014533419,ICT,Islamabad,I-8,House,675,4 Marla,2007,Mortgaged,6946937,03014533419
Bilal Akhtar,S/O S/O Asma Malik,4400053741419,03466267395,ICT,Islamabad,Township,House,489,93 Marla,2014,Owned,2794884,03466267395
Ayesha Karim,S/O Iqra Akhtar,6110163359448,03007657632,Punjab,Sialkot,Cavalry Ground,House,853,45 Sq.Ft,2008,Rented,17446757,03007657632
Sidra Zaidi,S/O Syed Virk,4210188837033,03002335122,Azad Kashmir,Rawalakot,Gulshan-e-Iqbal,Apartment,518,53 Kanal,2010,Mortgaged,11077922,03002335122
Rabia Abbasi,S/O Asif Abbasi,5400099536306,03023027788,Sindh,Larkana,Cantt,House,988,23 Marla,2017,Sold,8737952,
Aamir Baig,S/O Rukhsar Hameed,2130161081329,03317876072,KPK,Peshawar,Bahria Town,Residential Plot,29,37 Kanal,2010,Sold,2676030,03317876072
Rabia Abbasi,S/O عمر شیخ,6110191517941,03135272208,Gilgit-Baltistan,Skardu,Cantt,House,37,90 Marla,1998,Rented,2996360,03133830111
Shoaib Karim,S/O Chaudhry Latif,5400080020776,03039151054,Azad Kashmir,Mirpur,Gulshan-e-Iqbal,Residential Plot,380,23 Kanal,1996,Rented,1995256,03039151054
Raja Raja,S/O Usman Karim,2130141279899,03461107609,Sindh,Mirpurkhas,Gulberg,House,117,15 Marla,2003,Sold,4756362,03461107609
Hamid Cheema,S/O Qureshi Hameed,3520220132694,03111869156,ICT,Islamabad,Gulberg,Apartment,976,54 Sq.Ft,2020,Owned,4459751,03111869156
Shoaib Hameed,S/O Bilal Nawaz,4210156392609,03129568652,Balochistan,Hub,I-8,House,814,12 Kanal,2023,Sold,6157423,03129568652
Maryma Tarar,,5400054856491,,Gilgit-Baltistan,Skardu,Clifton,House,134,22 Marla,2000,Rented,3310761,03217240708
Mirza Hussain,S/O Usman Qureshi,2130119260122,03018711468,ICT,Islamabad,Township,House,807,10 Sq.Ft,1996,Owned,9853226,03018711468
Rabia Ali,S/O Hashmi Rizvi,4400031401618,03034596805,Punjab,Faisalabad,I-8,Commercial Plot,767,9 Sq.Ft,2019,Owned,42899500,03034596805
,S/O Hamid Qureshi,6110178287624,03114082743,KPK,Kohat,Cantt,Apartment,756,40 Sq.Ft,2020,Sold,3611281,03114082743
Hashmi Qureshi,S/O S/O Shoaib Bukhari,4210115933029,03136367620,Azad Kashmir,Rawalakot,Saddar,House,223,80 Marla,2018,Owned,6855726,03136367620
Mirza Rana,S/O Uzma Chattha,3520247012187,03465715372,Sindh,Nawabshah,Askari,House,839,88 Sq.Ft,2013,Mortgaged,7075668,03465715372
Arif Raza,S/O Kashif Iqbal,3520275929731,03339407754,KPK,Mingora,Gulberg,House,865,23 Kanal,2014,Owned,4727974,03339407754
Asma Karim,S/O Qureshi Raja,5400058637897,03227393458,Azad Kashmir,Mirpur,DHA,Residential Plot,100,37 Sq.Ft,2009,,1002931,03227393458
Amna Akhtar,S/O Chaudhry Ahmed,3520282478644,03214667999,Azad Kashmir,Mirpur,DHA,Apartment,503,33 Marla,2002,Sold,18242264,03214667999
Kashif Mallik,S/O Mirza Abbasi,6110175579767,03227483284,Punjab,Sialkot,Gulshan-e-Iqbal,Agricultural Land,400,67 Sq.Ft,2017,Sold,53506606,03227483284
Ibrahim Karim,S/O Waseem Raza,3520278583206,03455600435,Gilgit-Baltistan,Gilgit,Johar Town,House,976,33 Marla,2008,Mortgaged,2051331,03455600435
Sobia Chattha,S/O Rizwan Aslam,6110183503688,03455014745,Punjab,Sialkot,Model Town,Apartment,321,59 Sq.Ft,2017,Sold,8481053,03455014745
Arif Cheema,S/O مریم چودھری,2130169656353,03119774122,Balochistan,Quetta,G-9,House,245,77 Marla,2018,Owned,5227455,03119774122
Mehwish Chaudhry,S/O Asma Virk,6110134435103,03213618291,Balochistan,Khuzdar,Gulshan-e-Iqbal,Apartment,931,75 Kanal,2019,Sold,11294520,03213618291
Noor Hussain,S/O Bushra Jafri,5400050169185,03026941510,Azad Kashmir,Muzaffarabad,Clifton,Commercial Building,665,48 Kanal,2015,Sold,33934730,03026941510
Nadia Nawaz,S/O Naeem Hussain,5400071502442,03039466470,Punjab,Rawalpindi,North Nazimabad,House,451,73 Kanal,2019,Rented,4181291,03039466470
Aamir Aslam,S/O Salman Karim,1330222721048,03227500931,Balochistan,Hub,Scheme 33,Apartment,197,92 Marla,2008,Owned,7224826,03227500931
Shazia Baig,S/O Naveed Hameed,2130166591764,03216057746,Azad Kashmir,Rawalakot,North Nazimabad,Residential Plot,219,29 Kanal,2023,,17469070,03216057746
Mehwish Gujjar,S/O Aamir Syed,4400051335334,03469569129,Sindh,Hyderabad,North Nazimabad,Apartment,544,51 Sq.Ft,2010,Owned,2686757,03469569129
Qureshi Karim,S/O Saira Latif,5400019031474,03015560303,Sindh,Hyderabad,Johar Town,Residential Plot,465,66 Sq.Ft,2020,Mortgaged,12971329,03339281598
Aamir Zaidi,S/O S/O Khalid Sheikh,1330293616936,03117583744,Balochistan,Quetta,Bahria Town,House,324,87 Kanal,2022,Owned,176204,03117583744
Hashmi Latif,S/O Maryam Chattha,2130132883463,03312366531,ICT,Islamabad,E-11,Apartment,588,62 Sq.Ft,1998,Owned,4843108,03132511430
Rizwan Gondal,S/O Hamid Virk,2130181988102,,KPK,Peshawar,Saddar,Residential Plot,298,7 Kanal,1999,Owned,1510962,03339379755
Mohammad Tarar,S/O Arif Ahmed,4210140943105,03124672688,Sindh,Nawabshah,Cavalry Ground,Apartment,832,58 Kanal,2016,Mortgaged,3147574,03339207919
Shoaib Hameed,S/O محمد علی,1330228637121,03017967211,Punjab,Sargodha,North Nazimabad,Residential Plot,520,47 Marla,2014,Sold,17304361,03017967211
Muhammad Cheema,S/O Ahmed Syed,4400022459971,03134899295,Azad Kashmir,Mirpur,Cavalry Ground,Apartment,630,11 Sq.Ft,2016,Sold,2410688,03134899295
Sana Virk,S/O Usman Syed,3520285340898,03468017921,KPK,Kohat,E-11,House,74,37 Kanal,1999,Mortgaged,10701806,03468017921
Fatima Chattha,S/O Amna Sandhu,4400091072752,03005262610,ICT,Islamabad,Township,House,71,25 Kanal,2014,Owned,1738039,03027493393
Syed Hmeed,S/O Hina Sandhu,5400028595977,03316142532,Gilgit-Baltistan,Skardu,Township,Apartment,65,38 Marla,2010,Sold,9426572,03316142532
Hashmi Nawaz,S/O S/O Kamran Hussain,2130169453043,03312808110,Balochistan,Hub,Gulberg,Residential Plot,260,37 Kanal,2003,Rented,669558,03312808110
Chaudhry Gondal,,4400043437403,03327816788,Balochistan,Hub,Gulshan-e-Iqbal,Residential Plot,672,40 Sq.Ft,1996,Mortgaged,16803524,03327816788
Hamid Ansari,S/O Naveed Akhtar,3520291511836,03464038894,Punjab,Gujranwala,Gulberg,House,540,15 Sq.Ft,2021,Mortgaged,7642771,03464038894
Zubair Gilani,S/O Fatima Hussain,2130198395212,03032290704,KPK,Abbottabad,Scheme 33,House,692,11 Kanal,2008,Owned,8533063,03032290704
Syed Hashmi,S/O Khalid Tarar,4210171666329,03223764040,Gilgit-Baltistan,Chilas,F-10,Residential Plot,77,79 Marla,2016,Rented,13639701,03223764040
Mohammad Sandhu,S/O Zubair Cheema,4210140020789,03454360746,KPK,Bannu,Johar Town,Apartment,341,16 Marla,2009,Sold,11190015,03454360746
Sheikh Hussain,S/O Baig Iqbal,3520277769891,03469413811,Punjab,Bahawalpur,Askari,Apartment,575,81 Sq.Ft,2003,Sold,10819103,03469413811
Arif Mirza,S/O Sheikh Akhtar,5400088439901,03312341370,Azad Kashmir,Rawalakot,G-9,Residential Plot,836,96 Kanal,2013,Rented,11598406,03312341370
Malik Nawaz,S/O Rizwan Chattha,1330243754095,03215301840,Punjab,Sargodha,Defence,Apartment,748,35 Marla,1995,Sold,3715395,03215301840
Sajid Hussain,S/O Hamid Bukhari,4400094048799,03333252405,Balochistan,Hub,Saddar,Apartment,101,96 Marla,2006,Rented,8007301,03333252405
Adnan Bukhari,S/O Shazia Sandhu,4400072087895,03123301977,Azad Kashmir,Mirpur,North Nazimabad,House,509,53 Kanal,2010,Owned,15982092,03123301977
Imran Chattha,S/O Rizwan Iqbal,6110152083391,03017074471,Balochistan,Turbat,DHA,Apartment,16,97 Marla,2022,Owned,1577429,03017074471
Malik Gujjar,S/O Saira Bukhari,4400054374551,03136905117,Balochistan,Khuzdar,Johar Town,House,198,29 Kanal,2010,Sold,4019919,03136905117
Arif Ahmed,S/O Omar Tarar,1330257777642,03137423351,Punjab,Sialkot,I-8,Apartment,892,76 Kanal,2011,Owned,,03137423351
,S/O Nadia Zaidi,6110180924989,03119514426,Punjab,Multan,Gulberg,Apartment,507,79 Marla,2016,Sold,4113993,03119514426
Raja Hussain,S/O ابراہیم ملک,4400012289914,03131134702,Sindh,Mirpurkhas,Gulshan-e-Iqbal,Residential Plot,221,32 Kanal,1996,Owned,61469408,03131134702
,S/O احمد خان,6110132741284,03004597093,Sindh,Sukkur,I-8,House,752,87 Kanal,1999,Owned,5601048,03004597093
Ahmed Hussain,S/O Noor Latif,4400020902155,03328289875,KPK,Bannu,Defence,House,730,56 Kanal,2010,Rented,869468,03328289875
Sidra Qureshi,S/O S/O Fatima Baig,5400084935966,03459848116,Azad Kashmir,Muzaffarabad,Gulshan-e-Iqbal,Apartment,853,25 Kanal,1997,Rented,,
Hassan Hameed,S/O Hamid Khan,4400055353323,03224882806,Balochistan,Gwadar,PAF Colony,Residential Plot,585,15 Marla,2005,Sold,1495908,03224882806
Hamid Hussain,S/O Tariq Aslam,,03321495353,Punjab,Multan,G-9,Residential Plot,956,90 Sq.Ft,2018,Mortgaged,11823984,03321495353
Hashmi Ltaif,S/O Khalid Chaudhry,4210127564157,03125250521,Sindh,Sukkur,Clifton,Residential Plot,214,99 Marla,2007,Mortgaged,31928253,03133338618
,S/O S/O Asma Aslam,1330216156758,03469633492,Punjab,Sialkot,Gulshan-e-Iqbal,Residential Plot,520,59 Kanal,2007,Owned,1496047,03469633492
Sana Bhatti,S/O Zainab Hussain,2130141175334,03132178164,Balochistan,Gwadar,Askari,Residential Plot,323,32 Marla,2013,Rented,1878672,03132178164
Malik Latif,S/O Zubair Syed,4210184524175,03039959220,Azad Kashmir,Mirpur,Gulberg,Apartment,933,64 Kanal,2000,Sold,7810751,03039959220
Zubair Rana,S/O Hussain Hameed,5400025899374,03219842464,ICT,Islamabad,F-10,House,586,44 Kanal,2001,Sold,5370672,03005193490
Zubair Tarar,S/O Zainab Virk,4210134990281,03001075153,ICT,Islamabad,I-8,House,10,33 Sq.Ft,2001,Owned,12698053,03215391265
Rizwan Aslam,S/O محمد احمد,3520297073277,03215014329,ICT,Islamabad,Scheme 33,Residential Plot,153,88 Sq.Ft,2003,Mortgaged,5755887,03215014329
Baig Raja,S/O Bushra Iqbal,5400045920935,03008747697,KPK,Abbottabad,E-11,House,13,41 Kanal,1997,,3606151,03008747697
Hamid Ansari,S/O Tahir Nawaz,2130167856972,03025034641,KPK,Bannu,Scheme 33,Apartment,131,24 Sq.Ft,2012,Owned,20236037,03458206971
Kamran Rafiq,S/O Syed Ali,,,Gilgit-Baltistan,Gilgit,Clifton,Apartment,685,36 Sq.Ft,1995,Mortgaged,425280,03455163555
Salman Chaudhry,S/O Ali Syed,4210159081903,03137460191,KPK,Abbottabad,I-8,Residential Plot,163,60 Sq.Ft,1996,Mortgaged,1785680,03137460191
Imran Jafri,S/O Asif Nawaz,6110152799323,03018707092,ICT,Islamabad,Johar Town,Apartment,50,78 Sq.Ft,2000,Owned,35358745,03018707092
Sheikh Hashmi,,5400014341209,03321288427,KPK,Peshawar,Defence,House,5,84 Marla,2010,Sold,3539128,03321288427
Ahmed Ali,S/O Faisal Tarar,4210193560593,03333369785,Punjab,Bahawalpur,I-8,Apartment,635,36 Kanal,2006,Rented,5144215,03333369785
Shazia Qureshi,S/O Rabia Virk,4210157360173,03018853827,Azad Kashmir,Rawalakot,DHA,House,605,40 Marla,2023,Mortgaged,32803202,03018853827
Hashmi Iqbal,S/O Sheikh Qureshi,5400012995532,03016296223,ICT,Islamabad,Gulshan-e-Iqbal,Residential Plot,840,60 Kanal,2002,Rented,49683730,03016296223
Ahmed Gujjar,S/O Hashmi Sheikh,6110198641662,03031938110,KPK,Mardan,Bahria Town,House,590,70 Kanal,2008,Mortgaged,14526931,03031938110
Amna Rana,S/O Sheikh Abbasi,2130130222304,03125492282,ICT,Islamabad,Cantt,Apartment,252,16 Sq.Ft,2019,Owned,857207,03125492282
Aamir Raja,S/O Syed Aslam,1330233321697,03461720280,ICT,Islamabad,E-11,House,674,97 Marla,2003,Mortgaged,2395075,03461720280
Kamran Hameed,S/O Mirza Nawaz,6110136708191,03328942696,Azad Kashmir,Rawalakot,Cantt,House,633,94 Marla,2022,Rented,20368922,03328942696
Bilal Sandhu,S/O علی حسین,1330271761779,03328457880,ICT,Islamabad,Johar Town,Residential Plot,714,90 Sq.Ft,2016,Owned,7527781,03332975297
Hashmi Nawaz,S/O نادیہ رضا,6110141895206,03332000745,Gilgit-Baltistan,Gilgit,Cantt,Residential Plot,72,33 Sq.Ft,2019,Owned,26812850,03332000745
Rukhsar Rana,S/O Hussain Virk,1330299448776,03027282599,Gilgit-Baltistan,Gilgit,Model Town,Residential Plot,568,64 Sq.Ft,1998,Mortgaged,18090242,03027282599
Iqra Virk,S/O Salman Naqvi,4210115836068,03113991528,Gilgit-Baltistan,Skardu,DHA,Apartment,683,22 Sq.Ft,2012,Sold,5623840,03113991528
عائشہ احمد,S/O Salman Malik,4400099799055,03315212260,Sindh,Larkana,E-11,Apartment,748,91 Marla,2011,Owned,5889136,03315212260
عائشہ احمد,S/O S/O Fatima Butt,1330232867426,03111153219,KPK,Mingora,Scheme 33,House,672,86 Kanal,2001,Sold,834755,03111153219
Kamran Raja,S/O Kashif Syed,2130139860329,03223094467,KPK,Bannu,G-9,Apartment,831,61 Kanal,2007,Owned,5868601,03223094467
Waseem Raja,S/O Shazia Jafri,35202-7452198-3,03455388337,KPK,Mingora,Gulshan-e-Iqbal,Apartment,749,52 Marla,2015,,1283235,03455388337
Uzma Rafiq,S/O Fatima Hameed,4400056648792,03328301537,Azad Kashmir,Mirpur,Cantt,Apartment,374,76 Sq.Ft,1998,Mortgaged,276108642,03328301537
Kashif Malik,S/O عمر شیخ,,03316689087,Gilgit-Baltistan,Skardu,Bahria Town,Residential Plot,159,37 Marla,1995,Mortgaged,13171903,03316689087
Muhammad Syed,S/O Rizwan Sandhu,5400057889428,03122947653,ICT,Islamabad,Bahria Town,Apartment,541,37 Sq.Ft,2020,Mortgaged,3288890,03122947653
Uzma Zaidi,S/O Omar Chaudhry,6110120956467,03032416860,Punjab,Faisalabad,Johar Town,House,623,78 Marla,2003,Rented,,03032416860
عائشہ احمد,S/O Bushra Aslam,3520272898749,03033395659,Balochistan,Hub,Model Town,House,711,100 Sq.Ft,2011,Owned,,03126135441
Kashif Gilani,S/O Ayesha Iqbal,3520255863003,03451954560,Balochistan,Hub,DHA,Residential Plot,820,26 Sq.Ft,2007,Sold,13876856,03451954560
Bilal Chattha,S/O Asif Butt,3520218717077,03319213416,Balochistan,Gwadar,Johar Town,Residential Plot,164,100 Sq.Ft,2014,Mortgaged,9450231,
Ibrahim Malik,S/O Khalid Ahmed,3520267792995,03462546566,Gilgit-Baltistan,Gilgit,Scheme 33,Residential Plot,309,53 Kanal,2003,Sold,9820025,03112526016
Adnan Sandhu,S/O Ali Aslam,4400014061235,03468419054,Sindh,Larkana,Gulberg,Apartment,460,14 Kanal,2022,Sold,81384773,03468419054
Asif Raja,S/O Shazia Bukhari,4400076280727,03126425211,Balochistan,Turbat,Cavalry Ground,Residential Plot,506,62 Kanal,2010,Owned,10309458,03126425211
Asif Gondal,S/O Faisal Bhatti,6110118643614,03011023487,Gilgit-Baltistan,Chilas,I-8,Residential Plot,507,32 Marla,1995,Rented,83747557,03011023487
Mirza Quresi,S/O Adnan Ahmed,3520242614774,03332473857,Punjab,Sialkot,Clifton,Apartment,88,89 Marla,2011,Owned,1562277,03332473857
محمد احمد,S/O Hamid Mirza,,03219853509,Sindh,Nawabshah,DHA,Residential Plot,625,76 Sq.Ft,2022,Owned,7255648,03219853509
Rabia Ahmed,S/O Naeem Cheema,2130154731221,03127337385,Gilgit-Baltistan,Chilas,DHA,House,361,25 Kanal,2016,Rented,32360529,03127337385
,S/O Omar Sandhu,4210174828856,03214444176,Sindh,Larkana,Township,House,632,32 Marla,2000,Owned,2230822,03214444176
Sheikh Sheikh,,5400052524317,03452719405,Balochistan,Quetta,Bahria Town,Apartment,104,4 Marla,2008,Owned,3497109,03452719405
Amna Virk,S/O زینب علی,2130158918205,03025154550,Punjab,Bahawalpur,Johar Town,Apartment,199,87 Marla,2001,Rented,3777826,03025154550
Sobia Raja,S/O Shoaib Sheikh,4400015139942,03124308012,Gilgit-Baltistan,Chilas,F-10,Apartment,978,75 Sq.Ft,2018,Sold,12680087,03124308012
Raja Butt,S/O محمد احمد,3520213412023,03038434123,ICT,Islamabad,Bahria Town,Apartment,626,47 Marla,2002,Mortgaged,18222102,03038434123
Noor Rizvi,S/O Sobia Chaudhry,2130150188525,03461579978,Sindh,Karachi,Clifton,House,944,73 Marla,1997,Sold,27346585,03461579978
Iqra Aslam,S/O Mirza Abbasi,6110147831057,03456027078,Balochistan,Khuzdar,North Nazimabad,Agricultural Land,70,48 Marla,2020,Mortgaged,84838604,03456027078
Asma Ali,S/O Khalid Gilani,4210145666995,03112342454,Balochistan,Gwadar,Johar Town,Residential Plot,741,7 Sq.Ft,2022,Mortgaged,5862473,03112342454
Ahmed Akhtar,S/O Shazia Ansari,3520264174406,03211549194,KPK,Abbottabad,Johar Town,Residential Plot,2,99 Kanal,2004,Rented,47453794,03211549194
,S/O S/O Hassan Sandhu,1330211136711,03019888098,Gilgit-Baltistan,Skardu,Model Town,Residential Plot,309,64 Sq.Ft,2008,Rented,1693631,03019888098
Hassan Zaidi,S/O S/O Baig Hameed,3520276321152,03039469478,Azad Kashmir,Muzaffarabad,Scheme 33,Apartment,335,10 Marla,2005,Rented,6074990,03039469478
Rizwan Bukhari,S/O Asif Malik,5400050154646,03128546391,ICT,Islamabad,Cavalry Ground,Residential Plot,554,92 Marla,2003,Sold,34314455,03128546391
Ibrahim Gondal,S/O Qureshi Sheikh,5400099158444,03311496862,ICT,Islamabad,I-8,Apartment,204,74 Kanal,2002,Mortgaged,5565210,03311496862
Noor Rafiq,S/O Amna Baig,4400019199308,03215551796,Punjab,Bahawalpur,PAF Colony,Apartment,25,26 Sq.Ft,1995,Sold,17165509,03215551796
Bushra Qureshi,S/O Hassan Ali,6110118368407,03312580209,Punjab,Sargodha,E-11,House,171,77 Marla,2004,Mortgaged,10085601,03312580209
Mohammad Rana,S/O Rabia Rizvi,2130110971231,03028741067,Balochistan,Quetta,F-10,Residential Plot,772,85 Sq.Ft,2021,Owned,20495412,03028741067
Naveed Chaudhry,S/O Ahmed Latif,1330260605478,03117637030,KPK,Kohat,G-9,Apartment,934,32 Kanal,2008,Sold,47302413,03226919974
,S/O Usman Malik,4210111913707,03038430216,Sindh,Karachi,Johar Town,House,562,32 Sq.Ft,2012,Rented,7252869,03038430216
Uzma Chaudhry,S/O احمد خان,4210187699512,03221842079,Punjab,Faisalabad,E-11,House,537,62 Sq.Ft,2015,Mortgaged,1524316,03221842079
Naveed Cheema,S/O Mehwish Akhtar,,03466288963,ICT,Islamabad,Johar Town,House,793,91 Kanal,2002,Rented,1032305,03466288963
Saira Rafiq,S/O Salman Hashmi,5400085032287,03221441057,Punjab,Sargodha,Cavalry Ground,Apartment,806,18 Marla,2007,Mortgaged,6787820,03221441057
Hina Nawaz,S/O Muhammad Bukhari,5400061756747,03214580053,Sindh,Karachi,I-8,House,361,67 Sq.Ft,2018,Mortgaged,27232521,03214580053
Amna Hashmi,S/O Kamran Jafri,6110195327509,03123615179,Azad Kashmir,Mirpur,Cantt,Apartment,733,33 Kanal,2001,Mortgaged,29132200,03123615179
Maryam Ahmed,S/O علی حسین,4210193817987,03129789295,Balochistan,Khuzdar,G-9,Residential Plot,419,62 Sq.Ft,2021,Sold,21836288,03129789295
Bilal Ahmed,S/O Malik Baig,6110188894587,03454278016,ICT,Islamabad,I-8,House,729,87 Sq.Ft,2018,Sold,7595776,03454278016
Asif Rafiq,S/O Faisal Syed,1330285342863,03322557530,Punjab,Lahore,Cantt,Apartment,236,33 Sq.Ft,2004,Mortgaged,8261618,03322557530
Waseem Gujjar,S/O Ayesha Ahmed,5400031287927,03217702519,ICT,Islamabad,Askari,Apartment,584,38 Kanal,2014,Sold,2726260,03217702519
Mehwish Virk,,6110121040432,03118809645,ICT,Islamabad,Cantt,House,381,83 Kanal,2016,Owned,6363786,03118809645
Amna Hussain,S/O Rukhsar Jafri,2130151115594,03036198557,ICT,Islamabad,Johar Town,Agricultural Land,349,8 Kanal,2010,Rented,42959740,03036198557
,S/O Ayesha Jafri,3520234112264,03131285020,ICT,Islamabad,Saddar,Apartment,921,69 Marla,2014,Owned,1011339,03131285020
Khalid Iqbal,S/O Sheikh Abbasi,1330299991509,03325242695,Balochistan,Hub,Defence,Apartment,520,93 Marla,2000,Owned,1006677,03325242695
Sajid Jafri,S/O Asif Tarar,5400094703658,03122591536,Azad Kashmir,Muzaffarabad,Cantt,Residential Plot,744,34 Kanal,2016,Mortgaged,12361977,03122591536
Uzma Zaidi,S/O Omar Chaudhry,6110120956467,03032416860,Punjab,Faisalabad,Township,Commercial Plot,465,37 Marla,2010,Sold,100253708,03032416860
Muhammad Baig,S/O Sheikh Hameed,2130179027253,03122608107,KPK,Abbottabad,Township,House,564,45 Sq.Ft,1996,Mortgaged,7222927,03122608107
Naeem Chaudhry,S/O Naeem Hashmi,6110110555485,03312864098,Punjab,Bahawalpur,Scheme 33,Residential Plot,49,26 Kanal,2012,Sold,14083089,03002066412
Amna Ansari,S/O Chaudhry Gilani,6110117280657,03221680765,Balochistan,Gwadar,Cavalry Ground,Residential Plot,767,39 Kanal,2006,Mortgaged,23530112,03221680765
Omar Rafiq,S/O Saira Mirza,44000-3859854-4,03212991625,Balochistan,Gwadar,Gulshan-e-Iqbal,Residential Plot,803,36 Kanal,2017,Owned,2814056,03212991625
Sana Sheikh,S/O Asma Zaidi,3520281084626,03018920040,Balochistan,Gwadar,Clifton,House,22,100 Marla,1997,Owned,2101201,03018920040
Raja Virk,S/O Kamran Bukhari,2130174671755,03034694570,Punjab,Gujranwala,Gulberg,Residential Plot,900,31 Kanal,2012,Rented,1638655,03034694570
Mirza Hashmi,S/O Khalid Jafri,5400033868325,03318337083,Gilgit-Baltistan,Skardu,I-8,Apartment,419,43 Marla,1997,Sold,3589751,03318337083
Naveed Chaudhry,S/O Ahmed Qureshi,4210131909409,03002103152,KPK,Mingora,Clifton,Apartment,548,42 Kanal,2009,Rented,6643740,03002103152
Arif Hameed,S/O Amna Latif,1330252330545,03124055213,Azad Kashmir,Muzaffarabad,Saddar,Apartment,932,24 Kanal,2022,Mortgaged,3814918,03124055213
Mirza Rizvi,S/O Amna Ansari,3520220990985,03119554791,KPK,Mardan,Bahria Town,House,814,13 Kanal,1998,Owned,9910599,03012330676
Imran Rizvi,S/O Omar Raza,2130123047234,03339454220,ICT,Islamabad,Clifton,Apartment,752,66 Marla,2007,Rented,3729937,03117442149
Sajid Gilani,S/O Hassan Raza,1330260213044,03221580404,ICT,Islamabad,Township,Apartment,925,74 Sq.Ft,2013,Rented,9241464,03221580404
