Owner_Name,Father_Name,CNIC,Car_Registration_Number,Model_Year,Car_Brand,Car_Model,Engine_Size_CC,Province,City,Estimated_Market_Value,Contact_No
Adnan Zaidi,S/O Chaudhry Ahmed,2130159968956,LHR-275-L,2011,Suzuki,Jimny,2000,Punjab,Sialkot,310000,03327782834
Baig Latif,S/O Uzma Qureshi,42101-3833703-8,LHR-1877-H,2017,Toyota,Fortuner,1600,Punjab,Lahore,201600,03028239828
Adnn Chaudhry,S/O Omar Rana,5400054834292,LHR-7725-U,2011,Kia,Sportage,660,Punjab,Faisalabad,117480,03465856891
H. Bukhari,S/O Waseem Sandhu,4210134792597,GIL-231-K,2014,Honda,CR-V,2500,Gilgit-Baltistan,Gilgit,977500,03221232979
Naveed Chattha,S/O S/O Ahmed Bhatti,4210154123059,KHI-5950-Y,2018,Suzuki,Wagon R,1600,Sindh,Sukkur,489600,03214484526
Faisal Khan,S/O علی حسین,5400040595081,ISB-6808-R,2010,Suzuki,Bolan,660,ICT,Islamabad,264000,03018101457
Mirza Virk,S/O Syed Mirza,1330280392127,KHI-2912-Y,2015,Kia,Stonic,3000,Sindh,Karachi,942000,03322619858
Khalid Akhtar,S/O احمد خان,4400035425073,ISB-2587-Y,2015,Honda,Civic,2000,ICT,Islamabad,538000,03014533419
Naeem Virk,S/O Kamran Ansari,1330288964862,PES-1972-T,2008,Honda,BR-V,660,KPK,Mardan,143880,03129364914
Sajid Chaudhry,S/O Mehwish Baig,4210173435825,KHI-892-I,2023,Toyota,Fortuner,1800,Sindh,Larkana,408600,03021388238
Wasee mJafri,S/O Mehwish Iqbal,1330287432981,MZD-2284-Z,2021,Hyundai,Elantra,1000,Azad Kashmir,Mirpur,238000,03452418894
Zubair Jafri,S/O Tariq Rizvi,2130132485811,PES-3063-K,2017,Suzuki,Alto,2500,KPK,Bannu,700000,03022706700
Tahir Akhtar,S/O Zainab Hussain,44000-7733365-7,LHR-6833-K,2015,Honda,CR-V,1800,Punjab,Lahore,455400,03335973635
Bushra Cheema,S/O Khalid Naqvi,4210119958226,GIL-6681-Z,2014,Honda,CR-V,1000,Gilgit-Baltistan,Chilas,293000,03039696512
Rabia Ali,S/O Muhammad Sandhu,4400030247251,KHI-5385-E,2013,Honda,City,660,Sindh,Karachi,,03312984167
Mirza Rizvi,S/O Hashmi Rizvi,4400011675362,ISB-2544-O,2011,Suzuki,Jimny,1500,ICT,Islamabad,280500,03036627692
Maryam Ahmed,S/O Bilal Akhtar,4400064205778,KHI-8814-H,2023,Suzuki,Cultus,1000,Sindh,Sukkur,132000,03311993239
Mirza Naqvi,S/O Amna Hashmi,2130172987103,QTA-7913-N,2013,Kia,Sportage,1000,Balochistan,Hub,262000,03332631452
Tahir Jafri,S/O Adnan Malik,2130158841851,PES-1765-J,2023,Audi,A3,2000,KPK,Kohat,254000,03001863770
Sana Akhtar,S/O Mehwish Ahmed,3520251796382,PES-6053-N,2014,Honda,BR-V,1000,KPK,Kohat,378000,03213669853
Ahmed Khan,S/O Imran Abbasi,1330231832807,PES-6700-V,2023,Toyota,Land Cruiser,2000,KPK,Mingora,548000,03461617723
Saira Sandhu,S/O Qureshi Iqbal,2130129764443,LHR-9532-I,2010,Kia,Stonic,2000,Punjab,Faisalabad,730000,
Hussain Zaidi,S/O Sajid Mirza,2130144288515,PES-8762-N,2008,Suzuki,Swift,1000,KPK,Abbottabad,353000,03312991675
Faisal Hussain,S/O Rukhsar Abbasi,5400028061654,GIL-9076-K,2009,Kia,Sportage,1600,Gilgit-Baltistan,Skardu,366400,03028519778
Saira Malik,S/O Shazia Rizvi,1330215663265,LHR-3275-C,2005,Honda,HR-V,660,Punjab,Lahore,140580,03036041872
Sheikh Khan,S/O Mirza Khan,3520210513254,MZD-986-L,2011,Hyundai,Tucson,1500,Azad Kashmir,Muzaffarabad,507000,03223553925
Rabia Latif,S/O Rizwan Qureshi,5400088687712,KHI-2372-P,2005,Honda,CR-V,2000,Sindh,Karachi,760000,03116655864
Bilal Malik,S/O Hashmi Qureshi,6110167638882,PES-351-U,2016,Hyundai,Sonata,1200,KPK,Abbottabad,408000,03112408453
Malik Malik,S/O Fatima Bukhari,3520291120715,KHI-2297-K,2022,Toyota,Hilux,1600,Azad Kashmir,Rawalakot,444800,03137909675
Khalid Hussain,S/O محمد احمد,2130168692817,ISB-6225-N,2019,Kia,Picanto,2500,ICT,Islamabad,422500,03226676890
Hashmi Baig,S/O احمد خان,2130155986167,QTA-1934-P,2012,Audi,Q5,2500,Balochistan,Hub,467500,03332939404
Sobia Raza,S/O Hina Rana,4210190201956,PES-1818-J,2010,Suzuki,Alto,1800,KPK,Mardan,327600,03321286354
Faisal Rana,S/O Hamid Aslam,,PES-1966-Y,2005,Honda,CR-V,660,KPK,Kohat,126060,03219578346
Hussain Latif,S/O Zainab Ahmed,1330254780264,MZD-8712-M,2018,Suzuki,Cultus,1500,Azad Kashmir,Muzaffarabad,420000,03115435893
Mirza Zaidi,S/O Rukhsar Latif,6110112600788,PES-701-I,2006,Honda,CR-V,3000,KPK,Mardan,879000,03466918456
Qureshi Baig,S/O محمد احمد,2130196721481,GIL-4385-G,2011,Toyota,Land Cruiser,3000,Gilgit-Baltistan,Skardu,906000,03467096404
Chaudhry Raza,S/O Uzma Rafiq,6110131614491,ISB-4351-Y,2012,Kia,Picanto,1200,ICT,Islamabad,190800,03316077272
م. چودھری,S/O Hussain Chattha,2130116680114,LHR-3494-L,2009,Toyota,Hilux,3000,Punjab,Sargodha,1050000,03459812089
Waseem Chattha,S/O Khalid Gujjar,5400056529395,PES-6491-G,2011,Mercedes,C-Class,3000,KPK,Abbottabad,1044000,03453771786
Hassan Qureshi,,3520223961923,KHI-6298-R,2019,Honda,BR-V,1300,Sindh,Sukkur,399100,03465148197
Hassan Naqvi,S/O Iqra Rafiq,3520290228807,QTA-4552-C,2023,Hyundai,Sonata,1300,Balochistan,Gwadar,196300,03129167350
Ibrahim Iqbal,S/O Muhammad Akhtar,5400084141628,LHR-7645-Y,2017,Hyundai,Santa Fe,3000,Punjab,Faisalabad,720000,03005926865
Adnaan Raza,S/O Shazia Gondal,4210147222645,PES-4397-I,2007,Honda,BR-V,3000,KPK,Mingora,534000,03215072130
Ahmed Ali,S/O Zubair Gilani,3520272263222,KHI-6657-D,2015,Kia,Stonic,1500,Sindh,Hyderabad,571500,03128765215
Naveed Chattha,S/O Naeem Rana,5400017187765,ISB-7560-K,2022,Audi,A3,3500,ICT,Islamabad,1386000,03113422695
Ali Ansari,S/O Asma Mirza,5400020681873,QTA-8475-Z,2020,BMW,7 Series,4000,Balochistan,Khuzdar,544000,03035092644
Saira Chaudhry,S/O Sajid Tarar,2130184107858,GIL-3365-D,2018,Kia,Sportage,1300,Gilgit-Baltistan,Gilgit,392600,03037710193
Thair Gilani,S/O Omar Mirza,3520261860094,LHR-9557-E,2015,Toyota,Yaris,1800,Punjab,Sialkot,657000,03009719744
فاطمہ خان,S/O Bilal Ali,3520234789958,GIL-8540-T,2012,Suzuki,Swift,1200,Gilgit-Baltistan,Gilgit,160800,03457095481
Bushra Syed,S/O Asif Virk,4400092999333,QTA-738-T,2011,Suzuki,Wagon R,2500,Balochistan,Quetta,287500,03325115846
Sajid Gilani,S/O Raja Sandhu,6110135952361,QTA-9213-Q,2006,Honda,CR-V,3000,Balochistan,Khuzdar,1038000,03456376801
Arif Jafri,S/O Naeem Chattha,2130147765387,MZD-3071-U,2012,Suzuki,Jimny,2000,Azad Kashmir,Muzaffarabad,332000,03468540619
Noor Qureshi,S/O Sidra Gilani,2130119654576,GIL-7586-D,2016,Suzuki,Bolan,2500,Gilgit-Baltistan,Skardu,830000,03016946051
Noor Hussain,S/O Bushra Jafri,5400050169185,MZD-841-Y,2023,Honda,BR-V,3500,Azad Kashmir,Muzaffarabad,1001000,03026941510
Saira Gilani,S/O Asma Hussain,1330242945529,KHI-2361-Z,2007,Suzuki,Bolan,800,Sindh,Sukkur,,03211180862
Hina Sheikh,S/O Kashif Aslam,5400035319406,ISB-9350-P,2023,Kia,Picanto,1000,ICT,Islamabad,247000,03121400196
Faisal Raja,S/O Fatima Rizvi,4210163133832,LHR-1016-V,2015,Honda,City,2000,Punjab,Sargodha,566000,03128042351
Hassan Tarar,S/O زینب علی,4400043935889,QTA-2858-F,2022,Hyundai,Elantra,660,Balochistan,Turbat,66660,03035348266
UzmaChattha,S/O Omar Ahmed,6110145679569,MZD-3486-O,2015,Suzuki,Bolan,1000,Azad Kashmir,Muzaffarabad,201000,03032691852
Rukhsar Syed,S/O Aamir Naqvi,3520234517746,PES-3376-G,2013,Kia,Stonic,2000,KPK,Mingora,324000,03123739867
محمد حسن,S/O Omar Aslam,3520292526618,MZD-8248-X,2005,Kia,Stonic,800,Azad Kashmir,Muzaffarabad,297600,03005124342
Ayesha Syed,S/O Raja Gondal,4210163794297,LHR-3952-H,2007,Toyota,Hilux,3000,Punjab,Multan,1062000,03133884021
A. Rizvi,,4400043924722,MZD-4485-T,2013,Toyota,Corolla,1200,Azad Kashmir,Rawalakot,164400,03016349518
F. Hameed,S/O Saira Iqbal,4400037547389,KHI-6415-H,2009,Hyundai,Santa Fe,2500,Sindh,Mirpurkhas,257500,03032223458
Uzma Ahmed,S/O Ahmed Chattha,3520266228717,KHI-2390-Y,2005,Honda,HR-V,2000,Sindh,Mirpurkhas,608000,03317126308
S. Rizvi,S/O Waseem Malik,5400055514623,GIL-6404-T,2012,Toyota,Yaris,1600,Gilgit-Baltistan,Skardu,358400,03466503218
Ali Sandhu,S/O Fatima Karim,3520246695079,KHI-704-X,2014,Suzuki,Wagon R,1600,Sindh,Sukkur,320000,03329106820
فاطمہ خان,S/O Faisal Tarar,3520258151249,ISB-471-E,2021,BMW,3 Series,3000,ICT,Islamabad,372000,03463406774
M. Nawaz,S/O Arif Naqvi,4210113965847,PES-9529-M,2022,Kia,Picanto,660,KPK,Bannu,244200,03222083576
Amna Gujjar,S/O Kashif Zaidi,4210196994451,PES-563-K,2010,Toyota,Hilux,660,KPK,Kohat,141900,
Shoaib Akhtar,S/O Aamir Naqvi,6110193762309,QTA-8937-C,2007,Honda,CR-V,1300,Balochistan,Turbat,261300,03457014194
Asif Gujjar,S/O Sajid Malik,1330262924237,QTA-4548-L,2006,Toyota,Corolla,4000,Balochistan,Khuzdar,1556000,03336279418
Faisal Raja,S/O Imran Ali,3520213881366,QTA-7823-C,2020,Toyota,Land Cruiser,800,Balochistan,Quetta,121600,03451844801
Zubair Gujjar,S/O Rabia Khan,2130119614234,QTA-5328-A,2018,Hyundai,Sonata,1800,Balochistan,Quetta,239400,03113901538
Shazia Ahmed,,3520298530236,QTA-4087-S,2019,Kia,Picanto,800,Balochistan,Turbat,152000,03456709813
Maryam Mirza,S/O Saira Hashmi,6110188369061,LHR-3815-H,2020,BMW,7 Series,4000,Punjab,Rawalpindi,928000,03014215341
Tariq Rafiq,S/O Khalid Hashmi,5400096998771,PES-3179-Z,2015,Mercedes,GLE,3500,KPK,Mardan,574000,03311889459
Noor ussain,S/O Bushra Jafri,5400050169185,MZD-5064-B,2007,BMW,3 Series,3500,Azad Kashmir,Muzaffarabad,395500,03026941510
Arif Abbasi,S/O Aamir Mirza,4400045172531,GIL-9123-R,2013,Honda,CR-V,660,Gilgit-Baltistan,Chilas,138600,03325613705
S. hCaudhry,S/O Shoaib Baig,1330263196061,KHI-3342-G,2018,Suzuki,Wagon R,1500,Sindh,Larkana,270000,03137138653
Tariq Bukhari,S/O Hussain Chaudhry,4400089515375,ISB-8180-Y,2006,Suzuki,Alto,1000,ICT,Islamabad,165000,03016508882
Tahir Khan,S/O Mehwish Baig,6110144185682,GIL-2599-B,2013,Kia,Carnival,1500,Gilgit-Baltistan,Chilas,433500,03323567729
Ali Abbasi,S/O Noor Virk,2130118870341,ISB-3880-Z,2015,Suzuki,Cultus,1600,ICT,Islamabad,640000,03018494748
Shazia Bukhari,S/O S/O Mohammad Chattha,5400083437843,QTA-6775-C,2014,Honda,Civic,1200,Balochistan,Turbat,258000,03013973536
Omar Latif,S/O نادیہ رضا,4400054990129,KHI-2596-N,2021,Hyundai,Tucson,1300,Sindh,Nawabshah,240500,03034425337
Ali Sheikh,S/O Ibrahim Ali,1330243554326,QTA-782-B,2022,Kia,Stonic,2500,Balochistan,Khuzdar,940000,03219528900
Hamid Rafiq,S/O Raja Bhatti,2130113428235,LHR-7934-C,2012,Toyota,Camry,2500,Punjab,Sialkot,1000000,03458187437
Sidra Maik,S/O Naeem Zaidi,5400027466798,KHI-2764-E,2012,Honda,BR-V,800,Sindh,Mirpurkhas,309600,03036818508
Fatima Gilani,S/O Shazia Hameed,2130118378077,GIL-9408-C,2012,Hyundai,Elantra,660,Gilgit-Baltistan,Chilas,219120,03219087798
Uzma Hussain,S/O Syed Karim,5400053814325,MZD-8108-U,2018,Toyota,Camry,1200,ICT,Islamabad,382800,03455380017
U. Raja,S/O Naeem Qureshi,6110143828057,GIL-3496-R,2015,Kia,Picanto,3000,Gilgit-Baltistan,Gilgit,372000,03213060930
Rizwan Baig,S/O S/O Asif Tarar,1330238235219,MZD-6280-Z,2017,Honda,BR-V,1200,Azad Kashmir,Mirpur,152400,03009825074
عمر شیخ,S/O Kashif Raja,4400069708594,LHR-3827-V,2018,Hyundai,Santa Fe,1500,Punjab,Multan,184500,03135912097
Mirza Tarar,S/O Aamir Malik,4210197949217,LHR-835-X,2022,Suzuki,Wagon R,1500,Punjab,Faisalabad,382500,03137758869
A. Hameed,S/O Asma Hameed,6110199977936,MZD-576-H,2019,Honda,Civic,3000,Azad Kashmir,Rawalakot,612000,03126033558
Syed Aslam,S/O Asif Butt,4210199737168,ISB-1686-R,2010,Suzuki,Jimny,800,ICT,Islamabad,272800,03329253428
N. Gujjar,S/O Chaudhry Bukhari,2130146917622,MZD-2340-Q,2014,Hyundai,Tucson,1800,Azad Kashmir,Mirpur,468000,03121483827
Maryam Bhatti,S/O Aamir Raja,2130148462963,ISB-4418-N,2006,Honda,City,1000,ICT,Islamabad,316000,03329906450
Qureshi Chaudhry,,6110166052388,ISB-617-S,2017,Toyota,Fortuner,1600,ICT,Islamabad,304000,03459752754
Hassan Baig,S/O Chaudhry Iqbal,4210166311984,PES-4961-S,2012,Suzuki,Alto,1800,Azad Kashmir,Mirpur,333000,03025054733
Rizwan Aslam,S/O محمد احمد,3520297073277,ISB-3289-S,2022,Kia,Carnival,1800,ICT,Islamabad,464400,03215014329
Mohammad Butt,S/O Muhammad Akhtar,6110150434364,QTA-995-V,2008,Kia,Picanto,1000,Balochistan,Khuzdar,313000,03454974956
Arif Bhatti,S/O Mirza Iqbal,5400053365495,MZD-6212-O,2007,Honda,City,660,Azad Kashmir,Mirpur,116820,03311747023
,S/O Nadia Karim,2130111160246,MZD-9838-C,2009,Toyota,Camry,1500,Azad Kashmir,Mirpur,187500,03039024017
Bilal Qureshi,S/O Sobia Mirza,5400079626896,KHI-3615-N,2007,Honda,City,660,Sindh,Mirpurkhas,198660,03459886057
Hamid Baig,S/O Ayesha Gondal,6110129022003,PES-8330-Z,2007,Kia,Picanto,3000,KPK,Bannu,627000,03223728933
Hamid Akhtar,S/O Bushra Karim,5400051106197,LHR-551-L,2014,Toyota,Fortuner,1600,Punjab,Faisalabad,284800,03338029501
Aamir Karim,S/O Naveed Ansari,4400082749102,MZD-4261-U,2018,Kia,Carnival,660,Azad Kashmir,Mirpur,157080,03335878596
Shoaib Hashmi,S/O S/O Rabia Aslam,1330287191456,LHR-4447-N,2022,Toyota,Camry,1500,Punjab,Bahawalpur,418500,03222319479
عمر شیخ,S/O Sajid Zaidi,3520258788484,GIL-6221-V,2022,Honda,City,1000,Gilgit-Baltistan,Skardu,222000,03037480045
Ali Akhtar,S/O Arif Aslam,4400091486794,KHI-7914-Y,2022,Kia,Stonic,1300,Sindh,Karachi,145600,03458631876
Salman Khan,S/O Zainab Tarar,4400058503912,KHI-9579-A,2018,Kia,Stonic,1000,Sindh,Larkana,265000,03015431092
Rizwan Akhtar,S/O Noor Aslam,5400021126679,QTA-9080-X,2013,Hyundai,Sonata,660,Balochistan,Khuzdar,261360,03216305294
نادیہ رضا,S/O Hamid Rafiq,1330225999435,LHR-2958-X,2013,Suzuki,Cultus,1500,Punjab,Sialkot,393000,03317401281
Iqra Mirza,S/O Salman Rana,6110177272195,QTA-9588-O,2019,Hyundai,Elantra,1600,Balochistan,Turbat,160000,03128419185
Adnan Hashmi,S/O Amna Virk,1330296809966,ISB-4895-L,2008,Toyota,Yaris,660,ICT,Islamabad,68640,03463843741
فاطمہ خان,S/O Naeem Abbasi,4400085243916,LHR-9178-C,2021,Kia,Picanto,1300,Punjab,Sialkot,458900,03463300272
Saira Cheema,S/O Uzma Qureshi,6110184162903,ISB-9141-N,2016,Honda,CR-V,1300,ICT,Islamabad,488800,03007098050
Zainab Hashmi,S/O Muhammad Naqvi,4400043169258,PES-8192-Q,2008,Audi,A6,3000,KPK,Kohat,1041000,03312730412
Kamran Akhtar,S/O Sobia Raza,6110151399982,PES-7973-N,2015,Suzuki,Cultus,1200,KPK,Mingora,230400,03451020311
Maryam Syed,S/O Ayesha Aslam,2130132218351,KHI-4284-B,2005,Toyota,Corolla,3000,Sindh,Nawabshah,810000,03461280902
,S/O Adnan Akhtar,4400014922504,MZD-7427-Q,2012,Toyota,Land Cruiser,1800,Azad Kashmir,Muzaffarabad,698400,03036622508
Omar Baig,S/O Chaudhry Baig,2130164592564,KHI-8757-F,2020,Suzuki,Wagon R,660,Sindh,Hyderabad,208560,03216350354
Bushra Virk,S/O Hamid Aslam,5400039282755,ISB-1981-F,2006,Hyundai,Santa Fe,1000,ICT,Islamabad,214000,03218498243
Ali Akhtar,S/O Arif Aslam,4400091486794,KHI-5748-U,2015,Honda,Civic,1500,Sindh,Karachi,166500,03458631876
Bushra Qureshi,S/O Fatima Jafri,1330245286076,PES-3140-L,2017,Honda,Civic,1200,KPK,Mardan,432000,03323161704
,S/O Maryam Rafiq,1330276405185,KHI-7291-B,2023,Suzuki,Alto,1800,Sindh,Karachi,,03451822825
Hamid Bhatti,S/O Tahir Chaudhry,4400046641582,PES-4663-Z,2015,Honda,BR-V,1800,KPK,Bannu,329400,03114173453
Naveed Hussain,S/O Naeem Gujjar,6110116422559,ISB-1552-E,2005,Honda,CR-V,1600,ICT,Islamabad,502400,03116078724
H. Raza,S/O Omar Bhatti,4400077346737,ISB-9806-T,2015,Honda,City,660,ICT,Islamabad,67980,03229854274
Sidra Raja,S/O عمر شیخ,2130153954624,PES-3213-J,2014,Kia,Picanto,1300,KPK,Kohat,141700,03016771909
صنا ملک,S/O Zubair Hussain,1330248506795,ISB-2955-W,2021,Suzuki,Alto,1500,ICT,Islamabad,465000,03452742095
Shazia Hussain,S/O Amna Jafri,4210167441741,GIL-1195-Y,2012,Toyota,Yaris,3000,Gilgit-Baltistan,Skardu,513000,03313280721
Sobia Sheikh,S/O Waseem Zaidi,1330220757759,LHR-4680-R,2016,Suzuki,Swift,1600,Punjab,Gujranwala,456000,03008199045
OmarI qbal,S/O Tariq Virk,1330235013889,GIL-6009-C,2023,Honda,HR-V,1300,Gilgit-Baltistan,Chilas,508300,03137173192
عائشہ احمد,S/O Bushra Ali,3520225182948,GIL-7484-E,2016,Suzuki,Swift,1000,Gilgit-Baltistan,Chilas,334000,03013104700
Naeem Gujjar,S/O S/O Salman Rana,4210172764795,ISB-9354-Z,2013,Suzuki,Wagon R,1800,ICT,Islamabad,666000,03124861738
Mehwish Nawaz,S/O Amna Hussain,4210195750422,PES-173-B,2005,Hyundai,Santa Fe,3000,KPK,Mardan,735000,03463249784
I. Zaidi,S/O Salman Rana,4210115807892,LHR-4593-J,2018,Kia,Stonic,1500,Punjab,Gujranwala,316500,03113074052
Asma Raja,S/O Ibrahim Latif,5400014102924,QTA-809-L,2021,Honda,CR-V,660,Balochistan,Khuzdar,106920,03465791535
Salman Aslam,S/O Malik Hussain,,MZD-3593-F,2023,Honda,Civic,1200,Azad Kashmir,Mirpur,386400,03327238439
Noor Latif,S/O Hassan Akhtar,6110131790287,MZD-8450-N,2023,Toyota,Hilux,800,Azad Kashmir,Mirpur,176800,03223492296
Arif Gujjar,S/O Naeem Syed,4210146395031,QTA-7179-G,2006,Suzuki,Jimny,800,Balochistan,Hub,172800,03036608342
Mirza Ansari,S/O Rukhsar Iqbal,6110199291094,MZD-3985-I,2006,Suzuki,Jimny,1200,Azad Kashmir,Mirpur,469200,03131608719
Ahmed Latif,S/O Tahir Jafri,35202-6387621-4,QTA-245-U,2012,Hyundai,Santa Fe,1600,Balochistan,Khuzdar,580800,03451270732
Waseem Raja,S/O Zainab Ahmed,5400011956881,GIL-6824-N,2005,Honda,City,1300,Gilgit-Baltistan,Skardu,490100,03133375870
Waseem Sheikh,S/O زینب علی,2130192489357,KHI-4632-Q,2018,Kia,Stonic,2500,Sindh,Hyderabad,647500,03457910911
Zubair Hussain,S/O Hamid Karim,4400066500037,PES-4957-U,2021,Hyundai,Tucson,1300,KPK,Peshawar,286000,03119183892
Khalid Akhtar,S/O S/O Usman Akhtar,1330263572406,QTA-3119-W,2009,Hyundai,Sonata,1300,Balochistan,Gwadar,,03038826111
Iqra Butt,S/O Syed Sandhu,2130112237231,QTA-6104-S,2019,Mercedes,S-Class,2500,Balochistan,Gwadar,970000,03463028529
B. Rizvi,S/O Hussain Cheema,4210115952432,KHI-583-L,2007,Hyundai,Elantra,1000,Sindh,Hyderabad,141000,03001124054
Syed Ansari,S/O Aamir Zaidi,6110143340296,QTA-1035-F,2005,Suzuki,Bolan,1000,Balochistan,Quetta,215000,03014958849
Baig Malik,S/O Sajid Malik,1330240913046,MZD-8106-Y,2021,Suzuki,Swift,1200,Azad Kashmir,Mirpur,206400,03325262432
H. Gilani,S/O Salman Gujjar,5400069199512,MZD-8642-P,2019,Kia,Carnival,3000,Azad Kashmir,Muzaffarabad,720000,03311299269
Sana Jafri,S/O Maryam Gondal,5400091047181,ISB-389-B,2017,Toyota,Camry,1500,ICT,Islamabad,289500,03017508433
Arif Raza,S/O Sheikh Qureshi,4210148283303,PES-6365-V,2011,Suzuki,Alto,1500,KPK,Mardan,460500,03127283435
Faisal Karim,S/O Shoaib Chattha,3520288907297,KHI-3238-X,2021,Honda,Civic,800,Sindh,Karachi,241600,03019775049
Ibrahim Akhtar,S/O Iqra Karim,3520210838636,GIL-111-J,2006,Toyota,Camry,800,Gilgit-Baltistan,Gilgit,304800,03039602280
عائشہ احمد,S/O Naveed Bhatti,3520246776934,PES-6673-N,2009,Suzuki,Cultus,1000,KPK,Mardan,101000,
Usman Gilani,S/O Hashmi Rizvi,4210188331501,KHI-4248-W,2015,Honda,BR-V,1500,Sindh,Sukkur,229500,03136958120
Tariq Akhtar,S/O Hashmi Tarar,6110145041546,MZD-6070-C,2015,Hyundai,Tucson,660,Punjab,Bahawalpur,256080,03015413737
Shoaib Bukhari,S/O Fatima Raza,6110147862845,ISB-6904-Q,2017,Suzuki,Bolan,1300,ICT,Islamabad,473200,03135927097
Tariq Virk,S/O Asif Gujjar,2130144284295,MZD-7795-C,2016,Kia,Carnival,1300,Azad Kashmir,Mirpur,170300,03339450935
Zubair Chaudhry,S/O Bushra Abbasi,4210142663225,GIL-7689-Y,2011,Toyota,Corolla,1000,Sindh,Mirpurkhas,240000,03458884060
Khalid Ali,S/O عائشہ احمد,2130185271113,MZD-8858-W,2008,Suzuki,Jimny,1200,Azad Kashmir,Muzaffarabad,290400,
M. Chattha,S/O Khalid Karim,3520280204127,PES-9378-V,2010,Kia,Sportage,1600,KPK,Abbottabad,452800,03324840865
Ibrahimm Latif,S/O S/O Sidra Khan,5400090940285,KHI-7074-T,2009,Honda,HR-V,2500,Sindh,Hyderabad,582500,03122710400
Kamran Rafiq,S/O Syed Ali,2130114158463,GIL-5038-L,2009,Suzuki,Wagon R,800,Gilgit-Baltistan,Gilgit,,03455163555
Tariq Virk,S/O Raja Aslam,1330252182929,KHI-821-S,2005,Suzuki,Alto,1200,Sindh,Karachi,430800,03469384022
Baig Qureshi,S/O Ibrahim Abbasi,2130142491477,KHI-4550-M,2005,Honda,Civic,1800,Sindh,Karachi,581400,03135280671
Imran Khan,S/O Tahir Iqbal,1330258755939,LHR-8257-P,2015,Honda,Civic,2500,Punjab,Rawalpindi,507500,03213243689
Kashif Abbasi,S/O Faisal Bhatti,42101-5212123-9,KHI-469-N,2010,Hyundai,Sonata,1500,Sindh,Larkana,439500,03332182736
Ali Latif,S/O Kamran Naqvi,5400067394273,ISB-306-G,2015,Toyota,Yaris,660,ICT,Islamabad,164340,03128321870
Kamran Karim,S/O Sajid Rana,5400070281758,GIL-3321-D,2014,Suzuki,Wagon R,1300,Gilgit-Baltistan,Gilgit,182000,03227217678
Shazia Zaidi,S/O S/O Tahir Raza,6110187535769,ISB-849-G,2014,Hyundai,Sonata,3000,ICT,Islamabad,588000,03323436404
Rukhsar Rizvi,S/O Fatima Zaidi,1330293602414,KHI-6782-Q,2008,Honda,City,3000,Sindh,Larkana,1140000,03128865117
Hussain Buhari,S/O Mehwish Raja,2130121986073,LHR-8481-L,2011,Audi,A6,2500,Punjab,Rawalpindi,565000,03122739273
Ali Khan,S/O Noor Syed,4210182020293,LHR-9622-O,2013,Suzuki,Cultus,1000,Punjab,Sargodha,269000,03038018607
صنا ملک,S/O Asma Chattha,3520282421528,GIL-6850-L,2011,Suzuki,Alto,2500,Gilgit-Baltistan,Gilgit,987500,03016717009
Raja Bukhari,S/O Iqra Tarar,6110159699842,GIL-9092-E,2013,Mercedes,S-Class,2000,Gilgit-Baltistan,Gilgit,630000,03324454281
عمر شیخ,S/O Shazia Rizvi,4210153653945,PES-1712-I,2011,Toyota,Land Cruiser,800,Balochistan,Gwadar,240000,
Qureshi Raja,S/O Usman Qureshi,2130142045015,ISB-1301-D,2012,Mercedes,GLC,3000,ICT,Islamabad,759000,03327027401
Muhammad Chaudhry,S/O Bilal Nawaz,5400033285548,KHI-2146-T,2019,Suzuki,Bolan,2500,Sindh,Nawabshah,725000,03005293691
Asma Bukhari,,4400046086363,LHR-9030-F,2021,Suzuki,Cultus,1000,Punjab,Sargodha,396000,03462263045
Aamir Hameed,S/O Amna Rizvi,3520254042224,MZD-7880-I,2021,Hyundai,Santa Fe,1300,Azad Kashmir,Mirpur,291200,03015067493
Sidra Raja,S/O Tariq Ahmed,4210133923564,QTA-5709-O,2005,Toyota,Fortuner,3000,Balochistan,Turbat,1041000,03337775286
C. Gondal,S/O Ahmed Akhtar,,GIL-5626-K,2005,Honda,City,660,Gilgit-Baltistan,Skardu,225720,03019939908
Amna Raja,S/O Tahir Bukhari,4210181073421,PES-3784-O,2013,Suzuki,Cultus,800,KPK,Bannu,150400,03461902591
S. Naqvi,S/O Baig Gujjar,3520243705679,PES-1396-N,2006,Hyundai,Santa Fe,1200,KPK,Abbottabad,444000,03462353795
Ruksar Mirza,S/O مریم چودھری,1330244233057,PES-488-B,2013,Kia,Stonic,800,KPK,Mardan,112800,03004874298
Hashmi Abbasi,S/O Noor Latif,5400054812923,PES-3920-S,2005,Kia,Carnival,800,KPK,Mingora,194400,03017440597
Asif Hussain,S/O Hashmi Akhtar,,PES-113-V,2014,Kia,Stonic,3000,KPK,Mardan,567000,03219453211
Shazia Qureshi,S/O Shoaib Tarar,2130149022357,KHI-3573-J,2016,Suzuki,Cultus,1500,Sindh,Nawabshah,223500,03327855263
Faisal Gujjar,S/O Shazia Tarar,6110137690253,PES-7420-K,2023,Suzuki,Wagon R,1800,KPK,Mingora,477000,03017848842
Sajid Hussain,S/O Imran Karim,3520285955713,QTA-9420-S,2012,Toyota,Hilux,2500,Balochistan,Hub,720000,
