Name,Father_Name,CNIC,Annual_Recharge_Amount,Phone_Number,City,Province
Baig Sandhu,S/O Bushra Butt,4400028079657,19144,03451791753,Islamabad,ICT
Ayesha Baig,S/O Mehwish Virk,6110194099335,33024,03459158850,Bannu,KPK
Naeem Hussain,S/O Fatima Baig,4210156072282,52218,03451938867,Islamabad,ICT
Ahmed Rizvi,S/O Nadia Abbasi,2130193143646,178139,03005662942,Islamabad,ICT
Sana Karim,S/O Faisal Jafri,1330214202074,25561,03127788478,Gwadar,Balochistan
Sajid Hameed,S/O Qureshi Raza,5400027838897,4777,03228084267,Rawalpindi,Punjab
Adnan Iqbal,S/O Imran Tarar,4400054209593,50501,03137681365,Mirpur,Azad Kashmir
Nadia Abbasi,S/O Sobia Chaudhry,4210155728843,30789,,Skardu,Gilgit-Baltistan
Faisal Ahmed,S/O Iqra Chattha,2130143153428,16458,03211185477,Gilgit,Gilgit-Baltistan
Hussain Hashmi,S/O Ali Chaudhry,1330289961974,44754,,Mirpur,Azad Kashmir
Aamir Jafri,S/O Ali Zaidi,6110132883289,14261,03338244209,Islamabad,ICT
Rukhsar Latif,S/O محمد احمد,4400080045797,47897,03003254503,Khuzdar,Balochistan
Sheikh Ansari,S/O Bilal Ali,4210143298661,23325,,Chilas,Gilgit-Baltistan
Hussain Akhtar,S/O Malik Ali,3520271106594,28838,03118611432,Sialkot,Punjab
Ayesha Abbasi,S/O Maryam Gilani,4400087424148,94497,03224293573,Karachi,Sindh
Muhammad Qureshi,S/O Muhammad Gondal,4400079458439,22586,03012482875,Khuzdar,Balochistan
Omar Hashmi,S/O Malik Raza,4400055985468,11214,03015182250,Chilas,Gilgit-Baltistan
Arif Abbasi,S/O Aamir Mirza,,18128,03325613705,Chilas,Gilgit-Baltistan
Tariq Aslam,S/O Imran Ahmed,5400086018895,85258,03458058810,Rawalakot,Azad Kashmir
Faisal Baig,S/O Shazia Zaidi,1330282644846,117770,03011488037,Mirpur,Azad Kashmir
,S/O عمر شیخ,3520237097967,141206,03326944494,Muzaffarabad,Azad Kashmir
Chaudhry Rana,S/O Muhammad Ansari,4210171065481,122474,03455328985,Muzaffarabad,Azad Kashmir
Mirza Ansari,S/O Sidra Qureshi,2130114265428,7388,03131825678,Mirpurkhas,Sindh
Asma Malik,S/O Khalid Bukhari,2130151792674,10471,03454125710,Faisalabad,Punjab
Zubair Gondal,S/O Aamir Gujjar,5400063666768,27988,03122160826,Gilgit,Gilgit-Baltistan
Ayesha Raja,S/O Mohammad Abbasi,3520273506488,52562,03313699257,Mirpur,Azad Kashmir
Mehwish Hameed,S/O Uzma Gondal,3520246303848,11717,03226048402,Muzaffarabad,Azad Kashmir
Salman Qureshi,S/O Hashmi Tarar,6110195038597,38637,03012055508,Mirpur,Azad Kashmir
Khalid Naqvi,S/O Ibrahim Syed,1330247934941,41759,03339207371,Turbat,Balochistan
Noor Qureshi,S/O Shazia Syed,6110111905306,33184,03009700499,Hyderabad,Sindh
Noor Chattha,S/O Fatima Iqbal,2130122739834,37657,03327788683,Muzaffarabad,Azad Kashmir
Zainab Aslam,S/O Mirza Naqvi,2130163435753,301849,03117427269,Faisalabad,Punjab
Kashif Cheema,S/O Uzma Raza,3520218825835,13151,03219108018,Khuzdar,Balochistan
Sana Ahmed,S/O Sana Rizvi,5400049482712,190853,03017627705,Islamabad,ICT
Asma Chaudhry,S/O Nadia Gilani,3520212273651,1766,03113393028,Islamabad,ICT
Sobia Raza,S/O Uzma Nawaz,1330255322071,49249,03331008138,Islamabad,ICT
Shazia Akhtar,S/O Faisal Rafiq,5400081184199,,03314730791,Muzaffarabad,Azad Kashmir
AamirMalik,S/O Maryam Jafri,2130122592207,19116,03222423423,Gilgit,Gilgit-Baltistan
Chaudhry Khan,S/O Uzma Jafri,4210134849295,33636,03113625954,Larkana,Sindh
Tariq Baig,S/O Shoaib Bukhari,4210137823939,173926,03313452813,Mardan,KPK
,S/O Naeem Gilani,1330222178486,50154,03456055825,Islamabad,ICT
Asif Gujjar,S/O Salman Chaudhry,6110153158357,27987,03316619686,Karachi,Sindh
Kamran Gujjar,S/O Noor Jafri,1330269549593,99160,03037184221,Quetta,Balochistan
Hamid Sandhu,S/O Hamid Raja,6110126202759,37838,03027032310,Skardu,Gilgit-Baltistan
Blial Rafiq,S/O Qureshi Jafri,1330269371438,20739,03122912833,Abbottabad,KPK
Syed Zaidi,S/O Asma Hameed,2130134636109,5836,03018734530,Islamabad,ICT
Iqra Gondal,S/O احمد خان,5400042136345,6203,03002655671,Abbottabad,KPK
Rabia Bkhari,S/O Faisal Jafri,1330255881107,29407,03006135826,Turbat,Balochistan
Shoab Khan,S/O Sidra Karim,,2525,03135959837,Mirpurkhas,Sindh
Fatima Zaidi,S/O Muhammad Gujjar,5400017409122,23174,03458675783,Karachi,Sindh
Aamir Raja,S/O Shazia Syed,6110181205872,17684,03326245733,Chilas,Gilgit-Baltistan
Naveed Raza,S/O Fatima Bukhari,6110171362728,54243,03228700519,Karachi,Sindh
Sobia Hussain,S/O Sajid Khan,2130173332607,52179,03324574965,Gwadar,Balochistan
Naveed Karim,S/O Ibrahim Ahmed,4400054005346,18306,03457224807,Islamabad,ICT
Syed Gondal,S/O محمد حسن,1330223365259,100486,03115991994,Bahawalpur,Punjab
نادیہ رضا,S/O Hassan Hameed,4400074962591,86609,03139459049,Chilas,Gilgit-Baltistan
Waseem Raza,S/O Ahmed Gujjar,2130186977389,4459,,Mirpur,Azad Kashmir
Chaudhry Abbasi,S/O Rabia Hussain,6110126915064,404577,03331579971,Skardu,Gilgit-Baltistan
Rabia Gujjar,S/O Rabia Rafiq,1330226198443,47752,03027324287,Muzaffarabad,Azad Kashmir
Mohammad Bhatti,S/O Sana Ahmed,3520219863688,41221,03329012615,Faisalabad,Punjab
Salman Syed,S/O Naeem Hameed,1330298420787,5552,03017090431,Rawalakot,Azad Kashmir
Hassan Iqbal,S/O Bilal Nawaz,5400023758976,44850,03463734765,Mirpurkhas,Sindh
Muhammad Rizvi,S/O Sheikh Ahmed,3520294235158,7591,03033634529,Mingora,KPK
Rabia Gilani,S/O Noor Syed,1330242845605,29600,03466693407,Islamabad,ICT
Zubair Butt,S/O Bushra Hashmi,3520258806711,76230,03031904575,Islamabad,ICT
عمر شیخ,S/O Hassan Iqbal,2130174128624,33356,03338530043,Larkana,Sindh
Waseem Qureshi,S/O Shazia Rana,2130172669206,34910,03026897923,Larkana,Sindh
Sajid Rana,S/O Ahmed Rafiq,4210175679255,54652,03212004893,Khuzdar,Balochistan
Rabia Ahktar,S/O Salman Sheikh,5400057071498,140533,03335353521,Sargodha,Punjab
Noor Baig,S/O مریم چودھری,4210134803829,7054,03314737912,Muzaffarabad,Azad Kashmir
Saira Baig,,4210130302251,59744,03324297008,Hub,Balochistan
Hashmi Cheema,S/O Sobia Gujjar,4400048131471,35611,03117550091,Rawalpindi,Punjab
Naeem Chattha,S/O Iqra Chattha,1330246229932,38426,03029531555,Islamabad,ICT
Sidra Tarar,S/O عمر شیخ,6110130269242,29522,03037908592,Islamabad,ICT
محمد حسن,S/O Bilal Nawaz,3520292924161,122636,03227003135,Bannu,KPK
Hamid Zaidi,S/O Raja Gondal,5400051965644,604,03128186377,Mingora,KPK
Amna Gilani,S/O Maryam Rafiq,4210169109644,3019,03323294774,Karachi,Sindh
Mirza Gilani,S/O Bilal Iqbal,6110145125082,184572,03116165698,Skardu,Gilgit-Baltistan
Bushra Nawaz,S/O Khalid Mirza,2130183126273,11203,03224041965,Turbat,Balochistan
Nadia Cheema,,2130136300831,32238,03036114979,Hyderabad,Sindh
Hina Latif,S/O Zubair Akhtar,5400015712054,152746,03226257967,Karachi,Sindh
Asma Mirza,S/O S/O Muhammad Rana,5400043041416,2475,03034397889,Khuzdar,Balochistan
Hina Malik,S/O Arif Chattha,1330252145848,10169,03338204386,Hub,Balochistan
Waseem Raza,S/O Baig Tarar,1330223506215,37073,03117096313,Hub,Balochistan
Zainab Latif,S/O Naeem Mirza,5400083405371,41528,03032233396,Quetta,Balochistan
Naveed Butt,S/O Uzma Gujjar,4210168426241,,03119579549,Karachi,Sindh
Bilal Ansari,S/O Saira Gilani,13302-5029961-8,34289,03013955611,Rawalakot,Azad Kashmir
Asif Chattha,S/O Tahir Akhtar,2130157288126,12883,03463723418,Islamabad,ICT
Bushra Ahmed,S/O Chaudhry Virk,1330281344654,34526,03469794036,Bannu,KPK
Adnan Sheikh,S/O Iqra Aslam,2130194242306,29151,03137564279,Islamabad,ICT
Salman Rafiq,S/O Asma Baig,1330297544804,41759,03323410015,Sialkot,Punjab
Tahir Butt,S/O Imran Karim,3520277693999,13437,03009067917,Rawalpindi,Punjab
Uzma Ansari,S/O Mirza Bhatti,2130131998284,14314,03136846155,Hub,Balochistan
Naveed Jafri,S/O Zubair Rizvi,2130175199775,12190,03215730805,Islamabad,ICT
Shazia Nawaz,S/O Saira Bukhari,1330278317479,12934,03036420320,Islamabad,ICT
Zubair Hameed,S/O Khalid Sheikh,5400070058858,66747,03127275416,Islamabad,ICT
,S/O Sidra Qureshi,4210135862128,5099,03038385078,Muzaffarabad,Azad Kashmir
Hina Hashmi,S/O Ahmed Virk,1330275420155,15393,03114729429,Abbottabad,KPK
Sallman Ahmed,S/O Kamran Ahmed,4400096941843,41355,03115456861,Khuzdar,Balochistan
Zainab Virk,S/O Naeem Gujjar,35202-7024579-2,196100,03222311290,Islamabad,ICT
Bushra Hameed,S/O Mohammad Virk,1330223815603,8147,03222120379,Kohat,KPK
Imran Cheema,S/O Zubair Naqvi,6110192410818,66042,03327980598,Islamabad,ICT
Kashif Qureshi,S/O Hussain Aslam,2130189364051,6540,03317739741,Bannu,KPK
Usman Gilani,S/O Ahmed Akhtar,2130178031556,52133,03014918712,Abbottabad,KPK
Zubair Syed,S/O Faisal Raja,6110131234103,104782,03133141011,Multan,Punjab
Shoaib Rafiq,S/O Kashif Abbasi,5400019566374,5449,03464641837,Hub,Balochistan
Shazia Chaudhry,S/O Ahmed Raja,6110187590604,51087,03323842390,Rawalakot,Azad Kashmir
Zainab Latif,S/O Ayesha Mirza,1330214513916,66059,03211016421,Turbat,Balochistan
,S/O Mohammad Latif,4210189972453,40098,03339172237,Mingora,KPK
Ali Hameed,S/O Mehwish Butt,2130110971583,116695,03458277586,Mirpur,Azad Kashmir
Bilal Butt,S/O Hussain Syed,6110177864165,90019,03227441237,Sukkur,Sindh
Waseem Rizvi,S/O Raja Virk,4210162184792,67929,03005597456,Mirpur,Azad Kashmir
Hassan Tarar,S/O زینب علی,4400043935889,7212,03035348266,Turbat,Balochistan
Bilal Akhtar,S/O Fatima Tarar,4400093855126,22013,03219103333,Hub,Balochistan
Arif Qureshi,S/O مریم چودھری,3520237958463,3217,03008962478,Peshawar,KPK
Imran Ansari,S/O Adnan Ali,4400012236606,62450,03036870916,Turbat,Balochistan
Zainab Gondal,S/O Imran Bhatti,5400061018037,4057,03218344375,Bahawalpur,Punjab
Naeem Gujjar,S/O Fatima Karim,6110135570394,3289,03465122665,Sukkur,Sindh
Muhammad Syed,S/O Raja Bhatti,4400091312714,186680,03458002064,Muzaffarabad,Azad Kashmir
Arif Haameed,S/O Amna Latif,1330252330545,14819,03124055213,Muzaffarabad,Azad Kashmir
Omar Hameed,S/O Amna Hussain,1330270990307,28903,03224601894,Sukkur,Sindh
Nadia Butt,S/O Omar Mirza,4400011315677,7566,03001673289,Islamabad,ICT
Hassna Ansari,S/O Faisal Sheikh,4210160349834,119429,03223387175,Hub,Balochistan
عائشہ احمد,S/O Khalid Gilani,2130183550157,17068,03029427442,Sargodha,Punjab
Zubair Gujjar,S/O Rabia Khan,2130119614234,48506,03113901538,Quetta,Balochistan
Sana Bukhari,S/O Salman Sandhu,6110174897724,3930,03008462069,Hyderabad,Sindh
Ibrahim  Syed,S/O Sobia Ansari,3520256472583,33519,03338363632,Turbat,Balochistan
Rabia Naqvi,S/O Hussain Chaudhry,4210195714508,28267,03453774103,Islamabad,ICT
Sara Raza,S/O Raja Aslam,2130161273588,13851,03322075486,Larkana,Sindh
Kamran Ahmed,S/O Bilal Bhatti,4210174377373,14781,03215512879,Sukkur,Sindh
Kashif Khan,S/O Ayesha Ansari,4400057621922,38646,03451481200,Skardu,Gilgit-Baltistan
Ibrahim Rizvi,S/O Naeem Chattha,3520229867861,12739,03213461797,Islamabad,ICT
Sidra Qureshi,S/O Hamid Aslam,1330273901624,42296,03211163448,Gwadar,Balochistan
Shoaib Akhtar,S/O Aamir Naqvi,6110193762309,59703,03457014194,Turbat,Balochistan
Shoaib Gujjar,S/O Kashif Abbasi,1330216314802,18467,03213604390,Sukkur,Sindh
Mehwish Raja,S/O Iqra Cheema,4400065467444,12316,03013386328,Mirpurkhas,Sindh
Sajid Butt,S/O Bilal Gilani,6110141398969,23739,03316756203,Muzaffarabad,Azad Kashmir
Fatima Ansari,S/O Waseem Raza,5400042817975,12151,03021986859,Bahawalpur,Punjab
Omar Rana,,6110138207982,485932,03224253164,Bahawalpur,Punjab
Kashif MMalik,S/O عمر شیخ,3520267732308,66271,03316689087,Skardu,Gilgit-Baltistan
Ali Cheema,S/O Zubair Butt,3520220045125,14043,03012753911,Nawabshah,Sindh
Saira Zaidi,S/O Omar Zaidi,5400031882401,108133,03004032504,Khuzdar,Balochistan
Hami dMalik,S/O Hamid Sheikh,5400099398315,333249,03038681853,Gwadar,Balochistan
Ali Latif,S/O Kamran Naqvi,5400067394273,122110,03128321870,Islamabad,ICT
Uzma Ansari,S/O Omar Tarar,2130136053086,35052,03465295287,Hyderabad,Sindh
Rabia Baig,S/O Uzma Chaudhry,2130158021158,63561,03339007383,Nawabshah,Sindh
Rabia Rizvi,S/O Hussain Hashmi,3520252573956,24522,03456139248,Islamabad,ICT
Waseem Jafri,S/O Mehwish Iqbal,1330287432981,5885,03452418894,Mirpur,Azad Kashmir
Rukhsar Rana,S/O Asif Karim,4400037914725,5277,03033341247,Peshawar,KPK
Fatima Chaudhry,S/O Imran Bhatti,6110140448827,70962,03216837817,Khuzdar,Balochistan
Chaudhry Raja,S/O Tahir Naqvi,2130191234087,20735,03321668899,Gilgit,Gilgit-Baltistan
Aamir Nawaz,S/O Sidra Qureshi,4210135862128,11665,03038385078,Muzaffarabad,Azad Kashmir
Mohammad Zaidi,S/O Zubair Raza,5400021386163,5356,03127972504,Mirpurkhas,Sindh
Uzma Syed,S/O Waseem Rafiq,5400027030454,151973,03117824064,Islamabad,ICT
Hashmi Nawaz,S/O Ahmed Akhtar,4400075438424,76553,03453645235,Hub,Balochistan
Raja Bhatti,S/O Khalid Sheikh,,20333,03031033035,Skardu,Gilgit-Baltistan
,S/O Bushra Ali,4210122801314,5427,03031664470,Bannu,KPK
Sana Rafiq,S/O Noor Bhatti,3520255839589,23431,03213780266,Mirpur,Azad Kashmir
Naeem Jafri,S/O Ayesha Rana,2130127015829,13745,03124382736,Mirpurkhas,Sindh
Sana Nawaz,S/O Qureshi Chaudhry,2130192056825,744414,03027224691,Gwadar,Balochistan
Ibrahim Bukhari,S/O Arif Hussain,,65999,03036772586,Muzaffarabad,Azad Kashmir
Asif Tarar,S/O Rukhsar Latif,3520255073637,2908,03331814147,Islamabad,ICT
Hassan Virk,S/O Bushra Qureshi,4400080786501,97759,03458676567,Hub,Balochistan
Syed Aslam,S/O Asif Butt,4210199737168,10685,03329253428,Islamabad,ICT
ابراہیم ملک,S/O Sheikh Khan,4210150322516,23404,03221788007,Gilgit,Gilgit-Baltistan
Arif Virk,S/O Rukhsar Karim,,51438,,Bahawalpur,Punjab
Hina Khan,S/O Zubair Nawaz,3520287344676,10988,03229606018,Skardu,Gilgit-Baltistan
Zainab Gondal,S/O Sheikh Virk,6110113599087,39266,03126756902,Islamabad,ICT
عمر شیخ,,4400040030064,54342,03012942882,Khuzdar,Balochistan
Maryam Sheikh,S/O Sajid Gujjar,4210178352434,24938,03339762763,Khuzdar,Balochistan
Iqra Naqvi,S/O Tariq Butt,1330286326705,1063,03334074873,Karachi,Sindh
Zainab Iqbal,S/O Asma Rizvi,4210170306806,22607,03213491564,Islamabad,ICT
Sidra Hussain,S/O S/O Chaudhry Hashmi,1330224254794,30878,03116565947,Larkana,Sindh
Kashif Nawaz,S/O زینب علی,2130120617263,36560,03001623460,Khuzdar,Balochistan
Raja Zaidi,S/O Zubair Zaidi,4400028841089,119919,03466804317,Skardu,Gilgit-Baltistan
Bushra Ahmed,S/O Rizwan Bukhari,,7041,03467229533,Bannu,KPK
Muhammad Rana,S/O Qureshi Hashmi,3520281554628,137244,03317860175,Rawalpindi,Punjab
Ali Rizvi,S/O Iqra Gujjar,4210114583601,20619,03336254291,Rawalakot,Azad Kashmir
Amna Gujjar,S/O Naeem Gondal,44000-7722781-5,303151,03034220810,Chilas,Gilgit-Baltistan
Iqra Raja,S/O Hina Rizvi,2130178483236,58759,03139150736,Khuzdar,Balochistan
علی حسین,S/O Iqra Hashmi,4400096538526,41562,03321428396,Bannu,KPK
صنا ملک,,4400095364502,35741,03005163789,Islamabad,ICT
Mirza Qureshi,S/O Rizwan Qureshi,2130127862769,102928,03325695265,Faisalabad,Punjab
Malik nAsari,S/O Arif Khan,1330293219569,84200,03322343481,Hyderabad,Sindh
Tahir Malik,S/O Shazia Mirza,2130117998242,12592,03312812492,Muzaffarabad,Azad Kashmir
Amna Ali,S/O Fatima Abbasi,2130199243478,21269,03131149424,Islamabad,ICT
Bushra Chaudhry,S/O Naeem Ahmed,2130123606721,6722,03465069781,Gilgit,Gilgit-Baltistan
Fatima Chaudhry,S/O Kamran Nawaz,1330229274283,68046,03038368398,Quetta,Balochistan
Sobia Mirza,S/O S/O Zainab Cheema,1330244458096,3833,,Mirpurkhas,Sindh
Hinna Malik,S/O Hussain Sheikh,4400042293002,,03314248312,Rawalakot,Azad Kashmir
Raaja Gondal,S/O S/O Sidra Gujjar,1330229774535,1720,03134648426,Mingora,KPK
Salman Malik,S/O Sidra Iqbal,4400097901752,3148,03031632630,Hyderabad,Sindh
Chaudhry Tarar,S/O Kamran Baig,5400061005713,48455,03462948559,Chilas,Gilgit-Baltistan
Rizwan Akhtar,,2130173383936,4799,03001472228,Chilas,Gilgit-Baltistan
Hina Hashmi,S/O Sobia Syed,6110156816088,85609,03458676557,Chilas,Gilgit-Baltistan
Naeem Hameed,S/O Hina Nawaz,6110140334334,145768,03011229433,Sargodha,Punjab
Chaudhry Rana,S/O Muhammad Ansari,4210171065481,49051,03455328985,Muzaffarabad,Azad Kashmir
Ibrahi mHameed,S/O Kamran Hashmi,4400057701017,5351,03333811508,Multan,Punjab
Nadia Virk,S/O Khalid Rizvi,3520257729326,8170,03332769249,Muzaffarabad,Azad Kashmir
Amna Virk,S/O زینب علی,2130158918205,4968,03025154550,Bahawalpur,Punjab
Malik Latif,S/O Zubair Syed,4210184524175,5946,03039959220,Mirpur,Azad Kashmir
Khalid Malik,S/O Shoaib Hashmi,4210152944344,,03029289908,Bahawalpur,Punjab
Shoaib Jafri,S/O Asma Ansari,4400089234321,15030,03455722122,Sialkot,Punjab
Baig Sheikh,S/O Rizwan Iqbal,3520234469953,6448,03113148764,Bannu,KPK
Hassan Syed,,1330255203707,,03007736333,Islamabad,ICT
Hina Sheikh,S/O Faisal Rana,4210199218843,6278,03136307288,Mirpur,Azad Kashmir
Sheikh Ansari,S/O Mohammad Raja,4400027203202,181293,03466165319,Skardu,Gilgit-Baltistan
Aamir  Butt,S/O Waseem Naqvi,6110181529949,6054,03315923181,Gujranwala,Punjab
Nadia Baig,S/O Sidra Rafiq,5400074508669,23828,03038614959,Gilgit,Gilgit-Baltistan
Hussain Sheikh,S/O Waseem Chaudhry,1330296907368,43749,03112795982,Larkana,Sindh
Rukhsar Ali,S/O Sana Syed,4400052732786,50016,03029593658,Mardan,KPK
Rizwan Bukhari,S/O Rizwan Sheikh,5400042706029,47418,03457308382,Quetta,Balochistan
Hasssan Bhatti,S/O Asif Karim,,53355,03127769150,Chilas,Gilgit-Baltistan
Hassan Virk,S/O Mohammad Mirza,,11645,03131606142,Turbat,Balochistan
Rizwan Rafiq,S/O Usman Bukhari,4210167875921,8725,03012947320,Chilas,Gilgit-Baltistan
Rukhsar Qureshi,S/O Maryam Sandhu,5400049292821,,03324109369,Mirpurkhas,Sindh
Omar Chaudhry,S/O Faisal Tarar,4400046377152,41036,03463179482,Chilas,Gilgit-Baltistan
Bilal Raja,S/O محمد احمد,4210159964908,4672,03459327907,Gilgit,Gilgit-Baltistan
مریم چودھری,S/O Asif Naqvi,1330298180907,14488,03018628687,Rawalakot,Azad Kashmir
Amna Khan,S/O Asif Rizvi,1330267949502,7844,03015565163,Karachi,Sindh
Rukhsar Iqbal,S/O علی حسین,4210187681381,76978,03025620186,Bahawalpur,Punjab
Mehwish Cheema,S/O Sana Khan,6110110658789,46541,03453152969,Mirpur,Azad Kashmir
Saira Abbasi,S/O Khalid Bhatti,2130152580236,6280,03337714470,Turbat,Balochistan
,S/O Zainab Raza,,54562,03465449947,Sukkur,Sindh
Rukhsar Sandhu,S/O Qureshi Gondal,1330224040574,127652,03319605960,Islamabad,ICT
Tariq Cheemma,S/O Omar Cheema,6110153260482,23518,03459371812,Rawalpindi,Punjab
Bilal Syed,S/O Amna Bhatti,4400013926467,2562,03213422826,Mirpurkhas,Sindh
Ayesha Abbasi,S/O Salman Rana,4210185430596,46571,,Multan,Punjab
Adnan Baig,S/O Adnan Hashmi,2130185573866,8016,03328091418,Abbottabad,KPK
Sobia Butt,S/O Qureshi Rana,6110113113942,73503,03217741889,Islamabad,ICT
Rabia Hashmi,S/O Maryam Cheema,4400032676009,11397,03313085954,Hyderabad,Sindh
Malik Gujjar,S/O Saira Bukhari,4400054374551,51392,03136905117,Khuzdar,Balochistan
Noor Aslam,S/O Tahir Gujjar,4210115055952,,03033079835,Khuzdar,Balochistan
Fatima Rafiq,S/O Shazia Ali,2130186796474,132842,03212570688,Mirpur,Azad Kashmir
Hssan Nawaz,S/O Sana Nawaz,4400016921689,11555,03213391341,Karachi,Sindh
Mirza Raja,S/O Zubair Baig,21301-4253616-1,83585,03456367494,Gilgit,Gilgit-Baltistan
Syed Mirza,S/O Rizwan Zaidi,4400021507452,124550,03461055838,Karachi,Sindh
Kashif Malik,S/O Raja Bukhari,2130186501854,2721,03112047979,Mingora,KPK
Asma Rana,S/O Asma Chattha,1330228693119,10933,03135474855,Islamabad,ICT
Syed Sandhu,S/O Noor Baig,3520214115307,,03454744008,Hub,Balochistan
Rabia Iqbal,S/O Hassan Rana,6110138987946,154853,03457940333,Muzaffarabad,Azad Kashmir
Mehwish Iqbal,S/O Ahmed Hashmi,1330296938237,8081,03037118669,Chilas,Gilgit-Baltistan
Imran Cheema,S/O Noor Tarar,6110154722858,18333,03026223811,Mardan,KPK
Bushra Nawaz,S/O Imran Ali,1330243048912,29477,03223039412,Chilas,Gilgit-Baltistan
Hamid Aslam,S/O Naveed Mirza,5400096342004,27950,03322383944,Sukkur,Sindh
Rizwan Aslam,S/O Malik Chattha,4400092165212,21344,03453655627,Islamabad,ICT
Sana Hameed,S/O Adnan Butt,3520281154286,3132,03459513459,Gwadar,Balochistan
Salman Tarar,S/O Hashmi Butt,2130122394258,70839,03005655586,Mirpur,Azad Kashmir
Muhammad Cheema,S/O Ahmed Syed,4400022459971,36655,03134899295,Mirpur,Azad Kashmir
Baig Mirza,S/O Waseem Aslam,4400046038817,13912,03224943509,Sukkur,Sindh
Saira Ahmed,S/O Tahir Butt,5400052452725,120689,03468898869,Muzaffarabad,Azad Kashmir
Sidra Gujjar,S/O Bilal Rizvi,4210160390138,9882,03134839815,Larkana,Sindh
Zubair Iqbal,S/O Amna Zaidi,3520292853203,6058,03029708891,Islamabad,ICT
Hussain Malik,S/O Adnan Iqbal,4210136019445,10503,03035370628,Multan,Punjab
Hina Karim,S/O Sajid Malik,4210180826682,12895,03225218028,Gilgit,Gilgit-Baltistan
Nadia Raja,S/O Sidra Sandhu,4400086001856,4630,03001241214,Faisalabad,Punjab
Usman Gilani,S/O Hashmi Rizvi,4210188331501,21777,03136958120,Sukkur,Sindh
Noor Rizvi,S/O Shoaib Malik,6110137624873,122497,03129705660,Abbottabad,KPK
Shazia Qureshi,S/O Rabia Virk,4210157360173,162384,03018853827,Rawalakot,Azad Kashmir
Adnan Hussain,S/O Aamir Malik,5400085609772,6946,03331928161,Islamabad,ICT
Zubair Bukhari,S/O Imran Raza,5400019664216,207313,03114394146,Muzaffarabad,Azad Kashmir
Salman Naqvi,S/O Mirza Tarar,5400072221673,21129,03457606979,Turbat,Balochistan
Kamran Rizvi,S/O Amna Virk,1330242520173,22834,03121440659,Hyderabad,Sindh
Naveed Baig,S/O Asma Khan,4210161789367,111701,,Bannu,KPK
Baig Gujjar,S/O Sidra Bhatti,5400084274536,17818,03023348542,Hub,Balochistan
Adnan Chaudhry,S/O Qureshi Zaidi,6110170834307,10110,03335505483,Islamabad,ICT
Qureshi Gilani,S/O Muhammad Cheema,2130137704892,33403,03339756449,Hub,Balochistan
,,4210182112704,101061,03455556308,Skardu,Gilgit-Baltistan
Qureshi Mirza,S/O Maryam Rana,4210159830866,32415,03319736208,Hub,Balochistan
Bushra Cheema,S/O Qureshi Virk,1330287285025,15397,03002886239,Gwadar,Balochistan
Khalid Latif,S/O Shazia Bukhari,4210123016651,,03123985341,Gujranwala,Punjab
Naeem Cheema,S/O S/O Ayesha Bhatti,1330228351258,8247,03463622462,Chilas,Gilgit-Baltistan
عائشہ احمد,S/O Nadia Raja,5400030857249,23826,03454006460,Islamabad,ICT
Sajid Aslam,S/O نادیہ رضا,5400069496948,48248,03319651607,Skardu,Gilgit-Baltistan
Bilal Qureshi,S/O Qureshi Gujjar,5400042620817,39052,03321093026,Skardu,Gilgit-Baltistan
Chaudhry Tarar,S/O Kamran Baig,5400061005713,49185,03462948559,Chilas,Gilgit-Baltistan
Sana Iqbal,S/O Nadia Rana,3520278389269,28658,03019849012,Rawalakot,Azad Kashmir
Qureshi Mirza,S/O Qureshi Akhtar,4210160409931,87683,03128653296,Kohat,KPK
نادیہ رضا,S/O Asif Hameed,1330285725457,53237,03223791487,Chilas,Gilgit-Baltistan
Zubair Aslaam,S/O Tahir Iqbal,5400094927811,25031,03034649622,Turbat,Balochistan
Arif Gondal,S/O Kamran Raza,4210163017875,29445,03034062757,Rawalpindi,Punjab
Adnan Hussain,S/O Imran Sheikh,5400068110456,138109,03454674973,Skardu,Gilgit-Baltistan
Uzma Qureshi,S/O Faisal Hameed,6110168532082,353534,03004163608,Muzaffarabad,Azad Kashmir
Arif Gondal,S/O Ahmed Sandhu,1330287557472,167017,03468798939,Mirpurkhas,Sindh
Syed Iqbal,S/O Asif Zaidi,5400099253416,28410,03331237264,Mardan,KPK
Ayesha Baig,S/O Mehwish Virk,6110194099335,15868,03215611260,Bannu,KPK
Kamran Gilani,S/O Fatima Butt,5400047012508,5585,03217674596,Sargodha,Punjab
Zainab Rafiq,S/O Usman Hameed,4210182306368,145541,03011440601,Islamabad,ICT
Uzma Bhatti,S/O Bushra Iqbal,1330234416529,111604,03469591642,Hub,Balochistan
Hina Raza,S/O Mirza Khan,1330226821103,182593,03139201859,Hyderabad,Sindh
فاطمہ خان,S/O Bilal Ali,3520234789958,3031,03457095481,Gilgit,Gilgit-Baltistan
Hassan Gilani,S/O Asma Iqbal,3520275629604,19760,03322432902,Gilgit,Gilgit-Baltistan
Mirza Gujjar,S/O Shoaib Syed,5400055424608,23901,03131326358,Skardu,Gilgit-Baltistan
Mohammad Jafri,S/O Rukhsar Ahmed,5400055518326,27036,03467484783,Hub,Balochistan
,S/O Ayesha Zaidi,2130190420313,77994,03334262883,Rawalpindi,Punjab
Rizwan Syed,S/O Asma Mirza,6110183666838,22456,03038840994,Islamabad,ICT
