Traveler_Name,Father_Name,CNIC,Passport_No,Nationality,Home_City,Travelling_From,Travelling_To,Travel_Date,Visa_Type,Reason_To_Travel
Mohd Bhatti,S/O Sidra Ali,1330264002395,AB5407125,Pakistani,Khuzdar,Pakistan,Turkey,2019-06-04,Student,Medical Treatment
Asif Akhtar,S/O Sheikh Baig,2130142651535,AB2212785,Pakistani,Chilas,Pakistan,USA,2022-10-16,Business,Employment
Muhammad Cheema,S/O Ibrahim Ahmed,5400054374389,AB2709208,Pakistani,Turbat,Pakistan,UAE,2018-07-20,Tourist,Tourism
Mehwish Rana,S/O ابراہیم ملک,5400053457776,AB7136713,Pakistani,Rawalakot,Pakistan,France,2020-11-10,Tourist,Education
Rabia Tarar,S/O Khalid Ahmed,,AB5671858,Pakistani,Peshawar,Pakistan,China,2018-01-08,Visit,Tourism
Aamir Syed,S/O Asif Raza,3520228796357,AB6071408,Pakistani,Multan,Pakistan,UAE,2021-11-28,Tourist,Family Visit
Faisal Bukhari,S/O Syed Sheikh,6110110257839,AB9760112,Pakistani,Rawalakot,Pakistan,Saudi Arabia,2017-02-25,Work,Employment
Shoaib Tarar,S/O Shoaib Jafri,4210145114043,AB8718287,Pakistani,Skardu,Pakistan,Malaysia,2018-03-31,Business,Tourism
Raja Ahmed,S/O Naveed Jafri,6110160674228,AB3933826,Pakistani,Rawalakot,Pakistan,China,2019-11-09,Visit,Employment
Naveed Rafiq,S/O Uzma Tarar,2130141401002,AB3301665,Pakistani,Quetta,Pakistan,UAE,2017-03-04,Work,Employment
Hashmi Abbasi,S/O عائشہ احمد,4210136225118,AB8011618,Pakistani,Islamabad,Pakistan,France,2021-02-09,Business,Business Meeting
Rukhsar Butt,S/O Ayesha Sheikh,5400082193549,AB9517298,Pakistani,Bahawalpur,Pakistan,Saudi Arabia,2020-02-28,Visit,Business Meeting
Malik Syed,S/O Ali Qureshi,1330247846525,AB1867667,Pakistani,Karachi,Pakistan,USA,2017-04-05,Visit,Education
Waseem Virk,S/O Sajid Virk,2130198104423,AB3741214,Pakistani,Karachi,Pakistan,USA,2018-12-27,Business,Tourism
علی حسین,S/O Ali Qureshi,5400018214134,AB3678135,Pakistani,Mirpur,Pakistan,USA,2018-06-22,Visit,Employment
Adnan Sheikh,S/O Rabia Sheikh,4400059370752,AB3154395,Pakistani,Gwadar,Pakistan,France,2015-11-21,Business,Tourism
Shazia Bhatti,S/O Asma Abbasi,6110160069964,AB6887126,Pakistani,Larkana,Pakistan,UAE,2021-12-29,Business,Business Meeting
Raja Hussain,S/O Sobia Ahmed,1330280156062,AB1980616,Pakistani,Karachi,Pakistan,USA,2019-02-07,Business,Family Visit
Zainab Malik,S/O Asif Zaidi,5400063563744,AB9766325,Pakistani,Turbat,Pakistan,China,2015-07-17,Work,Employment
Rizwan Gondal,S/O Hamid Virk,2130181988102,AB4046551,Pakistani,Peshawar,Pakistan,Canada,2023-08-15,Visit,Education
نادیہ رضا,S/O Imran Hussain,1330244879432,AB6320318,Pakistani,Rawalakot,Pakistan,UAE,2021-03-29,Student,Tourism
Noor Gilani,S/O Ayesha Hussain,4400022490328,AB9879674,Pakistani,Abbottabad,Pakistan,Saudi Arabia,2021-06-26,Work,Business Meeting
,S/O Khalid Aslam,4400020283883,AB3831275,Pakistani,Chilas,Pakistan,France,2022-01-09,Tourist,Family Visit
QureshiAkhtar,S/O Asif Hameed,6110142708652,AB5187655,Pakistani,Mingora,Pakistan,Germany,2022-12-17,Visit,Family Visit
Hussain Hashmi,S/O Raja Raza,3520282028986,AB3229895,Pakistani,Islamabad,Pakistan,USA,2023-01-02,Student,Employment
Imran Gilani,S/O Faisal Nawaz,6110139869059,AB4147830,Pakistani,Abbottabad,Pakistan,Germany,2019-03-13,Business,Education
Rizwan Akhtar,S/O Maryam Rafiq,3520271213553,AB8244824,Pakistani,Nawabshah,Pakistan,Turkey,2022-06-02,Work,Education
Hamid Chaudhry,S/O Shazia Cheema,3520238698306,AB4244724,Pakistani,Peshawar,Pakistan,Saudi Arabia,2023-07-29,Business,Medical Treatment
Ayesha Bhatti,S/O احمد خان,4400051591828,AB1549570,Pakistani,Muzaffarabad,Pakistan,Turkey,2016-02-21,Visit,Tourism
Rukhsar Karim,S/O Malik Qureshi,6110154186919,AB2036570,Pakistani,Faisalabad,Pakistan,China,2018-12-12,Student,Family Visit
Shoaib Karim,S/O Syed Aslam,4400028121466,AB8716597,Pakistani,Gwadar,Pakistan,USA,2021-05-05,Student,Tourism
عائشہ احمد,S/O Bushra Aslam,3520272898749,AB9681449,Pakistani,Hub,Pakistan,Canada,2020-05-20,Student,Employment
Hussain Hashmi,S/O Hashmi Virk,4400078038144,AB2812234,Pakistani,Muzaffarabad,Pakistan,UAE,2017-01-17,Visit,Employment
Fatima Hashmi,S/O Bilal Hussain,1330254090702,AB6429548,Pakistani,Abbottabad,Pakistan,China,2018-03-02,Business,Medical Treatment
Naveed Syed,S/O Sajid Sandhu,4400062167871,AB8941186,Pakistani,Islamabad,Pakistan,Turkey,2018-10-01,Work,Medical Treatment
Hina  Butt,S/O Bushra Virk,1330222500642,AB7916514,Pakistani,Nawabshah,Pakistan,Canada,2016-11-25,Business,Medical Treatment
Sidra Cheema,S/O Sana Rana,3520278303012,AB1703660,Pakistani,Gilgit,Pakistan,UAE,2023-01-12,Tourist,Family Visit
Nadia Gondal,S/O Ayesha Butt,2130145923792,AB6440716,Pakistani,Mirpurkhas,Pakistan,UK,2016-01-26,Tourist,Business Meeting
Iqra Sheikh,S/O Naeem Ali,1330269681348,AB1935003,Pakistani,Karachi,Pakistan,Germany,2020-08-20,Student,Medical Treatment
Adnan Jafri,S/O Nadia Latif,6110185321488,AB2160331,Pakistani,Skardu,Pakistan,USA,2015-03-04,Work,Medical Treatment
Mehwish Rizvi,S/O Hussain Butt,1330213183825,AB7129214,Pakistani,Bannu,Pakistan,China,2019-04-12,Visit,Tourism
Hamid Aslam,S/O Naveed Mirza,5400096342004,AB1710310,Pakistani,Sukkur,Pakistan,UK,2015-10-27,Student,Business Meeting
Iqra Raiq,S/O Naveed Sandhu,4210151433491,AB6631887,Pakistani,Sukkur,Pakistan,France,2019-08-22,Work,Family Visit
Syed Iqbal,S/O فاطمہ خان,4210175590794,AB4153572,Pakistani,Islamabad,Pakistan,Canada,2022-12-02,Work,Medical Treatment
Maryam Jafri,S/O Rabia Qureshi,3520233162537,AB4087020,Pakistani,Mingora,Pakistan,Saudi Arabia,2015-06-18,Student,Medical Treatment
Usman Sandhu,S/O Mohammad Malik,6110162305297,AB6104901,Pakistani,Chilas,Pakistan,Saudi Arabia,2019-12-20,Visit,Employment
Iqra Aslam,S/O Rizwan Cheema,6110172492252,AB5052176,Pakistani,Hyderabad,Pakistan,USA,2020-07-31,Business,Education
Usman Baig,S/O Tahir Abbasi,1330298607647,AB1767387,Pakistani,Hub,Pakistan,Turkey,2019-07-12,Visit,Employment
Salman Naqvi,S/O Rabia Hameed,2130147407111,AB3749894,Pakistani,Gwadar,Pakistan,UAE,2021-02-01,Business,Education
Imran Rizvi,S/O Omar Raza,2130123047234,AB1523517,Pakistani,Islamabad,Pakistan,UK,2015-07-15,Business,Family Visit
Mohd Abbasi,S/O Hashmi Naqvi,5400062338853,AB6445567,Pakistani,Khuzdar,Pakistan,France,2023-11-26,Work,Education
Salman Bukhari,S/O Naveed Sandhu,5400023871881,AB4629855,Pakistani,Muzaffarabad,Pakistan,Canada,2016-09-09,Work,Business Meeting
Hussain Hashmi,S/O Sana Chaudhry,4400042164163,AB5183374,Pakistani,Rawalakot,Pakistan,Germany,2015-06-14,Student,Tourism
Mohd Hashmi,S/O Aamir Karim,3520227954506,AB6083081,Pakistani,Peshawar,Pakistan,Canada,2015-11-08,Student,Business Meeting
Ibrahim Hashmi,S/O Baig Zaidi,1330218962462,AB3995613,Pakistani,Karachi,Pakistan,Turkey,2022-02-02,Tourist,Tourism
Zubair Abbasi,S/O Rabia Gilani,2130141122543,AB1411539,Pakistani,Gilgit,Pakistan,USA,2022-12-13,Student,Family Visit
Rukhsar Chattha,S/O Aamir Malik,4210173565092,AB5190108,Pakistani,Gilgit,Pakistan,Canada,2019-04-04,Business,Medical Treatment
Tariq Hashmi,S/O Sheikh Tarar,1330212749032,,Pakistani,Peshawar,Pakistan,Malaysia,2015-05-02,Tourist,Business Meeting
Rizwan Sandhu,S/O Imran Hameed,6110183451119,AB8547130,Pakistani,Mirpur,Pakistan,Canada,2016-06-26,Work,Education
Muhammad Syed,S/O Rizwan Sandhu,5400057889428,AB7943211,Pakistani,Islamabad,Pakistan,Saudi Arabia,2020-08-17,Tourist,Family Visit
Asma Baig,S/O Noor Cheema,1330264002697,AB5006359,Pakistani,Rawalakot,Pakistan,USA,2020-04-13,Student,Family Visit
Mohd Nawaz,S/O Ahmed Akhtar,4400075438424,AB5433670,Pakistani,Hub,Pakistan,Turkey,2023-10-12,Work,Medical Treatment
Hina Qureshi,S/O محمد علی,1330253556296,AB1403243,Pakistani,Khuzdar,Pakistan,Saudi Arabia,2015-12-29,Business,Employment
Ahmed Ahmed,S/O Naveed Gujjar,4400041724751,AB6558915,Pakistani,Turbat,Pakistan,Germany,2021-10-24,Student,Family Visit
Kashif Raza,S/O Sana Hameed,4400075836886,AB5499768,Pakistani,Hyderabad,Pakistan,UK,2022-12-16,Tourist,Employment
Ali Rafiq,S/O Nadia Tarar,5400083464262,AB4794036,Pakistani,Islamabad,Pakistan,France,2023-07-14,Visit,Family Visit
Shazia Ahmed,S/O Zainab Rafiq,5400049050041,AB7781251,Pakistani,Lahore,Pakistan,USA,2021-07-03,Visit,Medical Treatment
Sidra Ansari,S/O Shazia Butt,4400038434721,AB7456424,Pakistani,Karachi,Pakistan,USA,2016-03-02,Tourist,Family Visit
Bushra Raja,S/O Uzma Raja,2130144035471,AB4058156,Pakistani,Nawabshah,Pakistan,Turkey,2018-06-29,Visit,Medical Treatment
Hasmhi Akhtar,S/O Rizwan Naqvi,,AB4946799,Pakistani,Lahore,Pakistan,UAE,2023-03-11,Work,Business Meeting
Mohd Chaudhry,S/O Uzma Karim,,AB2415321,Pakistani,Islamabad,Pakistan,Turkey,2022-08-16,Tourist,Employment
Saira Gondal,S/O Iqra Gondal,2130124903452,AB5085065,Pakistani,Mardan,Pakistan,France,2017-09-13,Tourist,Education
Hassan Mirza,S/O Hassan Ali,2130143775488,AB7873381,Pakistani,Islamabad,Pakistan,UK,2023-04-20,Work,Education
Raja Karim,S/O نادیہ رضا,2130182547961,AB4049087,Pakistani,Chilas,Pakistan,UAE,2021-03-07,Visit,Business Meeting
Hamid Virk,S/O Maryam Sandhu,1330283017664,AB7224342,Pakistani,Mardan,Pakistan,USA,2018-12-25,Work,Education
Zubair Tarar,S/O صنا ملک,2130171675254,AB7433005,Pakistani,Mirpur,Pakistan,Malaysia,2023-11-22,Student,Tourism
,S/O Ali Qureshi,5400018214134,AB7440661,Pakistani,Mirpur,Pakistan,UAE,2023-11-13,Tourist,Family Visit
Zubair Qureshi,S/O Imran Bhatti,6110143188557,,Pakistani,Sukkur,Pakistan,Turkey,2018-09-26,Student,Tourism
Waseem Butt,S/O Zainab Hameed,3520222562719,AB6039864,Pakistani,Multan,Pakistan,Saudi Arabia,2023-05-24,Business,Employment
Ali Khan,S/O Noor Syed,4210182020293,AB1694189,Pakistani,Sargodha,Pakistan,Turkey,2020-11-15,Business,Education
Mohd Malik,S/O Rizwan Abbasi,3520213054416,AB7346114,Pakistani,Mirpurkhas,Pakistan,China,2019-10-13,Tourist,Business Meeting
Arif Jafri,S/O Zubair Latif,3520270889341,AB8792673,Pakistani,Skardu,Pakistan,China,2015-10-18,Business,Medical Treatment
Sajid Virk,S/O Uzma Hashmi,2130133523696,AB9608437,Pakistani,Khuzdar,Pakistan,UAE,2015-05-15,Visit,Family Visit
Asif Ansari,S/O Naeem Gilani,1330299457091,AB3263966,Pakistani,Islamabad,Pakistan,USA,2019-11-26,Tourist,Business Meeting
Ibrahim Qureshi,S/O Omar Aslam,4400033722207,AB7384161,Pakistani,Skardu,Pakistan,China,2023-01-27,Visit,Tourism
Mohd Rana,S/O Hussain Hashmi,6110152173522,AB4878318,Pakistani,Rawalakot,Pakistan,Germany,2020-12-13,Business,Business Meeting
Khallid Latif,S/O Zubair Ahmed,5400061246036,AB7668825,Pakistani,Bannu,Pakistan,France,2017-07-13,Visit,Medical Treatment
Kamran Tarar,S/O Nadia Abbasi,5400038188616,AB5399877,Pakistani,Hyderabad,Pakistan,China,2019-07-03,Work,Medical Treatment
Mohd Ahmed,S/O Maryam Naqvi,6110114882971,AB8106449,Pakistani,Hub,Pakistan,Germany,2016-07-25,Student,Tourism
Rukhsar Bhatti,S/O Mirza Rizvi,4210195062998,AB4238603,Pakistani,Sialkot,Pakistan,Turkey,2018-01-07,Visit,Tourism
Hussain Bukhari,S/O Mehwish Gilani,2130139218427,AB5810233,Pakistani,Faisalabad,Pakistan,USA,2020-08-06,Visit,Business Meeting
Arif Virk,S/O Rukhsar Karim,1330230866041,AB6853017,Pakistani,Mardan,Pakistan,UAE,2023-04-24,Work,Education
محمد علی,S/O عائشہ احمد,4210118326879,AB9698490,Pakistani,Quetta,Pakistan,Germany,2017-12-23,Business,Employment
Khalid Karim,S/O Fatima Raja,4400077854378,AB5883235,Pakistani,Chilas,Pakistan,Saudi Arabia,2016-01-07,Visit,Business Meeting
Salman Raja,S/O Qureshi Malik,4210137195325,AB7447469,Pakistani,Rawalpindi,Pakistan,Malaysia,2018-07-11,Tourist,Medical Treatment
Bushra Iqbal,,3520272778837,AB8242735,Pakistani,Mirpurkhas,Pakistan,USA,2020-11-23,Visit,Tourism
Sheikh Bhatti,S/O Usman Syed,,AB3805933,Pakistani,Chilas,Pakistan,UAE,2023-09-04,Student,Tourism
Naveed Bhatti,S/O Mehwish Zaidi,1330224199467,AB7791173,Pakistani,Mirpurkhas,Pakistan,Saudi Arabia,2021-05-30,Visit,Tourism
Sajid Jafri,S/O Khalid Cheema,4400044489547,AB7955448,Pakistani,Sukkur,Pakistan,Saudi Arabia,2023-11-21,Work,Family Visit
Saira Raza,S/O Malik Cheema,2130174861526,AB5828957,Pakistani,Mingora,Pakistan,UK,2023-05-18,Student,Employment
Hashmi Rana,S/O Hassan Jafri,4210174960432,AB3119214,Pakistani,Sukkur,Pakistan,China,2023-02-18,Student,Medical Treatment
زینب علی,S/O Naveed Syed,3520232069733,AB1027239,Pakistani,Gwadar,Pakistan,USA,2022-06-11,Work,Family Visit
Nadia Khan,,,AB1273900,Pakistani,Bannu,Pakistan,China,2018-02-06,Student,Family Visit
Hina Bukhari,S/O Nadia Malik,4400055604145,AB8311751,Pakistani,Mardan,Pakistan,UK,2019-04-28,Visit,Tourism
Saira Baig,S/O Zainab Bukhari,4210130302251,AB7614790,Pakistani,Hub,Pakistan,Saudi Arabia,2017-11-11,Student,Business Meeting
Sheikh Sheikh,,4210140384332,AB8234979,Pakistani,Peshawar,Pakistan,UK,2020-04-09,Business,Family Visit
Sidra Cheema,S/O Aamir Ansari,6110184555103,AB8909830,Pakistani,Mardan,Pakistan,Canada,2015-04-04,Work,Business Meeting
Adnan Gujjar,S/O ابراہیم ملک,2130190656266,AB2091791,Pakistani,Muzaffarabad,Pakistan,China,2018-02-24,Work,Employment
Shazia Ali,S/O Mirza Khan,6110170423677,AB2640987,Pakistani,Skardu,Pakistan,Turkey,2023-10-26,Student,Medical Treatment
Adnan Gujjar,S/O Kashif Hameed,4400046983459,AB4489478,Pakistani,Turbat,Pakistan,USA,2023-11-25,Tourist,Medical Treatment
Saira Sandhu,S/O Malik Tarar,2130169236865,AB2597088,Pakistani,Islamabad,Pakistan,France,2020-06-23,Tourist,Medical Treatment
Ali Zaidi,S/O Kashif Hashmi,3520284229845,AB1962161,Pakistani,Multan,Pakistan,Germany,2023-04-09,Tourist,Tourism
Khalid Iqbal,S/O Tariq Virk,3520227805755,AB3075827,Pakistani,Chilas,Pakistan,Malaysia,2018-12-17,Work,Tourism
Sheikh Hussain,S/O Baig Iqbal,3520277769891,AB7573388,Pakistani,Bahawalpur,Pakistan,Germany,2017-10-10,Visit,Employment
Khali Hussain,S/O Malik Iqbal,1330286224464,AB7830026,Pakistani,Karachi,Pakistan,Saudi Arabia,2018-04-25,Work,Education
Hussain Iqbal,S/O Bushra Rafiq,5400090748658,AB7864909,Pakistani,Muzaffarabad,Pakistan,Malaysia,2015-01-15,Tourist,Employment
Rizwan Abbasi,S/O Imran Naqvi,4400078229073,AB2478277,Pakistani,Islamabad,Pakistan,Malaysia,2023-02-04,Student,Family Visit
Khalid Hussain,S/O Naveed Ansari,5400063338341,AB2116665,Pakistani,Sukkur,Pakistan,UAE,2023-01-03,Visit,Family Visit
Sana Nawaz,S/O Qureshi Chaudhry,2130192056825,AB2063758,Pakistani,Gwadar,Pakistan,Malaysia,2022-06-29,Business,Medical Treatment
Amna Gujjar,S/O Kashif Zaidi,42101-9699445-1,AB5781773,Pakistani,Kohat,Pakistan,UAE,2018-12-29,Tourist,Business Meeting
Tariq Chaudhry,S/O Rabia Bhatti,6110187967532,AB3713080,Pakistani,Hub,Pakistan,China,2019-11-29,Visit,Medical Treatment
Hasshmi Chattha,S/O Ibrahim Virk,,,Pakistani,Islamabad,Pakistan,USA,2021-10-08,Business,Tourism
Usman Gilani,S/O Hashmi Rizvi,4210188331501,AB2836869,Pakistani,Sukkur,Pakistan,Turkey,2017-12-18,Student,Family Visit
Bilal Khan,S/O Mirza Mirza,4400015065956,AB1398221,Pakistani,Hub,Pakistan,UK,2023-11-05,Student,Business Meeting
Tariq Baig,S/O Tahir Hameed,2130132016232,AB1130703,Pakistani,Kohat,Pakistan,USA,2020-12-08,Tourist,Employment
Hassan Khan,S/O S/O Raja Virk,4210130306209,AB1409857,Pakistani,Gujranwala,Pakistan,Germany,2017-05-27,Work,Education
Tahir Jafri,S/O Uzma Rana,4400032020431,AB7461132,Pakistani,Hub,Pakistan,Turkey,2019-02-18,Business,Medical Treatment
Usman Bukhari,S/O Chaudhry Ali,4400086655646,AB8930651,Pakistani,Mingora,Pakistan,China,2018-09-26,Student,Employment
Tahir Syed,S/O S/O Raja Akhtar,4210158935115,AB3611389,Pakistani,Mirpur,Pakistan,USA,2022-09-17,Work,Medical Treatment
Buushra Hussain,S/O Hashmi Nawaz,3520233638214,AB4197314,Pakistani,Hub,Pakistan,USA,2020-04-12,Tourist,Business Meeting
Mirza Hussain,S/O Usman Qureshi,2130119260122,AB2961207,Pakistani,Islamabad,Pakistan,Canada,2018-01-15,Visit,Education
Rabia Aslam,S/O Shoaib Bukhari,1330295090401,AB7283824,Pakistani,Mardan,Pakistan,USA,2017-04-22,Work,Employment
Kashif Cheema,S/O Uzma Raza,3520218825835,AB4523678,Pakistani,Khuzdar,Pakistan,USA,2016-03-19,Tourist,Family Visit
Baig Qureshi,S/O Chaudhry Hussain,4210173743773,AB9488114,Pakistani,Sialkot,Pakistan,UAE,2019-03-12,Work,Business Meeting
Tahir Gondal,S/O Saira Hussain,1330271336265,AB7551276,Pakistani,Larkana,Pakistan,Germany,2016-11-02,Visit,Family Visit
Malik Cheema,S/O Maryam Gujjar,4400013099753,AB5860052,Pakistani,Karachi,Pakistan,Germany,2018-01-10,Work,Business Meeting
Omar Malik,S/O Ayesha Sandhu,5400074239074,AB6562111,Pakistani,Peshawar,Pakistan,UAE,2015-04-29,Tourist,Education
Sidra Raza,S/O Syed Khan,5400091198378,AB5357282,Pakistani,Bahawalpur,Pakistan,UAE,2018-05-18,Work,Employment
Maryam Chaudhry,S/O فاطمہ خان,3520212959826,AB4388641,Pakistani,Rawalakot,Pakistan,UK,2023-02-06,Work,Medical Treatment
Maryam Rafiq,S/O Amna Qureshi,4400053438053,AB5129354,Pakistani,Mirpur,Pakistan,UAE,2017-02-27,Visit,Family Visit
Ahmed Naqvi,S/O S/O Bilal Gujjar,2130130008342,AB1860014,Pakistani,Gwadar,Pakistan,Canada,2018-11-13,Work,Business Meeting
Ayesha Abbasi,S/O Asma Mirza,2130124779179,AB8104016,Pakistani,Rawalakot,Pakistan,China,2015-08-18,Visit,Employment
Naveed Butt,S/O Shazia Karim,3520215721859,AB5526215,Pakistani,Mirpur,Pakistan,China,2018-01-24,Business,Employment
Mohd Aslam,S/O Zainab Gondal,4400076084662,AB6749246,Pakistani,Mirpur,Pakistan,Germany,2016-06-23,Work,Business Meeting
Usman Karim,S/O Khalid Qureshi,6110160269837,AB1424139,Pakistani,Mardan,Pakistan,Turkey,2021-01-09,Visit,Tourism
Hussain Iqbal,S/O Bushra Rafiq,5400090748658,AB9889338,Pakistani,Muzaffarabad,Pakistan,USA,2023-12-04,Business,Education
Sobia Chattha,S/O Tahir Hameed,5400079629135,AB7560370,Pakistani,Chilas,Pakistan,Canada,2017-01-23,Business,Education
Hamid Gondal,S/O Tariq Gilani,1330270848622,AB6724137,Pakistani,Abbottabad,Pakistan,Turkey,2017-05-05,Work,Medical Treatment
Hussain Butt,S/O Sidra Nawaz,2130165247895,AB1201007,Pakistani,Mirpur,Pakistan,China,2018-03-14,Visit,Family Visit
Muhammad Karim,S/O Usman Malik,6110137199918,AB6387319,Pakistani,Mirpur,Pakistan,France,2022-11-29,Student,Education
Ibrahim Sheikh,S/O Bilal Hussain,,AB8955872,Pakistani,Muzaffarabad,Pakistan,USA,2023-01-24,Business,Business Meeting
Amna Akhtar,S/O Malik Nawaz,1330255938406,AB5184652,Pakistani,Muzaffarabad,Pakistan,USA,2019-04-18,Business,Medical Treatment
Qureshi Butt,S/O Sobia Jafri,3520286831259,AB2162646,Pakistani,Islamabad,Pakistan,UK,2017-08-20,Work,Education
Maryam Abbasi,S/O Malik Latif,2130139293903,AB1606770,Pakistani,Hub,Pakistan,Malaysia,2016-10-26,Tourist,Medical Treatment
Maryam Rana,S/O Arif Khan,4400049596074,AB7830708,Pakistani,Islamabad,Pakistan,China,2022-09-06,Work,Medical Treatment
Syed Syed,S/O Zainab Aslam,4400066301153,,Pakistani,Bahawalpur,Pakistan,Malaysia,2015-06-13,Business,Medical Treatment
Raja Virk,,6110192182601,AB3148859,Pakistani,Rawalakot,Pakistan,Turkey,2017-11-25,Business,Family Visit
Khalid Zaidi,S/O Mehwish Ali,4400077340358,AB9974090,Pakistani,Turbat,Pakistan,Saudi Arabia,2015-09-30,Student,Tourism
Hussain Ali,S/O Tahir Abbasi,4400022037244,AB9681436,Pakistani,Kohat,Pakistan,France,2017-05-01,Work,Family Visit
Mohd Syed,S/O Hussain Ansari,3520236309508,,Pakistani,Sukkur,Pakistan,Canada,2020-01-12,Student,Medical Treatment
Aamir Raja,S/O Mohammad Latif,4210189972453,AB2193479,Pakistani,Mingora,Pakistan,UAE,2022-01-12,Tourist,Employment
Saira Abbasi,S/O Baig Hussain,6110164419144,AB2502853,Pakistani,Gwadar,Pakistan,UK,2023-05-15,Business,Family Visit
Tariq Rafiq,S/O Asma Sandhu,4210110869309,AB4129356,Pakistani,Islamabad,Pakistan,UAE,2020-07-30,Business,Employment
Sobia Rizvi,S/O Amna Ahmed,4400068730675,AB7463544,Pakistani,Sukkur,Pakistan,Turkey,2022-09-23,Student,Tourism
صنا ملک,S/O Asma Chattha,3520282421528,AB3755680,Pakistani,Gilgit,Pakistan,UAE,2017-08-09,Business,Employment
Mohd Chattha,S/O Qureshi Iqbal,4210142027449,AB8077305,Pakistani,Multan,Pakistan,UAE,2022-12-13,Work,Family Visit
Mirza Rafiq,S/O Naeem Ahmed,5400040212419,AB6979492,Pakistani,Islamabad,Pakistan,Turkey,2015-11-04,Tourist,Education
Syed Iqbal,S/O فاطمہ خان,4210175590794,AB4906758,Pakistani,Islamabad,Pakistan,Germany,2019-11-30,Business,Employment
Asif Naqvi,S/O Sobia Sheikh,2130153644786,AB3573963,Pakistani,Hyderabad,Pakistan,Canada,2018-10-27,Tourist,Family Visit
Mohammad Syed,S/O Asma Gujjar,5400075029211,AB7935449,Pakistani,Mirpur,Pakistan,UAE,2020-07-04,Tourist,Business Meeting
Muhammad Raza,S/O Fatima Bhatti,5400070753761,AB2184819,Pakistani,Bannu,Pakistan,China,2019-03-28,Work,Education
Sobia Tarar,S/O Iqra Gilani,6110116975834,AB4910413,Pakistani,Gwadar,Pakistan,Canada,2021-05-12,Student,Education
Sheikh Raza,S/O Saira Virk,4210159168194,AB5638113,Pakistani,Gilgit,Pakistan,Malaysia,2022-11-23,Visit,Business Meeting
Ahmed Zaidi,S/O Fatima Bukhari,3520274978773,AB7026430,Pakistani,Bannu,Pakistan,Turkey,2015-09-14,Business,Tourism
Ahmed Aslam,S/O Baig Gondal,4400036839203,AB6330225,Pakistani,Islamabad,Pakistan,France,2019-06-22,Work,Tourism
Syed Syed,S/O Rabia Jafri,4210196763854,AB9553996,Pakistani,Quetta,Pakistan,USA,2022-09-05,Business,Tourism
Zainab Sandhu,S/O Sajid Iqbal,4210115273534,AB5737143,Pakistani,Rawalpindi,Pakistan,UAE,2023-05-24,Business,Business Meeting
Shoaib Bhatti,S/O Waseem Raza,3520263996767,AB1694103,Pakistani,Skardu,Pakistan,UK,2017-06-02,Tourist,Employment
Asif Gondal,S/O Hina Virk,4400017517145,AB3268531,Pakistani,Lahore,Pakistan,China,2016-06-12,Student,Medical Treatment
Hussain Cheema,S/O Syed Chattha,2130126771558,AB7304074,Pakistani,Karachi,Pakistan,Germany,2016-11-30,Student,Tourism
Naeem Latif,S/O Fatima Raja,3520274362418,AB9231757,Pakistani,Islamabad,Pakistan,Canada,2016-11-03,Visit,Family Visit
Usman Sandhu,S/O Mohammad Malik,6110162305297,AB5583308,Pakistani,Chilas,Pakistan,USA,2021-10-11,Business,Employment
Rabia Mirza,S/O Sheikh Hussain,3520259353739,AB3380451,Pakistani,Gilgit,Pakistan,Canada,2023-01-20,Student,Family Visit
Mohd Ansari,S/O Usman Akhtar,4400022987082,AB7337327,Pakistani,Quetta,Pakistan,Malaysia,2021-03-13,Tourist,Employment
Imran Naqvi,S/O Rizwan Bhatti,4400020268751,AB3339897,Pakistani,Kohat,Pakistan,China,2017-04-05,Tourist,Employment
Mohammad Naqvi,S/O Hina Gujjar,2130111802714,AB3085331,Pakistani,Skardu,Pakistan,Saudi Arabia,2019-03-10,Visit,Education
Baig Butt,S/O Ali Hashmi,1330249235461,AB4146730,Pakistani,Skardu,Pakistan,UK,2019-04-04,Work,Education
Faisal Gondal,S/O Sajid Virk,4400060141037,AB8055040,Pakistani,Hyderabad,Pakistan,Saudi Arabia,2016-01-02,Work,Business Meeting
Shazia Aslam,S/O Imran Aslam,5400019618709,AB6198602,Pakistani,Skardu,Pakistan,UAE,2022-03-17,Tourist,Medical Treatment
Shazia Ahmed,S/O Sobia Gujjar,3520298530236,AB9785145,Pakistani,Turbat,Pakistan,UK,2016-08-19,Visit,Medical Treatment
Sidra Ansari,S/O Shazia Butt,4400038434721,AB2553257,Pakistani,Karachi,Pakistan,China,2018-05-10,Student,Education
Malik Syed,S/O Ali Qureshi,1330247846525,AB8512355,Pakistani,Karachi,Pakistan,USA,2021-06-15,Visit,Family Visit
Iqra Miirza,S/O Arif Gondal,,AB6723162,Pakistani,Chilas,Pakistan,Turkey,2019-07-04,Business,Tourism
Mohd Rizvi,S/O Shazia Hashmi,,AB9214385,Pakistani,Islamabad,Pakistan,UAE,2018-01-17,Student,Medical Treatment
Syed Hameed,S/O فاطمہ خان,2130146824719,AB3305063,Pakistani,Quetta,Pakistan,Canada,2020-02-11,Visit,Employment
Omar Virk,S/O Hashmi Rizvi,6110143423252,AB6746465,Pakistani,Quetta,Pakistan,UAE,2016-12-01,Work,Education
Naeem Naqvi,S/O Rabia Gilani,4210117878295,AB7119437,Pakistani,Khuzdar,Pakistan,UK,2020-02-09,Work,Education
